IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.92,0.92,0.11519468480724154
change_case_english_capital,1,25,1.0,1.0,0.08220647269210093
change_case_english_capital,2,25,1.0,1.0,0.09759492566119907
change_case_english_capital,3,25,1.0,1.0,0.09501428049990875
change_case_english_capital,4,25,1.0,1.0,0.09759492566119907
change_case_english_capital,5,25,1.0,1.0,0.09296172102799444
change_case_english_capital,6,25,1.0,1.0,0.09296172102799444
change_case_english_capital,7,25,1.0,1.0,0.09012882361445186
change_case_english_capital,8,25,1.0,1.0,0.08541137889700716
change_case_english_lowercase,0,25,0.96,0.96,0.07433548910901727
change_case_english_lowercase,1,25,0.28,0.28,0.07162577675331404
change_case_english_lowercase,2,25,0.0,0.0,0.06357863472547282
change_case_english_lowercase,3,25,0.0,0.0,0.07549384857220554
change_case_english_lowercase,4,25,0.0,0.0,0.07037657778329294
change_case_english_lowercase,5,25,0.0,0.0,0.07487846395682092
change_case_english_lowercase,6,25,0.0,0.0,0.07202132109967806
change_case_english_lowercase,7,25,0.0,0.0,0.07702132109967805
change_case_english_lowercase,8,25,0.0,0.0,0.07202132109967806
combination_repeat_prompt,0,25,1.0,1.0,0.20940304867834034
combination_repeat_prompt,1,25,0.04,0.04,0.4161036667334049
combination_repeat_prompt,2,25,0.0,0.0,0.39855787918761737
combination_repeat_prompt,3,25,0.0,0.0,0.3959919405314531
combination_repeat_prompt,4,25,0.0,0.0,0.40034568202805176
combination_repeat_prompt,5,25,0.0,0.0,0.40034568202805176
combination_repeat_prompt,6,25,0.0,0.0,0.3981234598058295
combination_repeat_prompt,7,25,0.0,0.0,0.3995027701506571
combination_repeat_prompt,8,25,0.0,0.0,0.3995027701506571
detectable_format_json_format,0,50,1.0,1.0,0.1610716441875457
detectable_format_json_format,1,50,0.0,0.0,0.20774524252254423
detectable_format_json_format,2,50,0.02,0.02,0.23028212463814973
detectable_format_json_format,3,50,0.02,0.02,0.23714054420720757
detectable_format_json_format,4,50,0.02,0.02,0.26905152891175566
detectable_format_json_format,5,50,0.02,0.02,0.2770165071403134
detectable_format_json_format,6,50,0.02,0.02,0.27986786740456476
detectable_format_json_format,7,50,0.02,0.02,0.269979180092348
detectable_format_json_format,8,50,0.02,0.02,0.27398721280038074
detectable_format_title,0,25,0.4,0.4,0.3998094374753611
detectable_format_title,1,25,1.0,1.0,0.9647058823529412
detectable_format_title,2,25,1.0,1.0,0.9647058823529412
detectable_format_title,3,25,1.0,1.0,0.9647058823529412
detectable_format_title,4,25,1.0,1.0,0.9647058823529412
detectable_format_title,5,25,1.0,1.0,0.9647058823529412
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,0.2,0.2,0.21529562419824347
startend_end_checker,1,25,0.64,0.64,0.10520695623961344
startend_end_checker,2,25,0.84,0.84,0.1140050501898372
startend_end_checker,3,25,0.88,0.88,0.11764650677247028
startend_end_checker,4,25,0.92,0.92,0.10158739347197765
startend_end_checker,5,25,0.92,0.92,0.0996444590568323
startend_end_checker,6,25,0.88,0.88,0.12160009188467606
startend_end_checker,7,25,0.92,0.92,0.11194491947088298
startend_end_checker,8,25,0.96,0.96,0.08830346288824989
startend_quotation,0,25,1.0,1.0,0.08066812643772794
startend_quotation,1,25,0.48,0.48,0.06554080597206159
startend_quotation,2,25,0.04,0.04,0.05541959385084947
startend_quotation,3,25,0.0,0.0,0.05752485700874422
startend_quotation,4,25,0.0,0.0,0.05752485700874422
startend_quotation,5,25,0.04,0.04,0.05752485700874422
startend_quotation,6,25,0.0,0.0,0.0655248570087442
startend_quotation,7,25,0.04,0.04,0.0655248570087442
startend_quotation,8,25,0.0,0.0,0.0655248570087442
