IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.0,0.0,0.44
change_case_english_capital,1,25,0.0,0.0,0.44
change_case_english_capital,2,25,0.0,0.0,0.36
change_case_english_capital,3,25,0.0,0.0,0.24
change_case_english_capital,4,25,0.0,0.0,0.24
change_case_english_capital,5,25,0.0,0.0,0.36
change_case_english_capital,6,25,0.0,0.0,0.4
change_case_english_capital,7,25,0.0,0.0,0.2
change_case_english_capital,8,25,0.0,0.0,0.28
change_case_english_lowercase,0,25,0.0,0.0,0.36
change_case_english_lowercase,1,25,0.0,0.0,0.32
change_case_english_lowercase,2,25,0.0,0.0,0.24
change_case_english_lowercase,3,25,0.0,0.0,0.24
change_case_english_lowercase,4,25,0.0,0.0,0.28
change_case_english_lowercase,5,25,0.0,0.0,0.16
change_case_english_lowercase,6,25,0.0,0.0,0.28
change_case_english_lowercase,7,25,0.0,0.0,0.24
change_case_english_lowercase,8,25,0.0,0.0,0.2
combination_repeat_prompt,0,25,0.36,0.36,0.44
combination_repeat_prompt,1,25,0.48,0.48,0.44
combination_repeat_prompt,2,25,0.36,0.36,0.6
combination_repeat_prompt,3,25,0.28,0.32,0.48
combination_repeat_prompt,4,25,0.36,0.36,0.44
combination_repeat_prompt,5,25,0.36,0.36,0.48
combination_repeat_prompt,6,25,0.44,0.44,0.44
combination_repeat_prompt,7,25,0.48,0.48,0.4
combination_repeat_prompt,8,25,0.4,0.4,0.24
detectable_format_json_format,0,50,0.3,0.32,0.3
detectable_format_json_format,1,50,0.14,0.18,0.36
detectable_format_json_format,2,50,0.2,0.22,0.36
detectable_format_json_format,3,50,0.14,0.16,0.3
detectable_format_json_format,4,50,0.18,0.2,0.48
detectable_format_json_format,5,50,0.22,0.24,0.46
detectable_format_json_format,6,50,0.22,0.24,0.38
detectable_format_json_format,7,50,0.22,0.26,0.32
detectable_format_json_format,8,50,0.2,0.24,0.32
detectable_format_title,0,25,0.0,0.0,0.44
detectable_format_title,1,25,0.0,0.0,0.4
detectable_format_title,2,25,0.0,0.0,0.48
detectable_format_title,3,25,0.0,0.0,0.48
detectable_format_title,4,25,0.0,0.0,0.36
detectable_format_title,5,25,0.0,0.0,0.4
detectable_format_title,6,25,0.0,0.0,0.4
detectable_format_title,7,25,0.04,0.04,0.48
detectable_format_title,8,25,0.0,0.0,0.36
startend_end_checker,0,25,0.04,0.04,0.36
startend_end_checker,1,25,0.04,0.04,0.52
startend_end_checker,2,25,0.04,0.04,0.44
startend_end_checker,3,25,0.04,0.04,0.32
startend_end_checker,4,25,0.12,0.12,0.36
startend_end_checker,5,25,0.08,0.08,0.28
startend_end_checker,6,25,0.12,0.12,0.2
startend_end_checker,7,25,0.12,0.12,0.32
startend_end_checker,8,25,0.12,0.12,0.24
startend_quotation,0,25,0.0,0.0,0.24
startend_quotation,1,25,0.0,0.0,0.32
startend_quotation,2,25,0.0,0.0,0.24
startend_quotation,3,25,0.0,0.0,0.28
startend_quotation,4,25,0.0,0.0,0.24
startend_quotation,5,25,0.0,0.0,0.32
startend_quotation,6,25,0.0,0.0,0.2
startend_quotation,7,25,0.0,0.0,0.28
startend_quotation,8,25,0.0,0.0,0.16
