IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,36,0.7222222222222222
detectable_format_number_bullet_lists,1,36,0.6111111111111112
detectable_format_number_bullet_lists,2,36,0.5833333333333334
detectable_format_number_bullet_lists,3,36,0.5555555555555556
detectable_format_number_bullet_lists,4,36,0.5277777777777778
detectable_format_number_bullet_lists,5,36,0.5555555555555556
detectable_format_number_bullet_lists,6,36,0.4722222222222222
detectable_format_number_bullet_lists,7,36,0.5
detectable_format_number_bullet_lists,8,36,0.5
length_constraints_number_paragraphs,0,13,0.6153846153846154
length_constraints_number_paragraphs,1,13,0.5384615384615384
length_constraints_number_paragraphs,2,13,0.46153846153846156
length_constraints_number_paragraphs,3,13,0.46153846153846156
length_constraints_number_paragraphs,4,13,0.6153846153846154
length_constraints_number_paragraphs,5,13,0.5384615384615384
length_constraints_number_paragraphs,6,13,0.46153846153846156
length_constraints_number_paragraphs,7,13,0.46153846153846156
length_constraints_number_paragraphs,8,13,0.46153846153846156
length_constraints_number_sentences,0,35,0.4857142857142857
length_constraints_number_sentences,1,35,0.45714285714285713
length_constraints_number_sentences,2,35,0.4857142857142857
length_constraints_number_sentences,3,35,0.42857142857142855
length_constraints_number_sentences,4,35,0.4857142857142857
length_constraints_number_sentences,5,35,0.5428571428571428
length_constraints_number_sentences,6,35,0.5142857142857142
length_constraints_number_sentences,7,35,0.42857142857142855
length_constraints_number_sentences,8,35,0.5428571428571428
length_constraints_number_words,0,14,0.35714285714285715
length_constraints_number_words,1,14,0.35714285714285715
length_constraints_number_words,2,14,0.5
length_constraints_number_words,3,14,0.42857142857142855
length_constraints_number_words,4,14,0.5
length_constraints_number_words,5,14,0.42857142857142855
length_constraints_number_words,6,14,0.35714285714285715
length_constraints_number_words,7,14,0.5
length_constraints_number_words,8,14,0.35714285714285715
