model,Setting,change_case,startend,wrapping,json_format,Avg.
qwen2,Zero-shot,0.7760714285714286,0.6591666666666667,0.20324561403508773,0.0,0.40962092731829575
qwen2,ICL,0.553125,0.68671875,0.20333333333333334,0.0025,0.36141927083333336
desta2_5,Zero-shot,0.9940476190476191,0.94375,0.9349999999999999,0.9853846153846154,0.9645455586080587
desta2_5,ICL,0.9424702380952381,0.63078125,0.8134375,0.3764102564102564,0.6907748111263736
blsp-emo,Zero-shot,0.6666666666666666,0.6191666666666666,0.38105263157894737,0.9583333333333334,0.6563048245614035
blsp-emo,ICL,0.5006994047619048,0.4565625,0.5182182017543859,0.018830128205128208,0.37357755868035475
qwen25_omni,Zero-shot,0.963095238095238,0.9037499999999999,0.9134210526315789,0.7335897435897436,0.8784640085791402
qwen25_omni,ICL,0.51625,0.5853645833333334,0.519375,0.08342948717948719,0.42610476762820515
gemini-2.5-flash,Zero-shot,0.9820238095238095,1.0,1.0,1.0,0.9955059523809524
gemini-2.5-flash,ICL,0.5885119047619047,0.8883854166666667,0.61375,0.5090384615384616,0.6499214457417583
gemini-3-flash-preview,Zero-shot,0.9945238095238096,1.0,0.995,1.0,0.9973809523809524
gemini-3-flash-preview,ICL,0.6431250000000001,0.9494270833333334,0.706875,0.5074038461538461,0.7017077323717948
cascade_qwen25-7b-instruct,Zero-shot,0.9845238095238096,1.0,0.995,0.9611538461538461,0.9851694139194139
cascade_qwen25-7b-instruct,ICL,0.7903125,0.9174479166666667,0.7625,0.49373397435897437,0.7409985977564102
cascade_llama-3_1-8b-instruct,Zero-shot,0.99,0.8816666666666667,0.9091666666666667,0.9037179487179487,0.9211378205128204
cascade_llama-3_1-8b-instruct,ICL,0.9521875,0.7400520833333334,0.925,0.5912820512820512,0.8021304086538462
