IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,36,0.7222222222222222
detectable_format_number_bullet_lists,1,36,0.9444444444444444
detectable_format_number_bullet_lists,2,36,0.9444444444444444
detectable_format_number_bullet_lists,3,36,1.0
detectable_format_number_bullet_lists,4,36,0.9444444444444444
detectable_format_number_bullet_lists,5,36,0.9444444444444444
detectable_format_number_bullet_lists,6,36,0.9722222222222222
detectable_format_number_bullet_lists,7,36,0.9722222222222222
detectable_format_number_bullet_lists,8,36,0.9444444444444444
length_constraints_number_paragraphs,0,13,0.6153846153846154
length_constraints_number_paragraphs,1,13,0.6923076923076923
length_constraints_number_paragraphs,2,13,0.6923076923076923
length_constraints_number_paragraphs,3,13,0.6923076923076923
length_constraints_number_paragraphs,4,13,0.8461538461538461
length_constraints_number_paragraphs,5,13,0.8461538461538461
length_constraints_number_paragraphs,6,13,0.6153846153846154
length_constraints_number_paragraphs,7,13,0.7692307692307693
length_constraints_number_paragraphs,8,13,0.7692307692307693
length_constraints_number_sentences,0,35,0.6857142857142857
length_constraints_number_sentences,1,35,0.6857142857142857
length_constraints_number_sentences,2,35,0.7142857142857143
length_constraints_number_sentences,3,35,0.7714285714285715
length_constraints_number_sentences,4,35,0.6857142857142857
length_constraints_number_sentences,5,35,0.7142857142857143
length_constraints_number_sentences,6,35,0.8
length_constraints_number_sentences,7,35,0.7428571428571429
length_constraints_number_sentences,8,35,0.7142857142857143
length_constraints_number_words,0,14,0.42857142857142855
length_constraints_number_words,1,14,0.7142857142857143
length_constraints_number_words,2,14,1.0
length_constraints_number_words,3,14,0.9285714285714286
length_constraints_number_words,4,14,0.7857142857142857
length_constraints_number_words,5,14,0.7857142857142857
length_constraints_number_words,6,14,0.8571428571428571
length_constraints_number_words,7,14,0.7857142857142857
length_constraints_number_words,8,14,0.9285714285714286
