IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,1.0,1.0,0.20724792394452485
change_case_english_capital,1,25,1.0,1.0,0.10359498529158623
change_case_english_capital,2,25,1.0,1.0,0.10509498529158623
change_case_english_capital,3,25,1.0,1.0,0.12537276306936398
change_case_english_capital,4,25,1.0,1.0,0.10759498529158623
change_case_english_capital,5,25,1.0,1.0,0.1578579920370614
change_case_english_capital,6,25,1.0,1.0,0.10759498529158623
change_case_english_capital,7,25,1.0,1.0,0.16301741232691647
change_case_english_capital,8,25,1.0,1.0,0.17119132537039478
change_case_english_lowercase,0,25,1.0,1.0,0.1206002436059843
change_case_english_lowercase,1,25,1.0,1.0,0.0712268100220244
change_case_english_lowercase,2,25,0.96,0.96,0.07599494794204993
change_case_english_lowercase,3,25,0.96,0.96,0.09469463834452671
change_case_english_lowercase,4,25,0.96,0.96,0.0826786417723636
change_case_english_lowercase,5,25,1.0,1.0,0.11096706976228415
change_case_english_lowercase,6,25,0.92,0.92,0.07304499184020621
change_case_english_lowercase,7,25,0.76,0.8,0.08943148044978987
change_case_english_lowercase,8,25,0.72,0.72,0.0817653454152338
combination_repeat_prompt,0,25,1.0,1.0,0.14915885451223798
combination_repeat_prompt,1,25,1.0,1.0,0.12794248024323213
combination_repeat_prompt,2,25,0.84,0.84,0.16821209367074025
combination_repeat_prompt,3,25,0.36,0.36,0.3208528751115217
combination_repeat_prompt,4,25,0.12,0.12,0.4097489043696199
combination_repeat_prompt,5,25,0.04,0.04,0.4408600154807311
combination_repeat_prompt,6,25,0.04,0.04,0.45197112659184213
combination_repeat_prompt,7,25,0.0,0.0,0.4690651436858592
combination_repeat_prompt,8,25,0.0,0.0,0.4549237295444452
detectable_format_json_format,0,50,0.98,0.98,0.22058095197645294
detectable_format_json_format,1,50,0.96,0.96,0.13746473491905947
detectable_format_json_format,2,50,0.56,0.56,0.21816686676825006
detectable_format_json_format,3,50,0.26,0.26,0.26094617875195353
detectable_format_json_format,4,50,0.14,0.14,0.29000480851016314
detectable_format_json_format,5,50,0.1,0.1,0.28585500794972424
detectable_format_json_format,6,50,0.08,0.08,0.28285788903735876
detectable_format_json_format,7,50,0.08,0.08,0.28950863822592304
detectable_format_json_format,8,50,0.04,0.04,0.28656649175056975
detectable_format_title,0,25,0.88,0.88,0.8868085106382978
detectable_format_title,1,25,1.0,1.0,1.0
detectable_format_title,2,25,1.0,1.0,1.0
detectable_format_title,3,25,1.0,1.0,1.0
detectable_format_title,4,25,1.0,1.0,1.0
detectable_format_title,5,25,1.0,1.0,1.0
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,1.0,1.0,0.4613048408568825
startend_end_checker,1,25,1.0,1.0,0.14203472591435373
startend_end_checker,2,25,1.0,1.0,0.14370139258102038
startend_end_checker,3,25,1.0,1.0,0.1641523729731773
startend_end_checker,4,25,1.0,1.0,0.17136805924768708
startend_end_checker,5,25,1.0,1.0,0.15055237297317728
startend_end_checker,6,25,1.0,1.0,0.16388570630651064
startend_end_checker,7,25,1.0,1.0,0.16388570630651064
startend_end_checker,8,25,1.0,1.0,0.15333948781911563
startend_quotation,0,25,1.0,1.0,0.14428246870719982
startend_quotation,1,25,1.0,1.0,0.10525216567689677
startend_quotation,2,25,0.96,0.96,0.12949458991932103
startend_quotation,3,25,0.76,0.76,0.13525216567689677
startend_quotation,4,25,0.44,0.44,0.16703844956844385
startend_quotation,5,25,0.24,0.24,0.156222598752593
startend_quotation,6,25,0.28,0.28,0.156222598752593
startend_quotation,7,25,0.04,0.04,0.156222598752593
startend_quotation,8,25,0.0,0.0,0.15955593208592633
