IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,1.0,1.0,0.13384894423586777
change_case_english_capital,1,25,1.0,1.0,0.11973783312475664
change_case_english_capital,2,25,0.96,0.96,0.12373783312475664
change_case_english_capital,3,25,0.96,0.96,0.1324475105441115
change_case_english_capital,4,25,1.0,1.0,0.14551561090253443
change_case_english_capital,5,25,1.0,1.0,0.12973783312475665
change_case_english_capital,6,25,1.0,1.0,0.12751561090253444
change_case_english_capital,7,25,1.0,1.0,0.1295156109025344
change_case_english_capital,8,25,1.0,1.0,0.15467116645808995
change_case_english_lowercase,0,25,1.0,1.0,0.0711680872424795
change_case_english_lowercase,1,25,0.8,0.8,0.13054678954307186
change_case_english_lowercase,2,25,0.64,0.64,0.09840198079990246
change_case_english_lowercase,3,25,0.44,0.44,0.16167071929380972
change_case_english_lowercase,4,25,0.36,0.36,0.183477744772477
change_case_english_lowercase,5,25,0.28,0.28,0.21487090716563936
change_case_english_lowercase,6,25,0.36,0.36,0.2140222394934423
change_case_english_lowercase,7,25,0.2,0.2,0.1574995962991573
change_case_english_lowercase,8,25,0.12,0.12,0.1996096520808549
combination_repeat_prompt,0,25,1.0,1.0,0.1258064258214634
combination_repeat_prompt,1,25,1.0,1.0,0.1262455105462624
combination_repeat_prompt,2,25,1.0,1.0,0.1281502724510243
combination_repeat_prompt,3,25,0.92,0.92,0.1581502724510243
combination_repeat_prompt,4,25,0.8,0.8,0.18348360578435763
combination_repeat_prompt,5,25,0.64,0.64,0.25808678038753224
combination_repeat_prompt,6,25,0.44,0.44,0.31740438806720894
combination_repeat_prompt,7,25,0.36,0.36,0.332495963158784
combination_repeat_prompt,8,25,0.24,0.24,0.38201175263246817
detectable_format_json_format,0,50,0.96,0.96,0.2532255671798917
detectable_format_json_format,1,50,0.88,0.88,0.24254409999842452
detectable_format_json_format,2,50,0.9,0.9,0.23936949682382136
detectable_format_json_format,3,50,0.68,0.68,0.16159171904604355
detectable_format_json_format,4,50,0.36,0.36,0.17397267142699593
detectable_format_json_format,5,50,0.22,0.22,0.16825838571271023
detectable_format_json_format,6,50,0.14,0.14,0.17684848842046003
detectable_format_json_format,7,50,0.08,0.08,0.16508378253810704
detectable_format_json_format,8,50,0.04,0.04,0.17740265603345115
detectable_format_title,0,25,1.0,1.0,0.9781818181818182
detectable_format_title,1,25,1.0,1.0,1.0
detectable_format_title,2,25,1.0,1.0,1.0
detectable_format_title,3,25,1.0,1.0,1.0
detectable_format_title,4,25,1.0,1.0,1.0
detectable_format_title,5,25,1.0,1.0,1.0
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,1.0,1.0,0.19078430574628655
startend_end_checker,1,25,1.0,1.0,0.14735946914497933
startend_end_checker,2,25,1.0,1.0,0.1505594691449793
startend_end_checker,3,25,1.0,1.0,0.14249224225422302
startend_end_checker,4,25,1.0,1.0,0.16360335336533413
startend_end_checker,5,25,1.0,1.0,0.14693668669866747
startend_end_checker,6,25,1.0,1.0,0.14693668669866747
startend_end_checker,7,25,1.0,1.0,0.1602700200320008
startend_end_checker,8,25,1.0,1.0,0.1602700200320008
startend_quotation,0,25,0.96,0.96,0.127344582316874
startend_quotation,1,25,0.92,0.92,0.10786000881415168
startend_quotation,2,25,0.8,0.8,0.11401385496799783
startend_quotation,3,25,0.56,0.56,0.13128658224072512
startend_quotation,4,25,0.16,0.16,0.12068052163466449
startend_quotation,5,25,0.08,0.08,0.12234718830133116
startend_quotation,6,25,0.0,0.0,0.12234718830133116
startend_quotation,7,25,0.0,0.0,0.13491883234356344
startend_quotation,8,25,0.0,0.0,0.18773934516407628
