IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.96,0.96,0.8
change_case_english_capital,1,25,1.0,1.0,0.8
change_case_english_capital,2,25,1.0,1.0,0.8
change_case_english_capital,3,25,1.0,1.0,0.84
change_case_english_capital,4,25,1.0,1.0,0.76
change_case_english_capital,5,25,1.0,1.0,0.8
change_case_english_capital,6,25,1.0,1.0,0.72
change_case_english_capital,7,25,1.0,1.0,0.8
change_case_english_capital,8,25,1.0,1.0,0.76
change_case_english_lowercase,0,25,1.0,1.0,0.8
change_case_english_lowercase,1,25,1.0,1.0,0.76
change_case_english_lowercase,2,25,0.92,0.92,0.76
change_case_english_lowercase,3,25,0.8,0.8,0.76
change_case_english_lowercase,4,25,0.48,0.48,0.8
change_case_english_lowercase,5,25,0.52,0.52,0.76
change_case_english_lowercase,6,25,0.52,0.52,0.8
change_case_english_lowercase,7,25,0.36,0.36,0.76
change_case_english_lowercase,8,25,0.48,0.48,0.8
combination_repeat_prompt,0,25,1.0,1.0,0.84
combination_repeat_prompt,1,25,1.0,1.0,0.88
combination_repeat_prompt,2,25,0.96,0.96,0.84
combination_repeat_prompt,3,25,0.96,0.96,0.88
combination_repeat_prompt,4,25,0.92,0.92,0.76
combination_repeat_prompt,5,25,0.88,0.88,0.68
combination_repeat_prompt,6,25,0.84,0.84,0.68
combination_repeat_prompt,7,25,0.88,0.88,0.76
combination_repeat_prompt,8,25,0.72,0.72,0.6
detectable_format_json_format,0,50,1.0,1.0,0.82
detectable_format_json_format,1,50,0.98,0.98,0.72
detectable_format_json_format,2,50,0.74,0.74,0.72
detectable_format_json_format,3,50,0.58,0.58,0.72
detectable_format_json_format,4,50,0.5,0.5,0.74
detectable_format_json_format,5,50,0.4,0.4,0.76
detectable_format_json_format,6,50,0.34,0.34,0.76
detectable_format_json_format,7,50,0.28,0.28,0.78
detectable_format_json_format,8,50,0.22,0.22,0.74
detectable_format_title,0,25,1.0,1.0,0.0
detectable_format_title,1,25,1.0,1.0,0.0
detectable_format_title,2,25,1.0,1.0,0.0
detectable_format_title,3,25,1.0,1.0,0.0
detectable_format_title,4,25,1.0,1.0,0.0
detectable_format_title,5,25,1.0,1.0,0.0
detectable_format_title,6,25,1.0,1.0,0.0
detectable_format_title,7,25,1.0,1.0,0.0
detectable_format_title,8,25,1.0,1.0,0.0
startend_end_checker,0,25,1.0,1.0,0.76
startend_end_checker,1,25,1.0,1.0,0.8
startend_end_checker,2,25,1.0,1.0,0.8
startend_end_checker,3,25,1.0,1.0,0.76
startend_end_checker,4,25,1.0,1.0,0.76
startend_end_checker,5,25,1.0,1.0,0.76
startend_end_checker,6,25,1.0,1.0,0.8
startend_end_checker,7,25,1.0,1.0,0.84
startend_end_checker,8,25,1.0,1.0,0.8
startend_quotation,0,25,1.0,1.0,0.8
startend_quotation,1,25,1.0,1.0,0.88
startend_quotation,2,25,1.0,1.0,0.8
startend_quotation,3,25,0.84,0.84,0.8
startend_quotation,4,25,0.64,0.64,0.8
startend_quotation,5,25,0.48,0.48,0.84
startend_quotation,6,25,0.32,0.32,0.84
startend_quotation,7,25,0.16,0.16,0.8
startend_quotation,8,25,0.12,0.12,0.76
