IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.96,0.96,0.028352364161868326
change_case_english_capital,1,25,1.0,1.0,0.053599261894740825
change_case_english_capital,2,25,1.0,1.0,0.04117761989245365
change_case_english_capital,3,25,1.0,1.0,0.0371803429758219
change_case_english_capital,4,25,1.0,1.0,0.034360131459958206
change_case_english_capital,5,25,1.0,1.0,0.031779486298667885
change_case_english_capital,6,25,1.0,1.0,0.038912690931872516
change_case_english_capital,7,25,1.0,1.0,0.037941212541039285
change_case_english_capital,8,25,1.0,1.0,0.04517691097238989
change_case_english_lowercase,0,25,1.0,1.0,0.04614653945998668
change_case_english_lowercase,1,25,0.76,0.76,0.06723497746817886
change_case_english_lowercase,2,25,0.0,0.0,0.050343689867833843
change_case_english_lowercase,3,25,0.0,0.0,0.06408931641768902
change_case_english_lowercase,4,25,0.0,0.0,0.05381621734036132
change_case_english_lowercase,5,25,0.0,0.0,0.04630416333843268
change_case_english_lowercase,6,25,0.0,0.0,0.05173435558685778
change_case_english_lowercase,7,25,0.04,0.04,0.04441323226573446
change_case_english_lowercase,8,25,0.04,0.04,0.04206046585944109
combination_repeat_prompt,0,25,1.0,1.0,0.030198744878547835
combination_repeat_prompt,1,25,1.0,1.0,0.036557350752839474
combination_repeat_prompt,2,25,0.92,0.92,0.09851748919418092
combination_repeat_prompt,3,25,0.88,0.88,0.10857367728345171
combination_repeat_prompt,4,25,0.8,0.8,0.10453921016327032
combination_repeat_prompt,5,25,0.84,0.84,0.12504397857781316
combination_repeat_prompt,6,25,0.48,0.48,0.28148185487775845
combination_repeat_prompt,7,25,0.72,0.72,0.146351151271452
combination_repeat_prompt,8,25,0.72,0.72,0.1391211715602693
detectable_format_json_format,0,50,1.0,1.0,0.039575799572087275
detectable_format_json_format,1,50,0.74,0.74,0.0669886194952773
detectable_format_json_format,2,50,0.64,0.64,0.087058416189998
detectable_format_json_format,3,50,0.58,0.58,0.1337364531505777
detectable_format_json_format,4,50,0.5,0.5,0.15419451633217027
detectable_format_json_format,5,50,0.38,0.38,0.195845377521077
detectable_format_json_format,6,50,0.28,0.28,0.19454141922108995
detectable_format_json_format,7,50,0.44,0.44,0.13595113639761386
detectable_format_json_format,8,50,0.36,0.36,0.15710590032884836
detectable_format_title,0,25,1.0,1.0,1.0
detectable_format_title,1,25,1.0,1.0,1.0
detectable_format_title,2,25,1.0,1.0,1.0
detectable_format_title,3,25,1.0,1.0,1.0
detectable_format_title,4,25,1.0,1.0,1.0
detectable_format_title,5,25,1.0,1.0,1.0
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,1.0,1.0,0.08239994526546252
startend_end_checker,1,25,1.0,1.0,0.06814933835603205
startend_end_checker,2,25,1.0,1.0,0.06832058018609743
startend_end_checker,3,25,1.0,1.0,0.07216185002736727
startend_end_checker,4,25,1.0,1.0,0.06407920087575261
startend_end_checker,5,25,1.0,1.0,0.061095183360700606
startend_end_checker,6,25,1.0,1.0,0.06321283041952412
startend_end_checker,7,25,1.0,1.0,0.06637145110917932
startend_end_checker,8,25,1.0,1.0,0.058814362986573936
startend_quotation,0,25,1.0,1.0,0.04129277739804056
startend_quotation,1,25,0.88,0.88,0.03872299517121249
startend_quotation,2,25,0.2,0.2,0.03505929045487619
startend_quotation,3,25,0.32,0.32,0.05559717475506949
startend_quotation,4,25,0.12,0.12,0.043319310005218326
startend_quotation,5,25,0.12,0.12,0.031950786056049216
startend_quotation,6,25,0.0,0.0,0.03511095921622238
startend_quotation,7,25,0.08,0.08,0.03605929045487619
startend_quotation,8,25,0.04,0.04,0.048600415996001727
