IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,18,18,0.72,0.72,12.0,25.0,0.48
change_case_english_capital,1,25,25,25,1.0,1.0,11.0,25.0,0.44
change_case_english_capital,2,25,25,25,1.0,1.0,9.0,25.0,0.36
change_case_english_capital,3,25,25,25,1.0,1.0,8.0,25.0,0.32
change_case_english_capital,4,25,25,25,1.0,1.0,11.0,25.0,0.44
change_case_english_capital,5,25,25,25,1.0,1.0,9.0,25.0,0.36
change_case_english_capital,6,25,25,25,1.0,1.0,8.0,25.0,0.32
change_case_english_capital,7,25,25,25,1.0,1.0,9.0,25.0,0.36
change_case_english_capital,8,25,25,25,1.0,1.0,9.0,25.0,0.36
change_case_english_lowercase,0,25,14,14,0.56,0.56,6.0,25.0,0.24
change_case_english_lowercase,1,25,25,25,1.0,1.0,11.0,25.0,0.44
change_case_english_lowercase,2,25,24,24,0.96,0.96,10.0,25.0,0.4
change_case_english_lowercase,3,25,24,24,0.96,0.96,11.0,25.0,0.44
change_case_english_lowercase,4,25,24,24,0.96,0.96,8.0,25.0,0.32
change_case_english_lowercase,5,25,25,25,1.0,1.0,5.0,25.0,0.2
change_case_english_lowercase,6,25,25,25,1.0,1.0,5.0,25.0,0.2
change_case_english_lowercase,7,25,25,25,1.0,1.0,4.0,25.0,0.16
change_case_english_lowercase,8,25,25,25,1.0,1.0,2.0,25.0,0.08
combination_repeat_prompt,0,25,22,22,0.88,0.88,9.0,25.0,0.36
combination_repeat_prompt,1,25,25,25,1.0,1.0,14.0,25.0,0.56
combination_repeat_prompt,2,25,25,25,1.0,1.0,14.0,25.0,0.56
combination_repeat_prompt,3,25,25,25,1.0,1.0,13.0,25.0,0.52
combination_repeat_prompt,4,25,25,25,1.0,1.0,14.0,25.0,0.56
combination_repeat_prompt,5,25,25,25,1.0,1.0,14.0,25.0,0.56
combination_repeat_prompt,6,25,25,25,1.0,1.0,11.0,25.0,0.44
combination_repeat_prompt,7,25,25,25,1.0,1.0,9.0,25.0,0.36
combination_repeat_prompt,8,25,25,25,1.0,1.0,8.0,25.0,0.32
detectable_format_json_format,0,50,50,50,1.0,1.0,27.0,50.0,0.54
detectable_format_json_format,1,50,50,50,1.0,1.0,18.0,50.0,0.36
detectable_format_json_format,2,50,50,50,1.0,1.0,15.0,50.0,0.3
detectable_format_json_format,3,50,50,50,1.0,1.0,12.0,50.0,0.24
detectable_format_json_format,4,50,50,50,1.0,1.0,12.0,50.0,0.24
detectable_format_json_format,5,50,50,50,1.0,1.0,10.0,50.0,0.2
detectable_format_json_format,6,50,50,50,1.0,1.0,13.0,50.0,0.26
detectable_format_json_format,7,50,50,50,1.0,1.0,12.0,50.0,0.24
detectable_format_json_format,8,50,50,50,1.0,1.0,13.0,50.0,0.26
detectable_format_title,0,25,9,9,0.36,0.36,3.0,25.0,0.12
detectable_format_title,1,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,2,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,3,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,4,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,5,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,6,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,7,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,8,25,25,25,1.0,1.0,0.0,25.0,0.0
startend_end_checker,0,25,17,17,0.68,0.68,1.0,25.0,0.04
startend_end_checker,1,25,25,25,1.0,1.0,11.0,25.0,0.44
startend_end_checker,2,25,24,24,0.96,0.96,9.0,25.0,0.36
startend_end_checker,3,25,24,24,0.96,0.96,10.0,25.0,0.4
startend_end_checker,4,25,25,25,1.0,1.0,8.0,25.0,0.32
startend_end_checker,5,25,25,25,1.0,1.0,7.0,25.0,0.28
startend_end_checker,6,25,25,25,1.0,1.0,8.0,25.0,0.32
startend_end_checker,7,25,25,25,1.0,1.0,7.0,25.0,0.28
startend_end_checker,8,25,25,25,1.0,1.0,6.0,25.0,0.24
startend_quotation,0,25,7,7,0.28,0.28,6.0,25.0,0.24
startend_quotation,1,25,25,25,1.0,1.0,15.0,25.0,0.6
startend_quotation,2,25,25,25,1.0,1.0,9.0,25.0,0.36
startend_quotation,3,25,25,25,1.0,1.0,10.0,25.0,0.4
startend_quotation,4,25,25,25,1.0,1.0,11.0,25.0,0.44
startend_quotation,5,25,25,25,1.0,1.0,9.0,25.0,0.36
startend_quotation,6,25,25,25,1.0,1.0,10.0,25.0,0.4
startend_quotation,7,25,25,25,1.0,1.0,8.0,25.0,0.32
startend_quotation,8,25,25,25,1.0,1.0,7.0,25.0,0.28
