IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,25,25,1.0,1.0,58,493,0.11764705882352941
change_case_english_capital,1,25,25,25,1.0,1.0,28,493,0.056795131845841784
change_case_english_capital,2,25,24,24,0.96,0.96,25,493,0.05070993914807302
change_case_english_capital,3,25,24,24,0.96,0.96,26,493,0.05273833671399594
change_case_english_capital,4,25,24,24,0.96,0.96,25,493,0.05070993914807302
change_case_english_capital,5,25,24,24,0.96,0.96,25,493,0.05070993914807302
change_case_english_capital,6,25,24,24,0.96,0.96,26,493,0.05273833671399594
change_case_english_capital,7,25,25,25,1.0,1.0,25,493,0.05070993914807302
change_case_english_capital,8,25,24,24,0.96,0.96,27,493,0.05476673427991886
change_case_english_lowercase,0,25,25,25,1.0,1.0,23,710,0.0323943661971831
change_case_english_lowercase,1,25,25,25,1.0,1.0,24,710,0.03380281690140845
change_case_english_lowercase,2,25,25,25,1.0,1.0,27,710,0.038028169014084505
change_case_english_lowercase,3,25,25,25,1.0,1.0,35,710,0.04929577464788732
change_case_english_lowercase,4,25,25,25,1.0,1.0,31,710,0.04366197183098591
change_case_english_lowercase,5,25,25,25,1.0,1.0,39,710,0.054929577464788736
change_case_english_lowercase,6,25,25,25,1.0,1.0,98,710,0.13802816901408452
change_case_english_lowercase,7,25,25,25,1.0,1.0,114,710,0.16056338028169015
change_case_english_lowercase,8,25,25,25,1.0,1.0,59,710,0.08309859154929577
combination_repeat_prompt,0,25,25,25,1.0,1.0,43,443,0.09706546275395034
combination_repeat_prompt,1,25,25,25,1.0,1.0,53,443,0.11963882618510158
combination_repeat_prompt,2,25,25,25,1.0,1.0,66,443,0.1489841986455982
combination_repeat_prompt,3,25,25,25,1.0,1.0,78,443,0.17607223476297967
combination_repeat_prompt,4,25,25,25,1.0,1.0,80,443,0.18058690744920994
combination_repeat_prompt,5,25,25,25,1.0,1.0,90,443,0.20316027088036118
combination_repeat_prompt,6,25,21,21,0.84,0.84,233,443,0.5259593679458239
combination_repeat_prompt,7,25,22,22,0.88,0.88,288,443,0.6501128668171557
combination_repeat_prompt,8,25,21,22,0.84,0.88,367,443,0.8284424379232506
detectable_format_json_format,0,50,49,50,0.98,1.0,48,1013,0.04738400789733465
detectable_format_json_format,1,50,49,49,0.98,0.98,51,1013,0.050345508390918066
detectable_format_json_format,2,50,49,49,0.98,0.98,46,1013,0.045409674234945706
detectable_format_json_format,3,50,48,48,0.96,0.96,1412,1013,1.3938795656465943
detectable_format_json_format,4,50,49,49,0.98,0.98,1172,1013,1.156959526159921
detectable_format_json_format,5,50,50,50,1.0,1.0,82,1013,0.08094768015794669
detectable_format_json_format,6,50,50,50,1.0,1.0,148,1013,0.14610069101678183
detectable_format_json_format,7,50,50,50,1.0,1.0,145,1013,0.14313919052319843
detectable_format_json_format,8,50,50,50,1.0,1.0,184,1013,0.18163869693978282
detectable_format_title,0,25,21,21,0.84,0.84,35,485,0.07216494845360824
detectable_format_title,1,25,24,24,0.96,0.96,25,485,0.05154639175257732
detectable_format_title,2,25,24,24,0.96,0.96,31,485,0.06391752577319587
detectable_format_title,3,25,24,24,0.96,0.96,31,485,0.06391752577319587
detectable_format_title,4,25,24,24,0.96,0.96,78,485,0.16082474226804125
detectable_format_title,5,25,22,22,0.88,0.88,103,485,0.21237113402061855
detectable_format_title,6,25,24,24,0.96,0.96,150,485,0.30927835051546393
detectable_format_title,7,25,23,23,0.92,0.92,121,485,0.24948453608247423
detectable_format_title,8,25,22,22,0.88,0.88,134,485,0.27628865979381445
startend_end_checker,0,25,25,25,1.0,1.0,73,445,0.16404494382022472
startend_end_checker,1,25,25,25,1.0,1.0,23,445,0.051685393258426963
startend_end_checker,2,25,25,25,1.0,1.0,24,445,0.05393258426966292
startend_end_checker,3,25,25,25,1.0,1.0,21,445,0.04719101123595506
startend_end_checker,4,25,25,25,1.0,1.0,30,445,0.06741573033707865
startend_end_checker,5,25,24,24,0.96,0.96,72,445,0.16179775280898875
startend_end_checker,6,25,24,24,0.96,0.96,69,445,0.1550561797752809
startend_end_checker,7,25,24,24,0.96,0.96,182,445,0.40898876404494383
startend_end_checker,8,25,24,24,0.96,0.96,188,445,0.42247191011235957
startend_quotation,0,25,25,25,1.0,1.0,61,528,0.11553030303030302
startend_quotation,1,25,25,25,1.0,1.0,21,528,0.03977272727272727
startend_quotation,2,25,25,25,1.0,1.0,30,528,0.056818181818181816
startend_quotation,3,25,24,24,0.96,0.96,53,528,0.10037878787878787
startend_quotation,4,25,25,25,1.0,1.0,25,528,0.04734848484848485
startend_quotation,5,25,24,24,0.96,0.96,60,528,0.11363636363636363
startend_quotation,6,25,25,25,1.0,1.0,33,528,0.0625
startend_quotation,7,25,25,25,1.0,1.0,38,528,0.07196969696969698
startend_quotation,8,25,24,24,0.96,0.96,77,528,0.14583333333333334
