IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,24,24,0.96,0.96,12,493,0.02434077079107505
change_case_english_capital,1,25,25,25,1.0,1.0,14,493,0.028397565922920892
change_case_english_capital,2,25,25,25,1.0,1.0,14,493,0.028397565922920892
change_case_english_capital,3,25,25,25,1.0,1.0,13,493,0.02636916835699797
change_case_english_capital,4,25,25,25,1.0,1.0,15,493,0.030425963488843813
change_case_english_capital,5,25,25,25,1.0,1.0,13,493,0.02636916835699797
change_case_english_capital,6,25,25,25,1.0,1.0,14,493,0.028397565922920892
change_case_english_capital,7,25,25,25,1.0,1.0,9,493,0.018255578093306288
change_case_english_capital,8,25,25,25,1.0,1.0,14,493,0.028397565922920892
change_case_english_lowercase,0,25,25,25,1.0,1.0,27,710,0.038028169014084505
change_case_english_lowercase,1,25,25,25,1.0,1.0,21,710,0.029577464788732393
change_case_english_lowercase,2,25,25,25,1.0,1.0,25,710,0.035211267605633804
change_case_english_lowercase,3,25,25,25,1.0,1.0,25,710,0.035211267605633804
change_case_english_lowercase,4,25,25,25,1.0,1.0,26,710,0.036619718309859155
change_case_english_lowercase,5,25,25,25,1.0,1.0,29,710,0.04084507042253521
change_case_english_lowercase,6,25,25,25,1.0,1.0,25,710,0.035211267605633804
change_case_english_lowercase,7,25,25,25,1.0,1.0,28,710,0.03943661971830986
change_case_english_lowercase,8,25,25,25,1.0,1.0,27,710,0.038028169014084505
combination_repeat_prompt,0,25,25,25,1.0,1.0,11,443,0.024830699774266364
combination_repeat_prompt,1,25,25,25,1.0,1.0,16,443,0.03611738148984198
combination_repeat_prompt,2,25,25,25,1.0,1.0,18,443,0.040632054176072234
combination_repeat_prompt,3,25,25,25,1.0,1.0,21,443,0.04740406320541761
combination_repeat_prompt,4,25,25,25,1.0,1.0,15,443,0.033860045146726865
combination_repeat_prompt,5,25,25,25,1.0,1.0,19,443,0.04288939051918736
combination_repeat_prompt,6,25,25,25,1.0,1.0,15,443,0.033860045146726865
combination_repeat_prompt,7,25,25,25,1.0,1.0,17,443,0.03837471783295711
combination_repeat_prompt,8,25,25,25,1.0,1.0,24,443,0.05417607223476298
detectable_format_json_format,0,50,50,50,1.0,1.0,25,1013,0.024679170779861797
detectable_format_json_format,1,50,50,50,1.0,1.0,30,1013,0.029615004935834157
detectable_format_json_format,2,50,50,50,1.0,1.0,28,1013,0.027640671273445213
detectable_format_json_format,3,50,50,50,1.0,1.0,26,1013,0.02566633761105627
detectable_format_json_format,4,50,50,50,1.0,1.0,26,1013,0.02566633761105627
detectable_format_json_format,5,50,50,50,1.0,1.0,26,1013,0.02566633761105627
detectable_format_json_format,6,50,50,50,1.0,1.0,34,1013,0.03356367226061204
detectable_format_json_format,7,50,50,50,1.0,1.0,30,1013,0.029615004935834157
detectable_format_json_format,8,50,50,50,1.0,1.0,32,1013,0.0315893385982231
detectable_format_title,0,25,25,25,1.0,1.0,23,485,0.04742268041237113
detectable_format_title,1,25,25,25,1.0,1.0,20,485,0.041237113402061855
detectable_format_title,2,25,25,25,1.0,1.0,21,485,0.04329896907216495
detectable_format_title,3,25,25,25,1.0,1.0,21,485,0.04329896907216495
detectable_format_title,4,25,25,25,1.0,1.0,23,485,0.04742268041237113
detectable_format_title,5,25,25,25,1.0,1.0,20,485,0.041237113402061855
detectable_format_title,6,25,25,25,1.0,1.0,22,485,0.04536082474226804
detectable_format_title,7,25,25,25,1.0,1.0,22,485,0.04536082474226804
detectable_format_title,8,25,25,25,1.0,1.0,21,485,0.04329896907216495
startend_end_checker,0,25,25,25,1.0,1.0,24,445,0.05393258426966292
startend_end_checker,1,25,25,25,1.0,1.0,19,445,0.04269662921348315
startend_end_checker,2,25,25,25,1.0,1.0,21,445,0.04719101123595506
startend_end_checker,3,25,25,25,1.0,1.0,20,445,0.0449438202247191
startend_end_checker,4,25,25,25,1.0,1.0,16,445,0.035955056179775284
startend_end_checker,5,25,25,25,1.0,1.0,20,445,0.0449438202247191
startend_end_checker,6,25,25,25,1.0,1.0,21,445,0.04719101123595506
startend_end_checker,7,25,25,25,1.0,1.0,19,445,0.04269662921348315
startend_end_checker,8,25,25,25,1.0,1.0,18,445,0.04044943820224719
startend_quotation,0,25,25,25,1.0,1.0,21,528,0.03977272727272727
startend_quotation,1,25,25,25,1.0,1.0,15,528,0.028409090909090908
startend_quotation,2,25,25,25,1.0,1.0,20,528,0.03787878787878788
startend_quotation,3,25,25,25,1.0,1.0,16,528,0.030303030303030304
startend_quotation,4,25,25,25,1.0,1.0,16,528,0.030303030303030304
startend_quotation,5,25,25,25,1.0,1.0,17,528,0.032196969696969696
startend_quotation,6,25,25,25,1.0,1.0,15,528,0.028409090909090908
startend_quotation,7,25,25,25,1.0,1.0,15,528,0.028409090909090908
startend_quotation,8,25,25,25,1.0,1.0,14,528,0.026515151515151516
