IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,42,41,41,0.9761904761904762,0.9761904761904762,31.0,42.0,0.7380952380952381
change_case_english_capital,1,42,42,42,1.0,1.0,36.0,42.0,0.8571428571428571
change_case_english_capital,2,42,41,41,0.9761904761904762,0.9761904761904762,36.0,42.0,0.8571428571428571
change_case_english_capital,3,42,42,42,1.0,1.0,37.0,42.0,0.8809523809523809
change_case_english_capital,4,42,42,42,1.0,1.0,36.0,42.0,0.8571428571428571
change_case_english_capital,5,42,40,40,0.9523809523809523,0.9523809523809523,35.0,42.0,0.8333333333333334
change_case_english_capital,6,42,41,41,0.9761904761904762,0.9761904761904762,34.0,42.0,0.8095238095238095
change_case_english_capital,7,42,41,41,0.9761904761904762,0.9761904761904762,35.0,42.0,0.8333333333333334
change_case_english_capital,8,42,42,42,1.0,1.0,38.0,42.0,0.9047619047619048
change_case_english_lowercase,0,50,49,49,0.98,0.98,42.0,50.0,0.84
change_case_english_lowercase,1,50,49,49,0.98,0.98,43.0,50.0,0.86
change_case_english_lowercase,2,50,50,50,1.0,1.0,40.0,50.0,0.8
change_case_english_lowercase,3,50,50,50,1.0,1.0,43.0,50.0,0.86
change_case_english_lowercase,4,50,50,50,1.0,1.0,43.0,50.0,0.86
change_case_english_lowercase,5,50,50,50,1.0,1.0,42.0,50.0,0.84
change_case_english_lowercase,6,50,50,50,1.0,1.0,42.0,50.0,0.84
change_case_english_lowercase,7,50,50,50,1.0,1.0,43.0,50.0,0.86
change_case_english_lowercase,8,50,50,50,1.0,1.0,43.0,50.0,0.86
combination_repeat_prompt,0,12,12,12,1.0,1.0,5.0,12.0,0.4166666666666667
combination_repeat_prompt,1,12,12,12,1.0,1.0,10.0,12.0,0.8333333333333334
combination_repeat_prompt,2,12,12,12,1.0,1.0,12.0,12.0,1.0
combination_repeat_prompt,3,12,12,12,1.0,1.0,11.0,12.0,0.9166666666666666
combination_repeat_prompt,4,12,12,12,1.0,1.0,12.0,12.0,1.0
combination_repeat_prompt,5,12,12,12,1.0,1.0,9.0,12.0,0.75
combination_repeat_prompt,6,12,12,12,1.0,1.0,11.0,12.0,0.9166666666666666
combination_repeat_prompt,7,12,12,12,1.0,1.0,10.0,12.0,0.8333333333333334
combination_repeat_prompt,8,12,12,12,1.0,1.0,11.0,12.0,0.9166666666666666
detectable_format_json_format,0,78,77,77,0.9871794871794872,0.9871794871794872,66.0,78.0,0.8461538461538461
detectable_format_json_format,1,78,78,78,1.0,1.0,68.0,78.0,0.8717948717948718
detectable_format_json_format,2,78,77,77,0.9871794871794872,0.9871794871794872,68.0,78.0,0.8717948717948718
detectable_format_json_format,3,78,77,77,0.9871794871794872,0.9871794871794872,68.0,78.0,0.8717948717948718
detectable_format_json_format,4,78,78,78,1.0,1.0,66.0,78.0,0.8461538461538461
detectable_format_json_format,5,78,78,78,1.0,1.0,67.0,78.0,0.8589743589743589
detectable_format_json_format,6,78,78,78,1.0,1.0,66.0,78.0,0.8461538461538461
detectable_format_json_format,7,78,78,78,1.0,1.0,65.0,78.0,0.8333333333333334
detectable_format_json_format,8,78,78,78,1.0,1.0,63.0,78.0,0.8076923076923077
detectable_format_title,0,6,5,5,0.8333333333333334,0.8333333333333334,0.0,6.0,0.0
detectable_format_title,1,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,2,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,3,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,4,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,5,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,6,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,7,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,8,6,6,6,1.0,1.0,0.0,6.0,0.0
startend_end_checker,0,6,6,6,1.0,1.0,0.0,6.0,0.0
startend_end_checker,1,6,6,6,1.0,1.0,4.0,6.0,0.6666666666666666
startend_end_checker,2,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,3,6,6,6,1.0,1.0,6.0,6.0,1.0
startend_end_checker,4,6,6,6,1.0,1.0,4.0,6.0,0.6666666666666666
startend_end_checker,5,6,6,6,1.0,1.0,3.0,6.0,0.5
startend_end_checker,6,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,7,6,6,6,1.0,1.0,3.0,6.0,0.5
startend_end_checker,8,6,6,6,1.0,1.0,4.0,6.0,0.6666666666666666
startend_quotation,0,19,17,17,0.8947368421052632,0.8947368421052632,11.0,19.0,0.5789473684210527
startend_quotation,1,19,19,19,1.0,1.0,13.0,19.0,0.6842105263157895
startend_quotation,2,19,19,19,1.0,1.0,13.0,19.0,0.6842105263157895
startend_quotation,3,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,4,19,19,19,1.0,1.0,13.0,19.0,0.6842105263157895
startend_quotation,5,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,6,19,19,19,1.0,1.0,13.0,19.0,0.6842105263157895
startend_quotation,7,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,8,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
