IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,25,25,1.0,1.0,13,493,0.02636916835699797
change_case_english_capital,1,25,25,25,1.0,1.0,12,493,0.02434077079107505
change_case_english_capital,2,25,25,25,1.0,1.0,12,493,0.02434077079107505
change_case_english_capital,3,25,25,25,1.0,1.0,10,493,0.02028397565922921
change_case_english_capital,4,25,25,25,1.0,1.0,12,493,0.02434077079107505
change_case_english_capital,5,25,25,25,1.0,1.0,11,493,0.02231237322515213
change_case_english_capital,6,25,25,25,1.0,1.0,14,493,0.028397565922920892
change_case_english_capital,7,25,24,24,0.96,0.96,31,493,0.06288032454361055
change_case_english_capital,8,25,22,22,0.88,0.88,38,493,0.07707910750507099
change_case_english_lowercase,0,25,25,25,1.0,1.0,22,710,0.030985915492957747
change_case_english_lowercase,1,25,25,25,1.0,1.0,22,710,0.030985915492957747
change_case_english_lowercase,2,25,25,25,1.0,1.0,24,710,0.03380281690140845
change_case_english_lowercase,3,25,25,25,1.0,1.0,27,710,0.038028169014084505
change_case_english_lowercase,4,25,25,25,1.0,1.0,25,710,0.035211267605633804
change_case_english_lowercase,5,25,25,25,1.0,1.0,20,710,0.028169014084507043
change_case_english_lowercase,6,25,25,25,1.0,1.0,19,710,0.02676056338028169
change_case_english_lowercase,7,25,25,25,1.0,1.0,26,710,0.036619718309859155
change_case_english_lowercase,8,25,25,25,1.0,1.0,21,710,0.029577464788732393
combination_repeat_prompt,0,25,25,25,1.0,1.0,15,443,0.033860045146726865
combination_repeat_prompt,1,25,25,25,1.0,1.0,16,443,0.03611738148984198
combination_repeat_prompt,2,25,25,25,1.0,1.0,19,443,0.04288939051918736
combination_repeat_prompt,3,25,25,25,1.0,1.0,20,443,0.045146726862302484
combination_repeat_prompt,4,25,25,25,1.0,1.0,21,443,0.04740406320541761
combination_repeat_prompt,5,25,25,25,1.0,1.0,16,443,0.03611738148984198
combination_repeat_prompt,6,25,24,24,0.96,0.96,28,443,0.06320541760722348
combination_repeat_prompt,7,25,25,25,1.0,1.0,23,443,0.05191873589164785
combination_repeat_prompt,8,25,25,25,1.0,1.0,21,443,0.04740406320541761
detectable_format_json_format,0,50,50,50,1.0,1.0,27,1013,0.02665350444225074
detectable_format_json_format,1,50,50,50,1.0,1.0,35,1013,0.034550839091806514
detectable_format_json_format,2,50,50,50,1.0,1.0,26,1013,0.02566633761105627
detectable_format_json_format,3,50,50,50,1.0,1.0,27,1013,0.02665350444225074
detectable_format_json_format,4,50,50,50,1.0,1.0,31,1013,0.03060217176702863
detectable_format_json_format,5,50,50,50,1.0,1.0,29,1013,0.028627838104639685
detectable_format_json_format,6,50,50,50,1.0,1.0,30,1013,0.029615004935834157
detectable_format_json_format,7,50,50,50,1.0,1.0,30,1013,0.029615004935834157
detectable_format_json_format,8,50,50,50,1.0,1.0,32,1013,0.0315893385982231
detectable_format_title,0,25,25,25,1.0,1.0,20,485,0.041237113402061855
detectable_format_title,1,25,25,25,1.0,1.0,27,485,0.05567010309278351
detectable_format_title,2,25,25,25,1.0,1.0,21,485,0.04329896907216495
detectable_format_title,3,25,25,25,1.0,1.0,28,485,0.0577319587628866
detectable_format_title,4,25,25,25,1.0,1.0,24,485,0.049484536082474224
detectable_format_title,5,25,25,25,1.0,1.0,25,485,0.05154639175257732
detectable_format_title,6,25,25,25,1.0,1.0,25,485,0.05154639175257732
detectable_format_title,7,25,25,25,1.0,1.0,22,485,0.04536082474226804
detectable_format_title,8,25,25,25,1.0,1.0,25,485,0.05154639175257732
startend_end_checker,0,25,25,25,1.0,1.0,25,445,0.056179775280898875
startend_end_checker,1,25,25,25,1.0,1.0,24,445,0.05393258426966292
startend_end_checker,2,25,25,25,1.0,1.0,24,445,0.05393258426966292
startend_end_checker,3,25,25,25,1.0,1.0,24,445,0.05393258426966292
startend_end_checker,4,25,25,25,1.0,1.0,20,445,0.0449438202247191
startend_end_checker,5,25,25,25,1.0,1.0,20,445,0.0449438202247191
startend_end_checker,6,25,25,25,1.0,1.0,18,445,0.04044943820224719
startend_end_checker,7,25,25,25,1.0,1.0,22,445,0.04943820224719101
startend_end_checker,8,25,25,25,1.0,1.0,20,445,0.0449438202247191
startend_quotation,0,25,25,25,1.0,1.0,14,528,0.026515151515151516
startend_quotation,1,25,25,25,1.0,1.0,16,528,0.030303030303030304
startend_quotation,2,25,25,25,1.0,1.0,18,528,0.03409090909090909
startend_quotation,3,25,25,25,1.0,1.0,16,528,0.030303030303030304
startend_quotation,4,25,25,25,1.0,1.0,15,528,0.028409090909090908
startend_quotation,5,25,25,25,1.0,1.0,15,528,0.028409090909090908
startend_quotation,6,25,25,25,1.0,1.0,16,528,0.030303030303030304
startend_quotation,7,25,25,25,1.0,1.0,13,528,0.02462121212121212
startend_quotation,8,25,25,25,1.0,1.0,13,528,0.02462121212121212
