IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,15,15,0.6,0.6,53,493,0.1075050709939148
change_case_english_capital,1,25,15,15,0.6,0.6,59,493,0.11967545638945233
change_case_english_capital,2,25,14,14,0.56,0.56,42,493,0.08519269776876268
change_case_english_capital,3,25,15,15,0.6,0.6,36,493,0.07302231237322515
change_case_english_capital,4,25,15,15,0.6,0.6,33,493,0.06693711967545639
change_case_english_capital,5,25,13,13,0.52,0.52,31,493,0.06288032454361055
change_case_english_capital,6,25,12,12,0.48,0.48,35,493,0.07099391480730223
change_case_english_capital,7,25,12,12,0.48,0.48,34,493,0.06896551724137931
change_case_english_capital,8,25,13,13,0.52,0.52,33,493,0.06693711967545639
change_case_english_lowercase,0,25,25,25,1.0,1.0,47,710,0.06619718309859154
change_case_english_lowercase,1,25,25,25,1.0,1.0,31,710,0.04366197183098591
change_case_english_lowercase,2,25,25,25,1.0,1.0,35,710,0.04929577464788732
change_case_english_lowercase,3,25,24,24,0.96,0.96,34,710,0.04788732394366197
change_case_english_lowercase,4,25,24,24,0.96,0.96,18,710,0.02535211267605634
change_case_english_lowercase,5,25,24,24,0.96,0.96,35,710,0.04929577464788732
change_case_english_lowercase,6,25,25,25,1.0,1.0,161,710,0.2267605633802817
change_case_english_lowercase,7,25,24,24,0.96,0.96,21,710,0.029577464788732393
change_case_english_lowercase,8,25,24,24,0.96,0.96,19,710,0.02676056338028169
combination_repeat_prompt,0,25,24,24,0.96,0.96,64,443,0.14446952595936793
combination_repeat_prompt,1,25,25,25,1.0,1.0,24,443,0.05417607223476298
combination_repeat_prompt,2,25,25,25,1.0,1.0,12,443,0.02708803611738149
combination_repeat_prompt,3,25,25,25,1.0,1.0,12,443,0.02708803611738149
combination_repeat_prompt,4,25,25,25,1.0,1.0,14,443,0.03160270880361174
combination_repeat_prompt,5,25,25,25,1.0,1.0,13,443,0.029345372460496615
combination_repeat_prompt,6,25,25,25,1.0,1.0,14,443,0.03160270880361174
combination_repeat_prompt,7,25,25,25,1.0,1.0,12,443,0.02708803611738149
combination_repeat_prompt,8,25,25,25,1.0,1.0,13,443,0.029345372460496615
detectable_format_json_format,0,50,0,0,0.0,0.0,175,1013,0.1727541954590326
detectable_format_json_format,1,50,0,0,0.0,0.0,169,1013,0.16683119447186576
detectable_format_json_format,2,50,0,0,0.0,0.0,168,1013,0.16584402764067127
detectable_format_json_format,3,50,0,0,0.0,0.0,171,1013,0.1688055281342547
detectable_format_json_format,4,50,0,0,0.0,0.0,173,1013,0.17077986179664364
detectable_format_json_format,5,50,0,0,0.0,0.0,172,1013,0.16979269496544916
detectable_format_json_format,6,50,1,1,0.02,0.02,171,1013,0.1688055281342547
detectable_format_json_format,7,50,4,4,0.08,0.08,165,1013,0.16288252714708787
detectable_format_json_format,8,50,3,3,0.06,0.06,168,1013,0.16584402764067127
detectable_format_title,0,25,10,10,0.4,0.4,137,485,0.2824742268041237
detectable_format_title,1,25,17,17,0.68,0.68,62,485,0.12783505154639174
detectable_format_title,2,25,17,17,0.68,0.68,42,485,0.0865979381443299
detectable_format_title,3,25,16,16,0.64,0.64,45,485,0.09278350515463918
detectable_format_title,4,25,18,18,0.72,0.72,52,485,0.10721649484536082
detectable_format_title,5,25,15,15,0.6,0.6,68,485,0.1402061855670103
detectable_format_title,6,25,17,17,0.68,0.68,56,485,0.1154639175257732
detectable_format_title,7,25,14,14,0.56,0.56,72,485,0.14845360824742268
detectable_format_title,8,25,14,14,0.56,0.56,63,485,0.12989690721649486
startend_end_checker,0,25,16,16,0.64,0.64,241,445,0.5415730337078651
startend_end_checker,1,25,17,17,0.68,0.68,180,445,0.4044943820224719
startend_end_checker,2,25,17,17,0.68,0.68,93,445,0.20898876404494382
startend_end_checker,3,25,14,14,0.56,0.56,140,445,0.3146067415730337
startend_end_checker,4,25,14,14,0.56,0.56,81,445,0.18202247191011237
startend_end_checker,5,25,13,13,0.52,0.52,72,445,0.16179775280898875
startend_end_checker,6,25,16,16,0.64,0.64,43,445,0.09662921348314607
startend_end_checker,7,25,12,12,0.48,0.48,60,445,0.1348314606741573
startend_end_checker,8,25,14,14,0.56,0.56,52,445,0.11685393258426967
startend_quotation,0,25,0,0,0.0,0.0,132,528,0.25
startend_quotation,1,25,5,5,0.2,0.2,51,528,0.09659090909090909
startend_quotation,2,25,8,8,0.32,0.32,28,528,0.05303030303030303
startend_quotation,3,25,9,9,0.36,0.36,32,528,0.06060606060606061
startend_quotation,4,25,9,9,0.36,0.36,9,528,0.017045454545454544
startend_quotation,5,25,9,9,0.36,0.36,9,528,0.017045454545454544
startend_quotation,6,25,8,8,0.32,0.32,11,528,0.020833333333333332
startend_quotation,7,25,9,9,0.36,0.36,12,528,0.022727272727272728
startend_quotation,8,25,9,9,0.36,0.36,9,528,0.017045454545454544
