IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,25,25,1.0,1.0,20.0,25.0,0.8
change_case_english_capital,1,25,25,25,1.0,1.0,17.0,25.0,0.68
change_case_english_capital,2,25,25,25,1.0,1.0,20.0,25.0,0.8
change_case_english_capital,3,25,24,24,0.96,0.96,22.0,25.0,0.88
change_case_english_capital,4,25,24,24,0.96,0.96,21.0,25.0,0.84
change_case_english_capital,5,25,24,24,0.96,0.96,21.0,25.0,0.84
change_case_english_capital,6,25,23,23,0.92,0.92,21.0,25.0,0.84
change_case_english_capital,7,25,23,23,0.92,0.92,24.0,25.0,0.96
change_case_english_capital,8,25,23,23,0.92,0.92,22.0,25.0,0.88
change_case_english_lowercase,0,25,25,25,1.0,1.0,21.0,25.0,0.84
change_case_english_lowercase,1,25,24,24,0.96,0.96,22.0,25.0,0.88
change_case_english_lowercase,2,25,22,22,0.88,0.88,21.0,25.0,0.84
change_case_english_lowercase,3,25,22,22,0.88,0.88,19.0,25.0,0.76
change_case_english_lowercase,4,25,23,23,0.92,0.92,19.0,25.0,0.76
change_case_english_lowercase,5,25,22,22,0.88,0.88,18.0,25.0,0.72
change_case_english_lowercase,6,25,22,22,0.88,0.88,19.0,25.0,0.76
change_case_english_lowercase,7,25,23,23,0.92,0.92,19.0,25.0,0.76
change_case_english_lowercase,8,25,20,20,0.8,0.8,18.0,25.0,0.72
combination_repeat_prompt,0,25,23,23,0.92,0.92,15.0,25.0,0.6
combination_repeat_prompt,1,25,24,24,0.96,0.96,22.0,25.0,0.88
combination_repeat_prompt,2,25,25,25,1.0,1.0,23.0,25.0,0.92
combination_repeat_prompt,3,25,25,25,1.0,1.0,22.0,25.0,0.88
combination_repeat_prompt,4,25,25,25,1.0,1.0,24.0,25.0,0.96
combination_repeat_prompt,5,25,25,25,1.0,1.0,24.0,25.0,0.96
combination_repeat_prompt,6,25,25,25,1.0,1.0,23.0,25.0,0.92
combination_repeat_prompt,7,25,25,25,1.0,1.0,22.0,25.0,0.88
combination_repeat_prompt,8,25,25,25,1.0,1.0,22.0,25.0,0.88
detectable_format_json_format,0,50,0,0,0.0,0.0,25.0,50.0,0.5
detectable_format_json_format,1,50,0,0,0.0,0.0,26.0,50.0,0.52
detectable_format_json_format,2,50,0,0,0.0,0.0,27.0,50.0,0.54
detectable_format_json_format,3,50,0,0,0.0,0.0,27.0,50.0,0.54
detectable_format_json_format,4,50,0,0,0.0,0.0,27.0,50.0,0.54
detectable_format_json_format,5,50,0,0,0.0,0.0,28.0,50.0,0.56
detectable_format_json_format,6,50,0,0,0.0,0.0,27.0,50.0,0.54
detectable_format_json_format,7,50,0,0,0.0,0.0,27.0,50.0,0.54
detectable_format_json_format,8,50,0,0,0.0,0.0,28.0,50.0,0.56
detectable_format_title,0,25,14,14,0.56,0.56,8.0,25.0,0.32
detectable_format_title,1,25,19,19,0.76,0.76,6.0,25.0,0.24
detectable_format_title,2,25,14,14,0.56,0.56,4.0,25.0,0.16
detectable_format_title,3,25,14,14,0.56,0.56,6.0,25.0,0.24
detectable_format_title,4,25,13,13,0.52,0.52,7.0,25.0,0.28
detectable_format_title,5,25,16,16,0.64,0.64,7.0,25.0,0.28
detectable_format_title,6,25,15,15,0.6,0.6,6.0,25.0,0.24
detectable_format_title,7,25,18,18,0.72,0.72,4.0,25.0,0.16
detectable_format_title,8,25,18,18,0.72,0.72,5.0,25.0,0.2
startend_end_checker,0,25,16,16,0.64,0.64,15.0,25.0,0.6
startend_end_checker,1,25,22,22,0.88,0.88,16.0,25.0,0.64
startend_end_checker,2,25,19,19,0.76,0.76,15.0,25.0,0.6
startend_end_checker,3,25,14,14,0.56,0.56,14.0,25.0,0.56
startend_end_checker,4,25,16,16,0.64,0.64,14.0,25.0,0.56
startend_end_checker,5,25,15,15,0.6,0.6,13.0,25.0,0.52
startend_end_checker,6,25,15,15,0.6,0.6,13.0,25.0,0.52
startend_end_checker,7,25,15,15,0.6,0.6,14.0,25.0,0.56
startend_end_checker,8,25,15,15,0.6,0.6,11.0,25.0,0.44
startend_quotation,0,25,0,0,0.0,0.0,14.0,25.0,0.56
startend_quotation,1,25,3,3,0.12,0.12,17.0,25.0,0.68
startend_quotation,2,25,6,6,0.24,0.24,16.0,25.0,0.64
startend_quotation,3,25,6,6,0.24,0.24,19.0,25.0,0.76
startend_quotation,4,25,6,6,0.24,0.24,18.0,25.0,0.72
startend_quotation,5,25,9,9,0.36,0.36,18.0,25.0,0.72
startend_quotation,6,25,9,9,0.36,0.36,19.0,25.0,0.76
startend_quotation,7,25,9,9,0.36,0.36,19.0,25.0,0.76
startend_quotation,8,25,9,9,0.36,0.36,16.0,25.0,0.64
