IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,20,20,0.8,0.8,15.0,25.0,0.6
change_case_english_capital,1,25,21,21,0.84,0.84,11.0,25.0,0.44
change_case_english_capital,2,25,20,20,0.8,0.8,6.0,25.0,0.24
change_case_english_capital,3,25,15,15,0.6,0.6,10.0,25.0,0.4
change_case_english_capital,4,25,17,17,0.68,0.68,8.0,25.0,0.32
change_case_english_capital,5,25,17,17,0.68,0.68,8.0,25.0,0.32
change_case_english_capital,6,25,19,19,0.76,0.76,10.0,25.0,0.4
change_case_english_capital,7,25,17,17,0.68,0.68,6.0,25.0,0.24
change_case_english_capital,8,25,21,21,0.84,0.84,8.0,25.0,0.32
change_case_english_lowercase,0,25,10,10,0.4,0.4,11.0,25.0,0.44
change_case_english_lowercase,1,25,21,21,0.84,0.84,8.0,25.0,0.32
change_case_english_lowercase,2,25,24,24,0.96,0.96,11.0,25.0,0.44
change_case_english_lowercase,3,25,23,23,0.92,0.92,9.0,25.0,0.36
change_case_english_lowercase,4,25,25,25,1.0,1.0,12.0,25.0,0.48
change_case_english_lowercase,5,25,24,24,0.96,0.96,9.0,25.0,0.36
change_case_english_lowercase,6,25,25,25,1.0,1.0,12.0,25.0,0.48
change_case_english_lowercase,7,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_lowercase,8,25,25,25,1.0,1.0,14.0,25.0,0.56
combination_repeat_prompt,0,25,23,23,0.92,0.92,9.0,25.0,0.36
combination_repeat_prompt,1,25,25,25,1.0,1.0,16.0,25.0,0.64
combination_repeat_prompt,2,25,25,25,1.0,1.0,18.0,25.0,0.72
combination_repeat_prompt,3,25,25,25,1.0,1.0,16.0,25.0,0.64
combination_repeat_prompt,4,25,25,25,1.0,1.0,17.0,25.0,0.68
combination_repeat_prompt,5,25,25,25,1.0,1.0,15.0,25.0,0.6
combination_repeat_prompt,6,25,25,25,1.0,1.0,16.0,25.0,0.64
combination_repeat_prompt,7,25,25,25,1.0,1.0,17.0,25.0,0.68
combination_repeat_prompt,8,25,25,25,1.0,1.0,15.0,25.0,0.6
detectable_format_json_format,0,50,0,0,0.0,0.0,29.0,50.0,0.58
detectable_format_json_format,1,50,1,1,0.02,0.02,32.0,50.0,0.64
detectable_format_json_format,2,50,1,1,0.02,0.02,29.0,50.0,0.58
detectable_format_json_format,3,50,1,1,0.02,0.02,29.0,50.0,0.58
detectable_format_json_format,4,50,2,2,0.04,0.04,31.0,50.0,0.62
detectable_format_json_format,5,50,2,2,0.04,0.04,28.0,50.0,0.56
detectable_format_json_format,6,50,4,4,0.08,0.08,30.0,50.0,0.6
detectable_format_json_format,7,50,5,5,0.1,0.1,33.0,50.0,0.66
detectable_format_json_format,8,50,5,5,0.1,0.1,29.0,50.0,0.58
detectable_format_title,0,25,7,7,0.28,0.28,12.0,25.0,0.48
detectable_format_title,1,25,14,14,0.56,0.56,6.0,25.0,0.24
detectable_format_title,2,25,12,12,0.48,0.48,5.0,25.0,0.2
detectable_format_title,3,25,11,11,0.44,0.44,6.0,25.0,0.24
detectable_format_title,4,25,13,13,0.52,0.52,4.0,25.0,0.16
detectable_format_title,5,25,15,15,0.6,0.6,5.0,25.0,0.2
detectable_format_title,6,25,17,17,0.68,0.68,3.0,25.0,0.12
detectable_format_title,7,25,16,16,0.64,0.64,4.0,25.0,0.16
detectable_format_title,8,25,15,15,0.6,0.6,5.0,25.0,0.2
startend_end_checker,0,25,9,9,0.36,0.36,16.0,25.0,0.64
startend_end_checker,1,25,21,21,0.84,0.84,18.0,25.0,0.72
startend_end_checker,2,25,19,19,0.76,0.76,15.0,25.0,0.6
startend_end_checker,3,25,23,23,0.92,0.92,15.0,25.0,0.6
startend_end_checker,4,25,22,22,0.88,0.88,16.0,25.0,0.64
startend_end_checker,5,25,22,22,0.88,0.88,16.0,25.0,0.64
startend_end_checker,6,25,22,22,0.88,0.88,16.0,25.0,0.64
startend_end_checker,7,25,21,21,0.84,0.84,17.0,25.0,0.68
startend_end_checker,8,25,22,22,0.88,0.88,16.0,25.0,0.64
startend_quotation,0,25,0,0,0.0,0.0,10.0,25.0,0.4
startend_quotation,1,25,23,23,0.92,0.92,10.0,25.0,0.4
startend_quotation,2,25,22,22,0.88,0.88,8.0,25.0,0.32
startend_quotation,3,25,22,22,0.88,0.88,7.0,25.0,0.28
startend_quotation,4,25,23,23,0.92,0.92,7.0,25.0,0.28
startend_quotation,5,25,24,24,0.96,0.96,11.0,25.0,0.44
startend_quotation,6,25,23,23,0.92,0.92,10.0,25.0,0.4
startend_quotation,7,25,25,25,1.0,1.0,9.0,25.0,0.36
startend_quotation,8,25,25,25,1.0,1.0,9.0,25.0,0.36
