IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,66,493,0.13387423935091278
change_case_english_capital,1,25,3,3,0.12,0.12,27,493,0.05476673427991886
change_case_english_capital,2,25,19,19,0.76,0.76,31,493,0.06288032454361055
change_case_english_capital,3,25,21,21,0.84,0.84,39,493,0.07910750507099391
change_case_english_capital,4,25,22,22,0.88,0.88,31,493,0.06288032454361055
change_case_english_capital,5,25,21,21,0.84,0.84,35,493,0.07099391480730223
change_case_english_capital,6,25,23,23,0.92,0.92,35,493,0.07099391480730223
change_case_english_capital,7,25,23,23,0.92,0.92,35,493,0.07099391480730223
change_case_english_capital,8,25,23,23,0.92,0.92,34,493,0.06896551724137931
change_case_english_lowercase,0,25,0,0,0.0,0.0,61,710,0.08591549295774648
change_case_english_lowercase,1,25,0,0,0.0,0.0,49,710,0.06901408450704226
change_case_english_lowercase,2,25,11,11,0.44,0.44,41,710,0.057746478873239436
change_case_english_lowercase,3,25,16,16,0.64,0.64,41,710,0.057746478873239436
change_case_english_lowercase,4,25,22,22,0.88,0.88,43,710,0.06056338028169014
change_case_english_lowercase,5,25,23,23,0.92,0.92,40,710,0.056338028169014086
change_case_english_lowercase,6,25,23,23,0.92,0.92,40,710,0.056338028169014086
change_case_english_lowercase,7,25,23,23,0.92,0.92,35,710,0.04929577464788732
change_case_english_lowercase,8,25,23,23,0.92,0.92,41,710,0.057746478873239436
combination_repeat_prompt,0,25,0,0,0.0,0.0,113,443,0.255079006772009
combination_repeat_prompt,1,25,16,16,0.64,0.64,65,443,0.14672686230248308
combination_repeat_prompt,2,25,23,23,0.92,0.92,29,443,0.0654627539503386
combination_repeat_prompt,3,25,24,24,0.96,0.96,25,443,0.056433408577878104
combination_repeat_prompt,4,25,24,24,0.96,0.96,19,443,0.04288939051918736
combination_repeat_prompt,5,25,24,24,0.96,0.96,19,443,0.04288939051918736
combination_repeat_prompt,6,25,24,24,0.96,0.96,20,443,0.045146726862302484
combination_repeat_prompt,7,25,24,24,0.96,0.96,18,443,0.040632054176072234
combination_repeat_prompt,8,25,24,24,0.96,0.96,18,443,0.040632054176072234
detectable_format_json_format,0,50,26,26,0.52,0.52,184,1013,0.18163869693978282
detectable_format_json_format,1,50,38,38,0.76,0.76,100,1013,0.09871668311944719
detectable_format_json_format,2,50,48,48,0.96,0.96,58,1013,0.05725567620927937
detectable_format_json_format,3,50,47,47,0.94,0.94,89,1013,0.087857847976308
detectable_format_json_format,4,50,46,46,0.92,0.92,90,1013,0.08884501480750247
detectable_format_json_format,5,50,47,47,0.94,0.94,71,1013,0.0700888450148075
detectable_format_json_format,6,50,48,48,0.96,0.96,70,1013,0.06910167818361303
detectable_format_json_format,7,50,48,48,0.96,0.96,62,1013,0.06120434353405726
detectable_format_json_format,8,50,48,48,0.96,0.96,65,1013,0.06416584402764067
detectable_format_title,0,25,0,0,0.0,0.0,55,485,0.1134020618556701
detectable_format_title,1,25,7,7,0.28,0.28,37,485,0.07628865979381444
detectable_format_title,2,25,22,22,0.88,0.88,34,485,0.07010309278350516
detectable_format_title,3,25,25,25,1.0,1.0,35,485,0.07216494845360824
detectable_format_title,4,25,25,25,1.0,1.0,33,485,0.06804123711340206
detectable_format_title,5,25,25,25,1.0,1.0,33,485,0.06804123711340206
detectable_format_title,6,25,25,25,1.0,1.0,35,485,0.07216494845360824
detectable_format_title,7,25,25,25,1.0,1.0,35,485,0.07216494845360824
detectable_format_title,8,25,25,25,1.0,1.0,38,485,0.07835051546391752
startend_end_checker,0,25,0,0,0.0,0.0,89,445,0.2
startend_end_checker,1,25,0,0,0.0,0.0,38,445,0.0853932584269663
startend_end_checker,2,25,10,10,0.4,0.4,34,445,0.07640449438202247
startend_end_checker,3,25,13,13,0.52,0.52,37,445,0.08314606741573034
startend_end_checker,4,25,20,20,0.8,0.8,34,445,0.07640449438202247
startend_end_checker,5,25,19,19,0.76,0.76,33,445,0.07415730337078652
startend_end_checker,6,25,19,19,0.76,0.76,34,445,0.07640449438202247
startend_end_checker,7,25,20,20,0.8,0.8,34,445,0.07640449438202247
startend_end_checker,8,25,19,19,0.76,0.76,34,445,0.07640449438202247
startend_quotation,0,25,14,14,0.56,0.56,96,528,0.18181818181818182
startend_quotation,1,25,25,25,1.0,1.0,33,528,0.0625
startend_quotation,2,25,25,25,1.0,1.0,31,528,0.058712121212121215
startend_quotation,3,25,25,25,1.0,1.0,31,528,0.058712121212121215
startend_quotation,4,25,25,25,1.0,1.0,33,528,0.0625
startend_quotation,5,25,25,25,1.0,1.0,31,528,0.058712121212121215
startend_quotation,6,25,25,25,1.0,1.0,32,528,0.06060606060606061
startend_quotation,7,25,25,25,1.0,1.0,33,528,0.0625
startend_quotation,8,25,25,25,1.0,1.0,29,528,0.054924242424242424
