IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,42,0,0,0.0,0.0,1.0,42.0,0.023809523809523808
change_case_english_capital,1,42,26,26,0.6190476190476191,0.6190476190476191,10.0,42.0,0.23809523809523808
change_case_english_capital,2,42,33,33,0.7857142857142857,0.7857142857142857,13.0,42.0,0.30952380952380953
change_case_english_capital,3,42,33,33,0.7857142857142857,0.7857142857142857,12.0,42.0,0.2857142857142857
change_case_english_capital,4,42,30,30,0.7142857142857143,0.7142857142857143,9.0,42.0,0.21428571428571427
change_case_english_capital,5,42,32,32,0.7619047619047619,0.7619047619047619,10.0,42.0,0.23809523809523808
change_case_english_capital,6,42,32,32,0.7619047619047619,0.7619047619047619,13.0,42.0,0.30952380952380953
change_case_english_capital,7,42,27,27,0.6428571428571429,0.6428571428571429,12.0,42.0,0.2857142857142857
change_case_english_capital,8,42,30,30,0.7142857142857143,0.7142857142857143,10.0,42.0,0.23809523809523808
change_case_english_lowercase,0,50,0,0,0.0,0.0,4.0,50.0,0.08
change_case_english_lowercase,1,50,21,21,0.42,0.42,20.0,50.0,0.4
change_case_english_lowercase,2,50,24,24,0.48,0.48,25.0,50.0,0.5
change_case_english_lowercase,3,50,24,24,0.48,0.48,24.0,50.0,0.48
change_case_english_lowercase,4,50,25,25,0.5,0.5,25.0,50.0,0.5
change_case_english_lowercase,5,50,25,25,0.5,0.5,23.0,50.0,0.46
change_case_english_lowercase,6,50,29,29,0.58,0.58,23.0,50.0,0.46
change_case_english_lowercase,7,50,32,32,0.64,0.64,22.0,50.0,0.44
change_case_english_lowercase,8,50,32,32,0.64,0.64,24.0,50.0,0.48
combination_repeat_prompt,0,12,0,0,0.0,0.0,0.0,12.0,0.0
combination_repeat_prompt,1,12,11,11,0.9166666666666666,0.9166666666666666,6.0,12.0,0.5
combination_repeat_prompt,2,12,12,12,1.0,1.0,7.0,12.0,0.5833333333333334
combination_repeat_prompt,3,12,12,12,1.0,1.0,5.0,12.0,0.4166666666666667
combination_repeat_prompt,4,12,12,12,1.0,1.0,5.0,12.0,0.4166666666666667
combination_repeat_prompt,5,12,12,12,1.0,1.0,6.0,12.0,0.5
combination_repeat_prompt,6,12,12,12,1.0,1.0,5.0,12.0,0.4166666666666667
combination_repeat_prompt,7,12,12,12,1.0,1.0,5.0,12.0,0.4166666666666667
combination_repeat_prompt,8,12,12,12,1.0,1.0,6.0,12.0,0.5
detectable_format_json_format,0,78,0,0,0.0,0.0,6.0,78.0,0.07692307692307693
detectable_format_json_format,1,78,78,78,1.0,1.0,57.0,78.0,0.7307692307692307
detectable_format_json_format,2,78,78,78,1.0,1.0,58.0,78.0,0.7435897435897436
detectable_format_json_format,3,78,78,78,1.0,1.0,56.0,78.0,0.717948717948718
detectable_format_json_format,4,78,78,78,1.0,1.0,59.0,78.0,0.7564102564102564
detectable_format_json_format,5,78,78,78,1.0,1.0,56.0,78.0,0.717948717948718
detectable_format_json_format,6,78,78,78,1.0,1.0,54.0,78.0,0.6923076923076923
detectable_format_json_format,7,78,78,78,1.0,1.0,60.0,78.0,0.7692307692307693
detectable_format_json_format,8,78,78,78,1.0,1.0,62.0,78.0,0.7948717948717948
detectable_format_title,0,6,0,0,0.0,0.0,0.0,6.0,0.0
detectable_format_title,1,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,2,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,3,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,4,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,5,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,6,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,7,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,8,6,6,6,1.0,1.0,0.0,6.0,0.0
startend_end_checker,0,6,0,0,0.0,0.0,0.0,6.0,0.0
startend_end_checker,1,6,0,0,0.0,0.0,3.0,6.0,0.5
startend_end_checker,2,6,6,6,1.0,1.0,3.0,6.0,0.5
startend_end_checker,3,6,6,6,1.0,1.0,3.0,6.0,0.5
startend_end_checker,4,6,6,6,1.0,1.0,2.0,6.0,0.3333333333333333
startend_end_checker,5,6,6,6,1.0,1.0,2.0,6.0,0.3333333333333333
startend_end_checker,6,6,6,6,1.0,1.0,2.0,6.0,0.3333333333333333
startend_end_checker,7,6,6,6,1.0,1.0,3.0,6.0,0.5
startend_end_checker,8,6,6,6,1.0,1.0,2.0,6.0,0.3333333333333333
startend_quotation,0,19,0,0,0.0,0.0,0.0,19.0,0.0
startend_quotation,1,19,13,13,0.6842105263157895,0.6842105263157895,6.0,19.0,0.3157894736842105
startend_quotation,2,19,15,15,0.7894736842105263,0.7894736842105263,10.0,19.0,0.5263157894736842
startend_quotation,3,19,18,18,0.9473684210526315,0.9473684210526315,9.0,19.0,0.47368421052631576
startend_quotation,4,19,17,17,0.8947368421052632,0.8947368421052632,8.0,19.0,0.42105263157894735
startend_quotation,5,19,19,19,1.0,1.0,11.0,19.0,0.5789473684210527
startend_quotation,6,19,19,19,1.0,1.0,8.0,19.0,0.42105263157894735
startend_quotation,7,19,19,19,1.0,1.0,9.0,19.0,0.47368421052631576
startend_quotation,8,19,19,19,1.0,1.0,9.0,19.0,0.47368421052631576
