IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,12.0,25.0,0.48
change_case_english_capital,1,25,0,0,0.0,0.0,21.0,25.0,0.84
change_case_english_capital,2,25,15,15,0.6,0.6,18.0,25.0,0.72
change_case_english_capital,3,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,4,25,24,24,0.96,0.96,17.0,25.0,0.68
change_case_english_capital,5,25,25,25,1.0,1.0,14.0,25.0,0.56
change_case_english_capital,6,25,25,25,1.0,1.0,11.0,25.0,0.44
change_case_english_capital,7,25,25,25,1.0,1.0,14.0,25.0,0.56
change_case_english_capital,8,25,25,25,1.0,1.0,13.0,25.0,0.52
change_case_english_lowercase,0,25,0,0,0.0,0.0,14.0,25.0,0.56
change_case_english_lowercase,1,25,0,0,0.0,0.0,17.0,25.0,0.68
change_case_english_lowercase,2,25,0,0,0.0,0.0,16.0,25.0,0.64
change_case_english_lowercase,3,25,0,0,0.0,0.0,16.0,25.0,0.64
change_case_english_lowercase,4,25,0,0,0.0,0.0,10.0,25.0,0.4
change_case_english_lowercase,5,25,0,0,0.0,0.0,10.0,25.0,0.4
change_case_english_lowercase,6,25,5,5,0.2,0.2,13.0,25.0,0.52
change_case_english_lowercase,7,25,9,9,0.36,0.36,8.0,25.0,0.32
change_case_english_lowercase,8,25,16,16,0.64,0.64,10.0,25.0,0.4
combination_repeat_prompt,0,25,0,0,0.0,0.0,14.0,25.0,0.56
combination_repeat_prompt,1,25,10,10,0.4,0.4,13.0,25.0,0.52
combination_repeat_prompt,2,25,16,16,0.64,0.64,16.0,25.0,0.64
combination_repeat_prompt,3,25,22,22,0.88,0.88,16.0,25.0,0.64
combination_repeat_prompt,4,25,23,23,0.92,0.92,18.0,25.0,0.72
combination_repeat_prompt,5,25,24,24,0.96,0.96,16.0,25.0,0.64
combination_repeat_prompt,6,25,24,24,0.96,0.96,13.0,25.0,0.52
combination_repeat_prompt,7,25,24,24,0.96,0.96,12.0,25.0,0.48
combination_repeat_prompt,8,25,24,24,0.96,0.96,12.0,25.0,0.48
detectable_format_json_format,0,50,0,0,0.0,0.0,28.0,50.0,0.56
detectable_format_json_format,1,50,23,23,0.46,0.46,27.0,50.0,0.54
detectable_format_json_format,2,50,38,38,0.76,0.76,28.0,50.0,0.56
detectable_format_json_format,3,50,48,48,0.96,0.96,28.0,50.0,0.56
detectable_format_json_format,4,50,48,48,0.96,0.96,22.0,50.0,0.44
detectable_format_json_format,5,50,48,48,0.96,0.96,22.0,50.0,0.44
detectable_format_json_format,6,50,48,48,0.96,0.96,20.0,50.0,0.4
detectable_format_json_format,7,50,48,48,0.96,0.96,21.0,50.0,0.42
detectable_format_json_format,8,50,48,48,0.96,0.96,21.0,50.0,0.42
detectable_format_title,0,25,0,0,0.0,0.0,18.0,25.0,0.72
detectable_format_title,1,25,0,0,0.0,0.0,18.0,25.0,0.72
detectable_format_title,2,25,5,5,0.2,0.2,8.0,25.0,0.32
detectable_format_title,3,25,23,23,0.92,0.92,1.0,25.0,0.04
detectable_format_title,4,25,21,21,0.84,0.84,1.0,25.0,0.04
detectable_format_title,5,25,19,19,0.76,0.76,2.0,25.0,0.08
detectable_format_title,6,25,20,20,0.8,0.8,0.0,25.0,0.0
detectable_format_title,7,25,18,18,0.72,0.72,2.0,25.0,0.08
detectable_format_title,8,25,20,20,0.8,0.8,3.0,25.0,0.12
startend_end_checker,0,25,0,0,0.0,0.0,15.0,25.0,0.6
startend_end_checker,1,25,0,0,0.0,0.0,23.0,25.0,0.92
startend_end_checker,2,25,2,2,0.08,0.08,21.0,25.0,0.84
startend_end_checker,3,25,5,5,0.2,0.2,19.0,25.0,0.76
startend_end_checker,4,25,9,9,0.36,0.36,19.0,25.0,0.76
startend_end_checker,5,25,11,11,0.44,0.44,17.0,25.0,0.68
startend_end_checker,6,25,13,13,0.52,0.52,16.0,25.0,0.64
startend_end_checker,7,25,17,17,0.68,0.68,15.0,25.0,0.6
startend_end_checker,8,25,21,21,0.84,0.84,17.0,25.0,0.68
startend_quotation,0,25,0,0,0.0,0.0,14.0,25.0,0.56
startend_quotation,1,25,2,2,0.08,0.08,20.0,25.0,0.8
startend_quotation,2,25,10,10,0.4,0.4,17.0,25.0,0.68
startend_quotation,3,25,20,20,0.8,0.8,16.0,25.0,0.64
startend_quotation,4,25,23,23,0.92,0.92,18.0,25.0,0.72
startend_quotation,5,25,23,23,0.92,0.92,16.0,25.0,0.64
startend_quotation,6,25,24,24,0.96,0.96,16.0,25.0,0.64
startend_quotation,7,25,24,24,0.96,0.96,18.0,25.0,0.72
startend_quotation,8,25,24,24,0.96,0.96,19.0,25.0,0.76
