IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,42,0,0,0.0,0.0,1.0,42.0,0.023809523809523808
change_case_english_capital,1,42,9,9,0.21428571428571427,0.21428571428571427,15.0,42.0,0.35714285714285715
change_case_english_capital,2,42,34,35,0.8095238095238095,0.8333333333333334,28.0,42.0,0.6666666666666666
change_case_english_capital,3,42,34,34,0.8095238095238095,0.8095238095238095,28.0,42.0,0.6666666666666666
change_case_english_capital,4,42,36,36,0.8571428571428571,0.8571428571428571,26.0,42.0,0.6190476190476191
change_case_english_capital,5,42,36,36,0.8571428571428571,0.8571428571428571,25.0,42.0,0.5952380952380952
change_case_english_capital,6,42,36,36,0.8571428571428571,0.8571428571428571,26.0,42.0,0.6190476190476191
change_case_english_capital,7,42,38,38,0.9047619047619048,0.9047619047619048,23.0,42.0,0.5476190476190477
change_case_english_capital,8,42,39,39,0.9285714285714286,0.9285714285714286,25.0,42.0,0.5952380952380952
change_case_english_lowercase,0,50,0,4,0.0,0.08,2.0,50.0,0.04
change_case_english_lowercase,1,50,12,12,0.24,0.24,25.0,50.0,0.5
change_case_english_lowercase,2,50,17,17,0.34,0.34,28.0,50.0,0.56
change_case_english_lowercase,3,50,23,23,0.46,0.46,26.0,50.0,0.52
change_case_english_lowercase,4,50,24,24,0.48,0.48,29.0,50.0,0.58
change_case_english_lowercase,5,50,27,27,0.54,0.54,25.0,50.0,0.5
change_case_english_lowercase,6,50,33,33,0.66,0.66,29.0,50.0,0.58
change_case_english_lowercase,7,50,32,32,0.64,0.64,26.0,50.0,0.52
change_case_english_lowercase,8,50,38,38,0.76,0.76,25.0,50.0,0.5
combination_repeat_prompt,0,12,0,0,0.0,0.0,0.0,12.0,0.0
combination_repeat_prompt,1,12,6,6,0.5,0.5,6.0,12.0,0.5
combination_repeat_prompt,2,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,3,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,4,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,5,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,6,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
combination_repeat_prompt,7,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
combination_repeat_prompt,8,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
detectable_format_json_format,0,78,0,1,0.0,0.01282051282051282,1.0,78.0,0.01282051282051282
detectable_format_json_format,1,78,4,5,0.05128205128205128,0.0641025641025641,2.0,78.0,0.02564102564102564
