IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,15.0,25.0,0.6
change_case_english_capital,1,25,16,16,0.64,0.64,15.0,25.0,0.6
change_case_english_capital,2,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_capital,3,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,4,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,5,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_capital,6,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,7,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_capital,8,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_lowercase,0,25,0,0,0.0,0.0,17.0,25.0,0.68
change_case_english_lowercase,1,25,0,0,0.0,0.0,16.0,25.0,0.64
change_case_english_lowercase,2,25,11,11,0.44,0.44,17.0,25.0,0.68
change_case_english_lowercase,3,25,20,20,0.8,0.8,16.0,25.0,0.64
change_case_english_lowercase,4,25,23,23,0.92,0.92,15.0,25.0,0.6
change_case_english_lowercase,5,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_lowercase,6,25,24,24,0.96,0.96,16.0,25.0,0.64
change_case_english_lowercase,7,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_lowercase,8,25,24,24,0.96,0.96,14.0,25.0,0.56
combination_repeat_prompt,0,25,0,0,0.0,0.0,17.0,25.0,0.68
combination_repeat_prompt,1,25,6,6,0.24,0.24,18.0,25.0,0.72
combination_repeat_prompt,2,25,17,17,0.68,0.68,18.0,25.0,0.72
combination_repeat_prompt,3,25,20,20,0.8,0.8,17.0,25.0,0.68
combination_repeat_prompt,4,25,23,23,0.92,0.92,17.0,25.0,0.68
combination_repeat_prompt,5,25,24,24,0.96,0.96,19.0,25.0,0.76
combination_repeat_prompt,6,25,24,24,0.96,0.96,18.0,25.0,0.72
combination_repeat_prompt,7,25,24,24,0.96,0.96,16.0,25.0,0.64
combination_repeat_prompt,8,25,24,24,0.96,0.96,18.0,25.0,0.72
detectable_format_json_format,0,50,0,0,0.0,0.0,26.0,50.0,0.52
detectable_format_json_format,1,50,0,33,0.0,0.66,26.0,50.0,0.52
detectable_format_json_format,2,50,31,46,0.62,0.92,28.0,50.0,0.56
detectable_format_json_format,3,50,45,49,0.9,0.98,28.0,50.0,0.56
detectable_format_json_format,4,50,48,49,0.96,0.98,28.0,50.0,0.56
detectable_format_json_format,5,50,49,49,0.98,0.98,26.0,50.0,0.52
detectable_format_json_format,6,50,49,49,0.98,0.98,25.0,50.0,0.5
detectable_format_json_format,7,50,49,49,0.98,0.98,25.0,50.0,0.5
detectable_format_json_format,8,50,49,49,0.98,0.98,25.0,50.0,0.5
detectable_format_title,0,25,0,0,0.0,0.0,15.0,25.0,0.6
detectable_format_title,1,25,8,8,0.32,0.32,13.0,25.0,0.52
detectable_format_title,2,25,22,22,0.88,0.88,3.0,25.0,0.12
detectable_format_title,3,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,4,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,5,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,6,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,7,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,8,25,25,25,1.0,1.0,0.0,25.0,0.0
startend_end_checker,0,25,0,0,0.0,0.0,14.0,25.0,0.56
startend_end_checker,1,25,7,7,0.28,0.28,19.0,25.0,0.76
startend_end_checker,2,25,18,18,0.72,0.72,18.0,25.0,0.72
startend_end_checker,3,25,20,20,0.8,0.8,17.0,25.0,0.68
startend_end_checker,4,25,20,20,0.8,0.8,16.0,25.0,0.64
startend_end_checker,5,25,21,21,0.84,0.84,16.0,25.0,0.64
startend_end_checker,6,25,24,24,0.96,0.96,16.0,25.0,0.64
startend_end_checker,7,25,25,25,1.0,1.0,17.0,25.0,0.68
startend_end_checker,8,25,25,25,1.0,1.0,16.0,25.0,0.64
startend_quotation,0,25,0,0,0.0,0.0,12.0,25.0,0.48
startend_quotation,1,25,5,5,0.2,0.2,16.0,25.0,0.64
startend_quotation,2,25,25,25,1.0,1.0,14.0,25.0,0.56
startend_quotation,3,25,25,25,1.0,1.0,13.0,25.0,0.52
startend_quotation,4,25,25,25,1.0,1.0,12.0,25.0,0.48
startend_quotation,5,25,25,25,1.0,1.0,12.0,25.0,0.48
startend_quotation,6,25,25,25,1.0,1.0,13.0,25.0,0.52
startend_quotation,7,25,25,25,1.0,1.0,12.0,25.0,0.48
startend_quotation,8,25,25,25,1.0,1.0,12.0,25.0,0.48
