IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,23.0,25.0,0.92
change_case_english_capital,1,25,24,24,0.96,0.96,19.0,25.0,0.76
change_case_english_capital,2,25,24,24,0.96,0.96,24.0,25.0,0.96
change_case_english_capital,3,25,25,25,1.0,1.0,23.0,25.0,0.92
change_case_english_capital,4,25,24,24,0.96,0.96,21.0,25.0,0.84
change_case_english_capital,5,25,25,25,1.0,1.0,22.0,25.0,0.88
change_case_english_capital,6,25,25,25,1.0,1.0,23.0,25.0,0.92
change_case_english_capital,7,25,25,25,1.0,1.0,21.0,25.0,0.84
change_case_english_capital,8,25,25,25,1.0,1.0,22.0,25.0,0.88
change_case_english_lowercase,0,25,0,0,0.0,0.0,21.0,25.0,0.84
change_case_english_lowercase,1,25,12,12,0.48,0.48,20.0,25.0,0.8
change_case_english_lowercase,2,25,13,13,0.52,0.52,19.0,25.0,0.76
change_case_english_lowercase,3,25,18,18,0.72,0.72,21.0,25.0,0.84
change_case_english_lowercase,4,25,22,22,0.88,0.88,20.0,25.0,0.8
change_case_english_lowercase,5,25,23,23,0.92,0.92,22.0,25.0,0.88
change_case_english_lowercase,6,25,22,22,0.88,0.88,22.0,25.0,0.88
change_case_english_lowercase,7,25,20,20,0.8,0.8,22.0,25.0,0.88
change_case_english_lowercase,8,25,21,21,0.84,0.84,21.0,25.0,0.84
combination_repeat_prompt,0,25,0,0,0.0,0.0,22.0,25.0,0.88
combination_repeat_prompt,1,25,7,7,0.28,0.28,18.0,25.0,0.72
combination_repeat_prompt,2,25,12,12,0.48,0.48,18.0,25.0,0.72
combination_repeat_prompt,3,25,9,9,0.36,0.36,17.0,25.0,0.68
combination_repeat_prompt,4,25,12,12,0.48,0.48,19.0,25.0,0.76
combination_repeat_prompt,5,25,8,8,0.32,0.32,18.0,25.0,0.72
combination_repeat_prompt,6,25,8,8,0.32,0.32,16.0,25.0,0.64
combination_repeat_prompt,7,25,8,8,0.32,0.32,18.0,25.0,0.72
combination_repeat_prompt,8,25,8,8,0.32,0.32,16.0,25.0,0.64
detectable_format_json_format,0,50,0,0,0.0,0.0,46.0,50.0,0.92
detectable_format_json_format,1,50,50,50,1.0,1.0,43.0,50.0,0.86
detectable_format_json_format,2,50,50,50,1.0,1.0,42.0,50.0,0.84
detectable_format_json_format,3,50,50,50,1.0,1.0,46.0,50.0,0.92
detectable_format_json_format,4,50,50,50,1.0,1.0,45.0,50.0,0.9
detectable_format_json_format,5,50,50,50,1.0,1.0,47.0,50.0,0.94
detectable_format_json_format,6,50,50,50,1.0,1.0,45.0,50.0,0.9
detectable_format_json_format,7,50,50,50,1.0,1.0,47.0,50.0,0.94
detectable_format_json_format,8,50,50,50,1.0,1.0,45.0,50.0,0.9
detectable_format_title,0,25,0,0,0.0,0.0,21.0,25.0,0.84
detectable_format_title,1,25,24,24,0.96,0.96,1.0,25.0,0.04
detectable_format_title,2,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,3,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,4,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,5,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,6,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,7,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,8,25,25,25,1.0,1.0,0.0,25.0,0.0
startend_end_checker,0,25,0,0,0.0,0.0,22.0,25.0,0.88
startend_end_checker,1,25,0,0,0.0,0.0,19.0,25.0,0.76
startend_end_checker,2,25,3,3,0.12,0.12,20.0,25.0,0.8
startend_end_checker,3,25,5,5,0.2,0.2,24.0,25.0,0.96
startend_end_checker,4,25,7,7,0.28,0.28,23.0,25.0,0.92
startend_end_checker,5,25,8,8,0.32,0.32,23.0,25.0,0.92
startend_end_checker,6,25,12,12,0.48,0.48,23.0,25.0,0.92
startend_end_checker,7,25,5,5,0.2,0.2,23.0,25.0,0.92
startend_end_checker,8,25,8,8,0.32,0.32,24.0,25.0,0.96
startend_quotation,0,25,0,0,0.0,0.0,22.0,25.0,0.88
startend_quotation,1,25,23,23,0.92,0.92,21.0,25.0,0.84
startend_quotation,2,25,25,25,1.0,1.0,22.0,25.0,0.88
startend_quotation,3,25,25,25,1.0,1.0,22.0,25.0,0.88
startend_quotation,4,25,25,25,1.0,1.0,23.0,25.0,0.92
startend_quotation,5,25,25,25,1.0,1.0,23.0,25.0,0.92
startend_quotation,6,25,25,25,1.0,1.0,22.0,25.0,0.88
startend_quotation,7,25,25,25,1.0,1.0,25.0,25.0,1.0
startend_quotation,8,25,25,25,1.0,1.0,25.0,25.0,1.0
