IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,42,0,0,0.0,0.0,15.0,42.0,0.35714285714285715
change_case_english_capital,1,42,18,18,0.42857142857142855,0.42857142857142855,31.0,42.0,0.7380952380952381
change_case_english_capital,2,42,29,29,0.6904761904761905,0.6904761904761905,29.0,42.0,0.6904761904761905
change_case_english_capital,3,42,30,30,0.7142857142857143,0.7142857142857143,30.0,42.0,0.7142857142857143
change_case_english_capital,4,42,31,31,0.7380952380952381,0.7380952380952381,30.0,42.0,0.7142857142857143
change_case_english_capital,5,42,31,31,0.7380952380952381,0.7380952380952381,31.0,42.0,0.7380952380952381
change_case_english_capital,6,42,35,35,0.8333333333333334,0.8333333333333334,33.0,42.0,0.7857142857142857
change_case_english_capital,7,42,33,33,0.7857142857142857,0.7857142857142857,30.0,42.0,0.7142857142857143
change_case_english_capital,8,42,33,33,0.7857142857142857,0.7857142857142857,28.0,42.0,0.6666666666666666
change_case_english_lowercase,0,50,3,3,0.06,0.06,32.0,50.0,0.64
change_case_english_lowercase,1,50,19,19,0.38,0.38,38.0,50.0,0.76
change_case_english_lowercase,2,50,21,21,0.42,0.42,38.0,50.0,0.76
change_case_english_lowercase,3,50,21,21,0.42,0.42,38.0,50.0,0.76
change_case_english_lowercase,4,50,29,29,0.58,0.58,40.0,50.0,0.8
change_case_english_lowercase,5,50,23,23,0.46,0.46,39.0,50.0,0.78
change_case_english_lowercase,6,50,24,24,0.48,0.48,38.0,50.0,0.76
change_case_english_lowercase,7,50,30,30,0.6,0.6,40.0,50.0,0.8
change_case_english_lowercase,8,50,33,33,0.66,0.66,40.0,50.0,0.8
combination_repeat_prompt,0,12,0,0,0.0,0.0,0.0,12.0,0.0
combination_repeat_prompt,1,12,0,0,0.0,0.0,0.0,12.0,0.0
combination_repeat_prompt,2,12,1,1,0.08333333333333333,0.08333333333333333,1.0,12.0,0.08333333333333333
combination_repeat_prompt,3,12,1,1,0.08333333333333333,0.08333333333333333,1.0,12.0,0.08333333333333333
combination_repeat_prompt,4,12,1,1,0.08333333333333333,0.08333333333333333,1.0,12.0,0.08333333333333333
combination_repeat_prompt,5,12,1,1,0.08333333333333333,0.08333333333333333,1.0,12.0,0.08333333333333333
combination_repeat_prompt,6,12,2,2,0.16666666666666666,0.16666666666666666,2.0,12.0,0.16666666666666666
combination_repeat_prompt,7,12,0,0,0.0,0.0,0.0,12.0,0.0
combination_repeat_prompt,8,12,0,0,0.0,0.0,0.0,12.0,0.0
detectable_format_json_format,0,78,0,0,0.0,0.0,35.0,78.0,0.44871794871794873
detectable_format_json_format,1,78,57,57,0.7307692307692307,0.7307692307692307,56.0,78.0,0.717948717948718
detectable_format_json_format,2,78,65,65,0.8333333333333334,0.8333333333333334,58.0,78.0,0.7435897435897436
detectable_format_json_format,3,78,66,66,0.8461538461538461,0.8461538461538461,58.0,78.0,0.7435897435897436
detectable_format_json_format,4,78,63,63,0.8076923076923077,0.8076923076923077,56.0,78.0,0.717948717948718
detectable_format_json_format,5,78,67,67,0.8589743589743589,0.8589743589743589,59.0,78.0,0.7564102564102564
detectable_format_json_format,6,78,64,64,0.8205128205128205,0.8205128205128205,58.0,78.0,0.7435897435897436
detectable_format_json_format,7,78,68,68,0.8717948717948718,0.8717948717948718,56.0,78.0,0.717948717948718
detectable_format_json_format,8,78,67,67,0.8589743589743589,0.8589743589743589,56.0,78.0,0.717948717948718
detectable_format_title,0,6,0,0,0.0,0.0,0.0,6.0,0.0
detectable_format_title,1,6,2,2,0.3333333333333333,0.3333333333333333,0.0,6.0,0.0
detectable_format_title,2,6,4,4,0.6666666666666666,0.6666666666666666,0.0,6.0,0.0
detectable_format_title,3,6,4,4,0.6666666666666666,0.6666666666666666,0.0,6.0,0.0
detectable_format_title,4,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,5,6,5,5,0.8333333333333334,0.8333333333333334,0.0,6.0,0.0
