IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,235,493,0.4766734279918864
change_case_english_capital,1,25,20,20,0.8,0.8,16,493,0.032454361054766734
change_case_english_capital,2,25,23,23,0.92,0.92,18,493,0.036511156186612576
change_case_english_capital,3,25,24,24,0.96,0.96,18,493,0.036511156186612576
change_case_english_capital,4,25,24,24,0.96,0.96,18,493,0.036511156186612576
change_case_english_capital,5,25,25,25,1.0,1.0,18,493,0.036511156186612576
change_case_english_capital,6,25,24,24,0.96,0.96,18,493,0.036511156186612576
change_case_english_capital,7,25,25,25,1.0,1.0,18,493,0.036511156186612576
change_case_english_capital,8,25,25,25,1.0,1.0,17,493,0.034482758620689655
change_case_english_lowercase,0,25,0,0,0.0,0.0,389,710,0.547887323943662
change_case_english_lowercase,1,25,7,7,0.28,0.28,24,710,0.03380281690140845
change_case_english_lowercase,2,25,9,9,0.36,0.36,21,710,0.029577464788732393
change_case_english_lowercase,3,25,19,19,0.76,0.76,18,710,0.02535211267605634
change_case_english_lowercase,4,25,20,20,0.8,0.8,18,710,0.02535211267605634
change_case_english_lowercase,5,25,22,22,0.88,0.88,19,710,0.02676056338028169
change_case_english_lowercase,6,25,24,24,0.96,0.96,20,710,0.028169014084507043
change_case_english_lowercase,7,25,24,24,0.96,0.96,17,710,0.023943661971830985
change_case_english_lowercase,8,25,25,25,1.0,1.0,20,710,0.028169014084507043
combination_repeat_prompt,0,25,0,0,0.0,0.0,385,443,0.8690744920993227
combination_repeat_prompt,1,25,8,8,0.32,0.32,52,443,0.11738148984198646
combination_repeat_prompt,2,25,24,24,0.96,0.96,12,443,0.02708803611738149
combination_repeat_prompt,3,25,25,25,1.0,1.0,11,443,0.024830699774266364
combination_repeat_prompt,4,25,25,25,1.0,1.0,8,443,0.01805869074492099
combination_repeat_prompt,5,25,25,25,1.0,1.0,8,443,0.01805869074492099
combination_repeat_prompt,6,25,25,25,1.0,1.0,8,443,0.01805869074492099
combination_repeat_prompt,7,25,25,25,1.0,1.0,8,443,0.01805869074492099
combination_repeat_prompt,8,25,25,25,1.0,1.0,8,443,0.01805869074492099
detectable_format_json_format,0,50,0,0,0.0,0.0,643,1013,0.6347482724580454
detectable_format_json_format,1,50,31,31,0.62,0.62,16,1013,0.01579466929911155
detectable_format_json_format,2,50,43,43,0.86,0.86,25,1013,0.024679170779861797
detectable_format_json_format,3,50,45,45,0.9,0.9,23,1013,0.022704837117472853
detectable_format_json_format,4,50,43,43,0.86,0.86,20,1013,0.019743336623889437
detectable_format_json_format,5,50,47,47,0.94,0.94,25,1013,0.024679170779861797
detectable_format_json_format,6,50,48,48,0.96,0.96,20,1013,0.019743336623889437
detectable_format_json_format,7,50,48,48,0.96,0.96,20,1013,0.019743336623889437
detectable_format_json_format,8,50,48,48,0.96,0.96,20,1013,0.019743336623889437
detectable_format_title,0,25,0,0,0.0,0.0,402,485,0.8288659793814434
detectable_format_title,1,25,15,15,0.6,0.6,16,485,0.032989690721649485
detectable_format_title,2,25,24,24,0.96,0.96,22,485,0.04536082474226804
detectable_format_title,3,25,23,23,0.92,0.92,24,485,0.049484536082474224
detectable_format_title,4,25,23,23,0.92,0.92,23,485,0.04742268041237113
detectable_format_title,5,25,24,24,0.96,0.96,12,485,0.024742268041237112
detectable_format_title,6,25,24,24,0.96,0.96,14,485,0.0288659793814433
detectable_format_title,7,25,24,24,0.96,0.96,13,485,0.026804123711340205
detectable_format_title,8,25,24,24,0.96,0.96,15,485,0.030927835051546393
startend_end_checker,0,25,0,0,0.0,0.0,340,445,0.7640449438202247
startend_end_checker,1,25,0,0,0.0,0.0,126,445,0.28314606741573034
startend_end_checker,2,25,10,10,0.4,0.4,88,445,0.19775280898876405
startend_end_checker,3,25,19,19,0.76,0.76,25,445,0.056179775280898875
startend_end_checker,4,25,21,21,0.84,0.84,40,445,0.0898876404494382
startend_end_checker,5,25,23,23,0.92,0.92,24,445,0.05393258426966292
startend_end_checker,6,25,24,24,0.96,0.96,26,445,0.058426966292134834
startend_end_checker,7,25,24,24,0.96,0.96,26,445,0.058426966292134834
startend_end_checker,8,25,24,24,0.96,0.96,24,445,0.05393258426966292
startend_quotation,0,25,0,0,0.0,0.0,308,528,0.5833333333333334
startend_quotation,1,25,15,15,0.6,0.6,13,528,0.02462121212121212
startend_quotation,2,25,16,16,0.64,0.64,15,528,0.028409090909090908
startend_quotation,3,25,21,21,0.84,0.84,16,528,0.030303030303030304
startend_quotation,4,25,21,21,0.84,0.84,13,528,0.02462121212121212
startend_quotation,5,25,21,21,0.84,0.84,13,528,0.02462121212121212
startend_quotation,6,25,23,23,0.92,0.92,13,528,0.02462121212121212
startend_quotation,7,25,24,24,0.96,0.96,13,528,0.02462121212121212
startend_quotation,8,25,24,24,0.96,0.96,13,528,0.02462121212121212
