IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,9.0,25.0,0.36
change_case_english_capital,1,25,4,4,0.16,0.16,22.0,25.0,0.88
change_case_english_capital,2,25,2,2,0.08,0.08,24.0,25.0,0.96
change_case_english_capital,3,25,7,7,0.28,0.28,21.0,25.0,0.84
change_case_english_capital,4,25,19,19,0.76,0.76,19.0,25.0,0.76
change_case_english_capital,5,25,21,21,0.84,0.84,23.0,25.0,0.92
change_case_english_capital,6,25,25,25,1.0,1.0,21.0,25.0,0.84
change_case_english_capital,7,25,25,25,1.0,1.0,21.0,25.0,0.84
change_case_english_capital,8,25,25,25,1.0,1.0,23.0,25.0,0.92
change_case_english_lowercase,0,25,0,0,0.0,0.0,11.0,25.0,0.44
change_case_english_lowercase,1,25,1,1,0.04,0.04,20.0,25.0,0.8
change_case_english_lowercase,2,25,4,4,0.16,0.16,19.0,25.0,0.76
change_case_english_lowercase,3,25,23,23,0.92,0.92,20.0,25.0,0.8
change_case_english_lowercase,4,25,23,23,0.92,0.92,20.0,25.0,0.8
change_case_english_lowercase,5,25,25,25,1.0,1.0,18.0,25.0,0.72
change_case_english_lowercase,6,25,25,25,1.0,1.0,20.0,25.0,0.8
change_case_english_lowercase,7,25,25,25,1.0,1.0,20.0,25.0,0.8
change_case_english_lowercase,8,25,25,25,1.0,1.0,20.0,25.0,0.8
combination_repeat_prompt,0,25,0,0,0.0,0.0,14.0,25.0,0.56
combination_repeat_prompt,1,25,8,8,0.32,0.32,17.0,25.0,0.68
combination_repeat_prompt,2,25,20,20,0.8,0.8,20.0,25.0,0.8
combination_repeat_prompt,3,25,24,24,0.96,0.96,22.0,25.0,0.88
combination_repeat_prompt,4,25,24,24,0.96,0.96,23.0,25.0,0.92
combination_repeat_prompt,5,25,25,25,1.0,1.0,22.0,25.0,0.88
combination_repeat_prompt,6,25,25,25,1.0,1.0,22.0,25.0,0.88
combination_repeat_prompt,7,25,25,25,1.0,1.0,22.0,25.0,0.88
combination_repeat_prompt,8,25,25,25,1.0,1.0,22.0,25.0,0.88
detectable_format_json_format,0,50,0,0,0.0,0.0,22.0,50.0,0.44
detectable_format_json_format,1,50,44,44,0.88,0.88,48.0,50.0,0.96
detectable_format_json_format,2,50,42,42,0.84,0.84,46.0,50.0,0.92
detectable_format_json_format,3,50,50,50,1.0,1.0,49.0,50.0,0.98
detectable_format_json_format,4,50,50,50,1.0,1.0,48.0,50.0,0.96
detectable_format_json_format,5,50,50,50,1.0,1.0,49.0,50.0,0.98
detectable_format_json_format,6,50,50,50,1.0,1.0,46.0,50.0,0.92
detectable_format_json_format,7,50,50,50,1.0,1.0,48.0,50.0,0.96
detectable_format_json_format,8,50,50,50,1.0,1.0,48.0,50.0,0.96
detectable_format_title,0,25,0,0,0.0,0.0,13.0,25.0,0.52
detectable_format_title,1,25,2,2,0.08,0.08,20.0,25.0,0.8
detectable_format_title,2,25,0,0,0.0,0.0,16.0,25.0,0.64
detectable_format_title,3,25,4,4,0.16,0.16,15.0,25.0,0.6
detectable_format_title,4,25,14,14,0.56,0.56,9.0,25.0,0.36
detectable_format_title,5,25,20,20,0.8,0.8,4.0,25.0,0.16
detectable_format_title,6,25,23,23,0.92,0.92,2.0,25.0,0.08
detectable_format_title,7,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,8,25,25,25,1.0,1.0,0.0,25.0,0.0
startend_end_checker,0,25,0,0,0.0,0.0,11.0,25.0,0.44
startend_end_checker,1,25,0,0,0.0,0.0,17.0,25.0,0.68
startend_end_checker,2,25,2,2,0.08,0.08,17.0,25.0,0.68
startend_end_checker,3,25,12,12,0.48,0.48,21.0,25.0,0.84
startend_end_checker,4,25,19,19,0.76,0.76,22.0,25.0,0.88
startend_end_checker,5,25,22,22,0.88,0.88,23.0,25.0,0.92
startend_end_checker,6,25,22,22,0.88,0.88,22.0,25.0,0.88
startend_end_checker,7,25,23,23,0.92,0.92,21.0,25.0,0.84
startend_end_checker,8,25,25,25,1.0,1.0,23.0,25.0,0.92
startend_quotation,0,25,0,0,0.0,0.0,8.0,25.0,0.32
startend_quotation,1,25,9,9,0.36,0.36,21.0,25.0,0.84
startend_quotation,2,25,8,8,0.32,0.32,17.0,25.0,0.68
startend_quotation,3,25,15,15,0.6,0.6,18.0,25.0,0.72
startend_quotation,4,25,21,21,0.84,0.84,19.0,25.0,0.76
startend_quotation,5,25,25,25,1.0,1.0,21.0,25.0,0.84
startend_quotation,6,25,24,24,0.96,0.96,19.0,25.0,0.76
startend_quotation,7,25,25,25,1.0,1.0,22.0,25.0,0.88
startend_quotation,8,25,25,25,1.0,1.0,21.0,25.0,0.84
