IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,217,493,0.44016227180527384
change_case_english_capital,1,25,1,1,0.04,0.04,200,493,0.4056795131845842
change_case_english_capital,2,25,2,2,0.08,0.08,173,493,0.3509127789046653
change_case_english_capital,3,25,3,3,0.12,0.12,155,493,0.3144016227180527
change_case_english_capital,4,25,5,5,0.2,0.2,156,493,0.31643002028397565
change_case_english_capital,5,25,4,4,0.16,0.16,143,493,0.29006085192697767
change_case_english_capital,6,25,5,5,0.2,0.2,158,493,0.3204868154158215
change_case_english_capital,7,25,5,5,0.2,0.2,133,493,0.2697768762677485
change_case_english_capital,8,25,5,5,0.2,0.2,131,493,0.2657200811359026
change_case_english_lowercase,0,25,0,0,0.0,0.0,207,710,0.2915492957746479
change_case_english_lowercase,1,25,0,0,0.0,0.0,170,710,0.23943661971830985
change_case_english_lowercase,2,25,2,2,0.08,0.08,149,710,0.20985915492957746
change_case_english_lowercase,3,25,2,2,0.08,0.08,145,710,0.20422535211267606
change_case_english_lowercase,4,25,2,2,0.08,0.08,157,710,0.2211267605633803
change_case_english_lowercase,5,25,4,4,0.16,0.16,112,710,0.15774647887323945
change_case_english_lowercase,6,25,4,4,0.16,0.16,105,710,0.14788732394366197
change_case_english_lowercase,7,25,6,6,0.24,0.24,182,710,0.2563380281690141
change_case_english_lowercase,8,25,6,6,0.24,0.24,104,710,0.14647887323943662
combination_repeat_prompt,0,25,0,0,0.0,0.0,206,443,0.4650112866817156
combination_repeat_prompt,1,25,1,1,0.04,0.04,203,443,0.4582392776523702
combination_repeat_prompt,2,25,5,5,0.2,0.2,160,443,0.3611738148984199
combination_repeat_prompt,3,25,13,13,0.52,0.52,104,443,0.23476297968397292
combination_repeat_prompt,4,25,16,16,0.64,0.64,85,443,0.19187358916478556
combination_repeat_prompt,5,25,15,15,0.6,0.6,94,443,0.21218961625282168
combination_repeat_prompt,6,25,16,16,0.64,0.64,86,443,0.19413092550790068
combination_repeat_prompt,7,25,15,15,0.6,0.6,88,443,0.1986455981941309
combination_repeat_prompt,8,25,16,16,0.64,0.64,79,443,0.17832957110609482
detectable_format_json_format,0,50,0,0,0.0,0.0,444,1013,0.4383020730503455
detectable_format_json_format,1,50,0,0,0.0,0.0,467,1013,0.46100691016781836
detectable_format_json_format,2,50,2,2,0.04,0.04,411,1013,0.40572556762092793
detectable_format_json_format,3,50,3,3,0.06,0.06,381,1013,0.3761105626850938
detectable_format_json_format,4,50,5,5,0.1,0.1,379,1013,0.3741362290227048
detectable_format_json_format,5,50,7,7,0.14,0.14,335,1013,0.33070088845014806
detectable_format_json_format,6,50,8,8,0.16,0.16,305,1013,0.3010858835143139
detectable_format_json_format,7,50,10,10,0.2,0.2,342,1013,0.3376110562685094
detectable_format_json_format,8,50,10,10,0.2,0.2,350,1013,0.3455083909180652
detectable_format_title,0,25,0,0,0.0,0.0,237,485,0.488659793814433
detectable_format_title,1,25,1,1,0.04,0.04,203,485,0.41855670103092785
detectable_format_title,2,25,6,6,0.24,0.24,141,485,0.2907216494845361
detectable_format_title,3,25,3,3,0.12,0.12,138,485,0.2845360824742268
detectable_format_title,4,25,7,7,0.28,0.28,124,485,0.2556701030927835
detectable_format_title,5,25,6,6,0.24,0.24,119,485,0.24536082474226803
detectable_format_title,6,25,8,8,0.32,0.32,117,485,0.24123711340206186
detectable_format_title,7,25,9,9,0.36,0.36,117,485,0.24123711340206186
detectable_format_title,8,25,9,9,0.36,0.36,125,485,0.25773195876288657
startend_end_checker,0,25,0,0,0.0,0.0,283,445,0.6359550561797753
startend_end_checker,1,25,0,0,0.0,0.0,220,445,0.4943820224719101
startend_end_checker,2,25,1,1,0.04,0.04,196,445,0.4404494382022472
startend_end_checker,3,25,3,3,0.12,0.12,153,445,0.3438202247191011
startend_end_checker,4,25,3,3,0.12,0.12,150,445,0.33707865168539325
startend_end_checker,5,25,3,3,0.12,0.12,141,445,0.31685393258426964
startend_end_checker,6,25,5,5,0.2,0.2,124,445,0.2786516853932584
startend_end_checker,7,25,6,6,0.24,0.24,113,445,0.2539325842696629
startend_end_checker,8,25,5,5,0.2,0.2,137,445,0.30786516853932583
startend_quotation,0,25,0,0,0.0,0.0,221,528,0.4185606060606061
startend_quotation,1,25,1,1,0.04,0.04,186,528,0.3522727272727273
startend_quotation,2,25,8,8,0.32,0.32,145,528,0.2746212121212121
startend_quotation,3,25,8,8,0.32,0.32,125,528,0.23674242424242425
startend_quotation,4,25,8,8,0.32,0.32,117,528,0.2215909090909091
startend_quotation,5,25,8,8,0.32,0.32,121,528,0.22916666666666666
startend_quotation,6,25,9,9,0.36,0.36,101,528,0.19128787878787878
startend_quotation,7,25,9,9,0.36,0.36,119,528,0.22537878787878787
startend_quotation,8,25,9,9,0.36,0.36,105,528,0.19886363636363635
