IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,25.0,25.0,1.0
change_case_english_capital,1,25,0,0,0.0,0.0,24.0,25.0,0.96
change_case_english_capital,2,25,3,3,0.12,0.12,25.0,25.0,1.0
change_case_english_capital,3,25,2,2,0.08,0.08,25.0,25.0,1.0
change_case_english_capital,4,25,2,2,0.08,0.08,25.0,25.0,1.0
change_case_english_capital,5,25,2,2,0.08,0.08,25.0,25.0,1.0
change_case_english_capital,6,25,3,3,0.12,0.12,24.0,25.0,0.96
change_case_english_capital,7,25,5,5,0.2,0.2,25.0,25.0,1.0
change_case_english_capital,8,25,3,3,0.12,0.12,25.0,25.0,1.0
change_case_english_lowercase,0,25,0,0,0.0,0.0,19.0,25.0,0.76
change_case_english_lowercase,1,25,0,0,0.0,0.0,17.0,25.0,0.68
change_case_english_lowercase,2,25,1,1,0.04,0.04,19.0,25.0,0.76
change_case_english_lowercase,3,25,2,2,0.08,0.08,18.0,25.0,0.72
change_case_english_lowercase,4,25,0,0,0.0,0.0,17.0,25.0,0.68
change_case_english_lowercase,5,25,2,2,0.08,0.08,18.0,25.0,0.72
change_case_english_lowercase,6,25,3,3,0.12,0.12,17.0,25.0,0.68
change_case_english_lowercase,7,25,2,2,0.08,0.08,16.0,25.0,0.64
change_case_english_lowercase,8,25,2,2,0.08,0.08,17.0,25.0,0.68
combination_repeat_prompt,0,25,0,0,0.0,0.0,20.0,25.0,0.8
combination_repeat_prompt,1,25,0,0,0.0,0.0,15.0,25.0,0.6
combination_repeat_prompt,2,25,0,0,0.0,0.0,16.0,25.0,0.64
combination_repeat_prompt,3,25,0,0,0.0,0.0,17.0,25.0,0.68
combination_repeat_prompt,4,25,2,2,0.08,0.08,16.0,25.0,0.64
combination_repeat_prompt,5,25,6,6,0.24,0.24,19.0,25.0,0.76
combination_repeat_prompt,6,25,6,6,0.24,0.24,20.0,25.0,0.8
combination_repeat_prompt,7,25,6,6,0.24,0.24,17.0,25.0,0.68
combination_repeat_prompt,8,25,9,9,0.36,0.36,18.0,25.0,0.72
detectable_format_json_format,0,50,0,0,0.0,0.0,45.0,50.0,0.9
detectable_format_json_format,1,50,0,0,0.0,0.0,44.0,50.0,0.88
detectable_format_json_format,2,50,0,0,0.0,0.0,43.0,50.0,0.86
detectable_format_json_format,3,50,1,1,0.02,0.02,37.0,50.0,0.74
detectable_format_json_format,4,50,3,3,0.06,0.06,38.0,50.0,0.76
detectable_format_json_format,5,50,5,5,0.1,0.1,37.0,50.0,0.74
detectable_format_json_format,6,50,5,5,0.1,0.1,38.0,50.0,0.76
detectable_format_json_format,7,50,6,6,0.12,0.12,40.0,50.0,0.8
detectable_format_json_format,8,50,11,11,0.22,0.22,40.0,50.0,0.8
detectable_format_title,0,25,0,0,0.0,0.0,24.0,25.0,0.96
detectable_format_title,1,25,0,0,0.0,0.0,23.0,25.0,0.92
detectable_format_title,2,25,0,0,0.0,0.0,22.0,25.0,0.88
detectable_format_title,3,25,1,1,0.04,0.04,20.0,25.0,0.8
detectable_format_title,4,25,4,4,0.16,0.16,19.0,25.0,0.76
detectable_format_title,5,25,3,3,0.12,0.12,18.0,25.0,0.72
detectable_format_title,6,25,6,6,0.24,0.24,13.0,25.0,0.52
detectable_format_title,7,25,5,5,0.2,0.2,13.0,25.0,0.52
detectable_format_title,8,25,6,6,0.24,0.24,13.0,25.0,0.52
startend_end_checker,0,25,0,0,0.0,0.0,22.0,25.0,0.88
startend_end_checker,1,25,0,0,0.0,0.0,21.0,25.0,0.84
startend_end_checker,2,25,0,0,0.0,0.0,20.0,25.0,0.8
startend_end_checker,3,25,0,0,0.0,0.0,20.0,25.0,0.8
startend_end_checker,4,25,2,2,0.08,0.08,20.0,25.0,0.8
startend_end_checker,5,25,4,4,0.16,0.16,21.0,25.0,0.84
startend_end_checker,6,25,2,2,0.08,0.08,18.0,25.0,0.72
startend_end_checker,7,25,3,3,0.12,0.12,20.0,25.0,0.8
startend_end_checker,8,25,2,2,0.08,0.08,19.0,25.0,0.76
startend_quotation,0,25,0,0,0.0,0.0,24.0,25.0,0.96
startend_quotation,1,25,1,1,0.04,0.04,20.0,25.0,0.8
startend_quotation,2,25,7,7,0.28,0.28,24.0,25.0,0.96
startend_quotation,3,25,7,7,0.28,0.28,23.0,25.0,0.92
startend_quotation,4,25,8,8,0.32,0.32,22.0,25.0,0.88
startend_quotation,5,25,8,8,0.32,0.32,23.0,25.0,0.92
startend_quotation,6,25,8,8,0.32,0.32,23.0,25.0,0.92
startend_quotation,7,25,9,9,0.36,0.36,23.0,25.0,0.92
startend_quotation,8,25,10,10,0.4,0.4,21.0,25.0,0.84
