IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.9047619047619048,0.9047619047619048,0.6666666666666666
change_case_english_capital,1,42,1.0,1.0,0.7142857142857143
change_case_english_capital,2,42,1.0,1.0,0.6190476190476191
change_case_english_capital,3,42,1.0,1.0,0.7619047619047619
change_case_english_capital,4,42,1.0,1.0,0.7142857142857143
change_case_english_capital,5,42,1.0,1.0,0.7142857142857143
change_case_english_capital,6,42,1.0,1.0,0.6428571428571429
change_case_english_capital,7,42,1.0,1.0,0.6904761904761905
change_case_english_capital,8,42,1.0,1.0,0.6904761904761905
change_case_english_lowercase,0,50,1.0,1.0,0.76
change_case_english_lowercase,1,50,0.24,0.24,0.8
change_case_english_lowercase,2,50,0.08,0.08,0.82
change_case_english_lowercase,3,50,0.04,0.04,0.84
change_case_english_lowercase,4,50,0.0,0.0,0.82
change_case_english_lowercase,5,50,0.0,0.0,0.82
change_case_english_lowercase,6,50,0.0,0.0,0.86
change_case_english_lowercase,7,50,0.0,0.0,0.86
change_case_english_lowercase,8,50,0.0,0.0,0.84
combination_repeat_prompt,0,12,0.9166666666666666,0.9166666666666666,0.25
combination_repeat_prompt,1,12,1.0,1.0,0.8333333333333334
combination_repeat_prompt,2,12,0.5,0.5,0.5
combination_repeat_prompt,3,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
combination_repeat_prompt,4,12,0.25,0.25,0.25
combination_repeat_prompt,5,12,0.0,0.0,0.08333333333333333
combination_repeat_prompt,6,12,0.0,0.0,0.08333333333333333
combination_repeat_prompt,7,12,0.0,0.0,0.08333333333333333
combination_repeat_prompt,8,12,0.0,0.0,0.08333333333333333
detectable_format_json_format,0,78,0.9743589743589743,0.9743589743589743,0.7948717948717948
detectable_format_json_format,1,78,0.1794871794871795,0.1794871794871795,0.5769230769230769
detectable_format_json_format,2,78,0.21794871794871795,0.21794871794871795,0.6025641025641025
detectable_format_json_format,3,78,0.24358974358974358,0.24358974358974358,0.5256410256410257
detectable_format_json_format,4,78,0.21794871794871795,0.21794871794871795,0.48717948717948717
detectable_format_json_format,5,78,0.21794871794871795,0.21794871794871795,0.5
detectable_format_json_format,6,78,0.15384615384615385,0.15384615384615385,0.4358974358974359
detectable_format_json_format,7,78,0.20512820512820512,0.20512820512820512,0.44871794871794873
detectable_format_json_format,8,78,0.15384615384615385,0.15384615384615385,0.38461538461538464
detectable_format_title,0,6,1.0,1.0,0.16666666666666666
detectable_format_title,1,6,1.0,1.0,0.0
detectable_format_title,2,6,1.0,1.0,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,0.8333333333333334,0.8333333333333334,0.0
startend_end_checker,1,6,1.0,1.0,0.8333333333333334
startend_end_checker,2,6,1.0,1.0,0.8333333333333334
startend_end_checker,3,6,1.0,1.0,0.8333333333333334
startend_end_checker,4,6,1.0,1.0,0.8333333333333334
startend_end_checker,5,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,6,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,7,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,8,6,1.0,1.0,0.8333333333333334
startend_quotation,0,19,0.9473684210526315,0.9473684210526315,0.631578947368421
startend_quotation,1,19,0.0,0.0,0.7894736842105263
startend_quotation,2,19,0.0,0.0,0.7894736842105263
startend_quotation,3,19,0.0,0.0,0.7894736842105263
startend_quotation,4,19,0.0,0.0,0.7894736842105263
startend_quotation,5,19,0.0,0.0,0.7368421052631579
startend_quotation,6,19,0.0,0.0,0.7894736842105263
startend_quotation,7,19,0.0,0.0,0.7894736842105263
startend_quotation,8,19,0.0,0.0,0.8421052631578947
