IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.6,0.6,0.14610038690992408
change_case_english_capital,1,25,0.56,0.56,0.28787629848387214
change_case_english_capital,2,25,0.48,0.48,0.07551940030958264
change_case_english_capital,3,25,0.52,0.52,0.1345211898499086
change_case_english_capital,4,25,0.56,0.56,0.10535177198483855
change_case_english_capital,5,25,0.48,0.48,0.09248679641018556
change_case_english_capital,6,25,0.44,0.44,1.8186059478196595
change_case_english_capital,7,25,0.48,0.48,0.09602530265836924
change_case_english_capital,8,25,0.4,0.4,0.10258167307052712
change_case_english_lowercase,0,25,1.0,1.0,0.10662928810068037
change_case_english_lowercase,1,25,0.92,0.92,0.07157878305017532
change_case_english_lowercase,2,25,0.48,0.48,0.028159888219515778
change_case_english_lowercase,3,25,0.64,0.64,0.08130018995424476
change_case_english_lowercase,4,25,0.52,0.52,0.030220145004970105
change_case_english_lowercase,5,25,0.48,0.48,0.03253796765641875
change_case_english_lowercase,6,25,0.56,0.56,0.07430983231502615
change_case_english_lowercase,7,25,0.44,0.44,0.03404143073319174
change_case_english_lowercase,8,25,0.32,0.32,0.03136149706818345
combination_repeat_prompt,0,25,0.96,0.96,0.1606077243011648
combination_repeat_prompt,1,25,0.56,0.56,0.20885915755088688
combination_repeat_prompt,2,25,0.56,0.56,0.21861224495551693
combination_repeat_prompt,3,25,0.68,0.68,0.21366314807538556
combination_repeat_prompt,4,25,0.56,0.56,0.2727344124432017
combination_repeat_prompt,5,25,0.44,0.44,0.3131391743479635
combination_repeat_prompt,6,25,0.44,0.44,0.3224070517907178
combination_repeat_prompt,7,25,0.44,0.44,0.32435716516940266
combination_repeat_prompt,8,25,0.48,0.48,0.29854035587320527
detectable_format_json_format,0,50,0.0,0.0,0.26976687119788517
detectable_format_json_format,1,50,0.0,0.0,0.25055124853498684
detectable_format_json_format,2,50,0.0,0.0,0.25604139271820503
detectable_format_json_format,3,50,0.0,0.0,0.2488010074349626
detectable_format_json_format,4,50,0.0,0.0,0.24259092340134916
detectable_format_json_format,5,50,0.0,0.0,0.2361092307242783
detectable_format_json_format,6,50,0.0,0.0,0.256683384710197
detectable_format_json_format,7,50,0.0,0.0,0.25176158896487183
detectable_format_json_format,8,50,0.0,0.0,0.24073157025838257
detectable_format_title,0,25,0.4,0.4,0.6661309177670728
detectable_format_title,1,25,0.6,0.6,0.6561560804243262
detectable_format_title,2,25,0.32,0.32,0.6233566982037569
detectable_format_title,3,25,0.36,0.36,0.556166299949529
detectable_format_title,4,25,0.4,0.4,0.5493055209209364
detectable_format_title,5,25,0.28,0.28,0.4517508966800865
detectable_format_title,6,25,0.44,0.44,0.5239981351981352
detectable_format_title,7,25,0.52,0.52,0.6298405594405595
detectable_format_title,8,25,0.48,0.48,0.5833429438486043
startend_end_checker,0,25,0.64,0.64,0.827927692660888
startend_end_checker,1,25,0.76,0.76,0.5786532762276478
startend_end_checker,2,25,0.76,0.76,0.447795457237983
startend_end_checker,3,25,0.72,0.72,0.41706971571314105
startend_end_checker,4,25,0.68,0.68,0.3549030490464744
startend_end_checker,5,25,0.68,0.68,0.3587671270914854
startend_end_checker,6,25,0.72,0.72,0.29826565345855405
startend_end_checker,7,25,0.68,0.68,0.31101277989533566
startend_end_checker,8,25,0.76,0.76,0.27733766380115266
startend_quotation,0,25,0.0,0.0,0.37725419316353226
startend_quotation,1,25,0.0,0.0,0.14331219397935818
startend_quotation,2,25,0.0,0.0,0.040300010539330945
startend_quotation,3,25,0.0,0.0,0.0554752108179795
startend_quotation,4,25,0.0,0.0,0.054407389750158436
startend_quotation,5,25,0.0,0.0,0.03973036742607729
startend_quotation,6,25,0.0,0.0,0.052283139731171574
startend_quotation,7,25,0.0,0.0,0.09951955153727333
startend_quotation,8,25,0.0,0.0,0.07419791411037274
