IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.42857142857142855,0.42857142857142855,0.35714285714285715
change_case_english_capital,1,42,0.5952380952380952,0.5952380952380952,0.40476190476190477
change_case_english_capital,2,42,0.5714285714285714,0.5714285714285714,0.3333333333333333
change_case_english_capital,3,42,0.5714285714285714,0.5714285714285714,0.3333333333333333
change_case_english_capital,4,42,0.5476190476190477,0.5476190476190477,0.38095238095238093
change_case_english_capital,5,42,0.5238095238095238,0.5238095238095238,0.4523809523809524
change_case_english_capital,6,42,0.5952380952380952,0.5952380952380952,0.42857142857142855
change_case_english_capital,7,42,0.5952380952380952,0.5952380952380952,0.42857142857142855
change_case_english_capital,8,42,0.5,0.5,0.40476190476190477
change_case_english_lowercase,0,50,0.98,0.98,0.5
change_case_english_lowercase,1,50,0.74,0.74,0.54
change_case_english_lowercase,2,50,0.54,0.54,0.46
change_case_english_lowercase,3,50,0.58,0.58,0.54
change_case_english_lowercase,4,50,0.56,0.56,0.5
change_case_english_lowercase,5,50,0.52,0.52,0.54
change_case_english_lowercase,6,50,0.58,0.58,0.48
change_case_english_lowercase,7,50,0.64,0.64,0.5
change_case_english_lowercase,8,50,0.46,0.46,0.52
combination_repeat_prompt,0,12,0.8333333333333334,0.8333333333333334,0.5833333333333334
combination_repeat_prompt,1,12,0.75,0.75,0.5833333333333334
combination_repeat_prompt,2,12,0.75,0.75,0.4166666666666667
combination_repeat_prompt,3,12,0.8333333333333334,0.8333333333333334,0.5
combination_repeat_prompt,4,12,0.8333333333333334,0.8333333333333334,0.4166666666666667
combination_repeat_prompt,5,12,0.75,0.75,0.5
combination_repeat_prompt,6,12,0.75,0.75,0.5833333333333334
combination_repeat_prompt,7,12,0.8333333333333334,0.8333333333333334,0.5833333333333334
combination_repeat_prompt,8,12,0.9166666666666666,0.9166666666666666,0.5833333333333334
detectable_format_json_format,0,78,0.0,0.01282051282051282,0.0
detectable_format_json_format,1,78,0.0,0.0,0.0
detectable_format_json_format,2,78,0.0,0.0,0.0
detectable_format_json_format,3,78,0.0,0.0,0.0
detectable_format_json_format,4,78,0.0,0.0,0.0
detectable_format_json_format,5,78,0.0,0.0,0.0
detectable_format_json_format,6,78,0.0,0.0,0.0
detectable_format_json_format,7,78,0.0,0.0,0.0
detectable_format_json_format,8,78,0.0,0.0,0.0
detectable_format_title,0,6,0.3333333333333333,0.3333333333333333,0.16666666666666666
detectable_format_title,1,6,0.5,0.5,0.16666666666666666
detectable_format_title,2,6,0.3333333333333333,0.3333333333333333,0.16666666666666666
detectable_format_title,3,6,0.5,0.5,0.16666666666666666
detectable_format_title,4,6,0.3333333333333333,0.3333333333333333,0.16666666666666666
detectable_format_title,5,6,0.6666666666666666,0.6666666666666666,0.16666666666666666
detectable_format_title,6,6,0.6666666666666666,0.6666666666666666,0.16666666666666666
detectable_format_title,7,6,0.5,0.5,0.0
detectable_format_title,8,6,0.8333333333333334,0.8333333333333334,0.16666666666666666
startend_end_checker,0,6,0.0,0.0,0.0
startend_end_checker,1,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,2,6,1.0,1.0,0.8333333333333334
startend_end_checker,3,6,0.8333333333333334,0.8333333333333334,0.5
startend_end_checker,4,6,1.0,1.0,0.8333333333333334
startend_end_checker,5,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,6,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,7,6,1.0,1.0,0.8333333333333334
startend_end_checker,8,6,1.0,1.0,0.8333333333333334
startend_quotation,0,19,0.05263157894736842,0.05263157894736842,0.0
startend_quotation,1,19,0.0,0.0,0.2631578947368421
startend_quotation,2,19,0.0,0.0,0.42105263157894735
startend_quotation,3,19,0.0,0.0,0.3684210526315789
startend_quotation,4,19,0.0,0.0,0.42105263157894735
startend_quotation,5,19,0.0,0.0,0.42105263157894735
startend_quotation,6,19,0.0,0.0,0.3157894736842105
startend_quotation,7,19,0.0,0.0,0.3684210526315789
startend_quotation,8,19,0.0,0.0,0.3684210526315789
