response_task,,CEQ,CEQ,CEQ,CEQ,CW,CW,CW
audio_task,,ASR,GR,MMAU,SER,ASR,GR,SER
model,Setting,,,,,,,
qwen2,Zero-shot,0.45,0.515,0.32848370927318293,0.34500000000000003,0.6527777777777778,0.7484848484848485,0.7040293040293041
qwen2,ICL,0.3375,0.39875,0.42505208333333333,0.28437500000000004,0.70609375,0.6728174603174604,0.7001793345543346
desta2_5,Zero-shot,0.98,0.96,0.9531822344322345,0.965,0.8769444444444444,0.8258477633477633,0.8623321123321124
desta2_5,ICL,0.619375,0.6799999999999999,0.7637242445054945,0.7,0.9074652777777777,0.9329725829725829,0.9574671855921856
blsp-emo,Zero-shot,0.815,0.685,0.46521929824561403,0.66,0.6280555555555556,0.7168470418470418,0.6493894993894994
blsp-emo,ICL,0.37124999999999997,0.380625,0.3674352347214189,0.375,0.7202083333333333,0.8547573953823954,0.8653617216117216
qwen25_omni,Zero-shot,0.71,0.9099999999999999,0.9438560343165606,0.95,0.4468055555555555,0.3059163059163059,0.35839438339438334
qwen25_omni,ICL,0.40625,0.43625,0.45504407051282053,0.406875,0.7996701388888889,0.8276357323232323,0.8833218864468865
gemini-2.5-flash,Zero-shot,0.995,1.0,0.9920238095238095,0.995,0.9791666666666666,0.9204906204906205,0.9531746031746031
gemini-2.5-flash,ICL,0.6375,0.595625,0.7609357829670329,0.605625,0.9761979166666667,0.9630839646464646,0.9699175824175824
gemini-3-flash-preview,Zero-shot,0.995,1.0,0.9945238095238096,1.0,0.9826388888888888,0.9875,0.9904761904761905
gemini-3-flash-preview,ICL,0.578125,0.726875,0.7237059294871795,0.778125,0.9843923611111111,0.9902597402597403,0.992445054945055
cascade_qwen25-7b-instruct,Zero-shot,0.985,0.995,0.9656776556776556,0.995,0.7788888888888889,0.7035353535353535,0.7499389499389499
cascade_qwen25-7b-instruct,ICL,0.650625,0.7637499999999999,0.810244391025641,0.739375,0.840295138888889,0.7931096681096681,0.8353861416361417
cascade_llama-3_1-8b-instruct,Zero-shot,0.98,0.935,0.844551282051282,0.925,0.88375,0.7683982683982684,0.877014652014652
cascade_llama-3_1-8b-instruct,ICL,0.65375,0.8256249999999999,0.9097716346153846,0.819375,0.9040451388888888,0.8095486111111111,0.8823717948717948
