response_task,,CEQ,CEQ,CEQ,CEQ,CoT,CoT,CoT,CoT
audio_task,,ASR,GR,MMAU,SER,ASR,GR,MMAU,SER
model,Setting,,,,,,,,
qwen2,Zero-shot,0.35302299316237906,0.5900000000000001,0.20089285714285715,0.51,0.114494518879415,0.860465116279069,0.518518518518518,0.55
qwen2,ICL,0.27206686177060696,0.594375,0.3337609649122807,0.509375,0.21970158343483487,0.8110465116279066,0.4999999999999998,0.5
desta2_5,Zero-shot,0.21379966728076472,0.725,0.46990360516676305,0.565,0.0487210718635809,0.813953488372093,0.759259259259259,0.7
desta2_5,ICL,0.8464552850984541,0.501875,0.5153285557644111,0.44375000000000003,0.1804202192448229,0.6511627906976739,0.7129629629629626,0.5625
blsp-emo,Zero-shot,0.16711668659392753,0.32,0.2224154135338346,0.535,0.264311814859926,0.162790697674418,0.5,0.625
blsp-emo,ICL,0.280651281261871,0.23,0.226819904328128,0.555625,1.2429963459196072,0.5697674418604646,0.5601851851851849,0.640625
qwen25_omni,Zero-shot,0.49047871968993445,0.72,0.508081983805668,0.545,0.194884287454323,0.674418604651162,0.759259259259259,0.5
qwen25_omni,ICL,0.24330539888891226,0.603125,0.544736751735107,0.48,0.11890986601705211,0.767441860465116,0.7361111111111105,0.596875
gemini-2.5-flash,Zero-shot,0.16344274628851005,0.7949999999999999,0.5455308945440525,0.54,0.0523751522533495,0.813953488372093,0.851851851851851,0.625
gemini-2.5-flash,ICL,0.20121529149213385,0.67625,0.5919814861673414,0.544375,0.022990255785627214,0.8313953488372089,0.8657407407407403,0.65625
gemini-3-flash-preview,Zero-shot,0.1647911060043883,0.675,0.6927867746288798,0.565,,,,
gemini-3-flash-preview,ICL,0.1786461320344479,0.75,0.7257002180933102,0.594375,,,,
cascade_qwen25-7b-instruct,Zero-shot,0.2666981622380716,0.7050000000000001,0.5649149315596684,0.6499999999999999,0.0,0.0,0.0,0.0
cascade_qwen25-7b-instruct,ICL,0.27466830083046584,0.67625,0.6526422426257953,0.61875,0.0,0.0,0.0,0.0
cascade_llama-3_1-8b-instruct,Zero-shot,0.30132059327725413,0.63,0.38088876036244457,0.5449999999999999,0.0,0.0,0.0,0.0
cascade_llama-3_1-8b-instruct,ICL,0.29821284192733394,0.61625,0.5896093599383073,0.535625,0.0,0.0,0.0,0.0
