model,Setting,bullet_lists,keywords,length_constraints,Avg.
qwen2,Zero-shot,0.8277777777777778,0.75,0.5433427683427684,0.7070401820401822
qwen2,ICL,0.7810185185185186,0.8175,0.5679064280626781,0.7221416488603989
desta2_5,Zero-shot,0.9092592592592593,0.86,0.806471768971769,0.8585770094103428
desta2_5,ICL,0.9668981481481481,0.88125,0.9071103086728086,0.9184194856069856
blsp-emo,Zero-shot,0.7685185185185185,0.53,0.5936947311947313,0.6307377499044166
blsp-emo,ICL,0.978125,0.55125,0.7050794113294113,0.7448181371098038
qwen25_omni,Zero-shot,0.00925925925925926,0.83,0.6037534225034225,0.48100422725422726
qwen25_omni,ICL,0.9614583333333333,0.8925,0.6813502180689681,0.8451028504674338
gemini-2.5-flash,Zero-shot,0.9648148148148148,1.0,0.9301286676286676,0.9649811608144941
gemini-2.5-flash,ICL,0.9989583333333334,0.995,0.9342406147093647,0.9760663160142327
gemini-3-flash-preview,Zero-shot,0.9916666666666667,1.0,0.9762896825396825,0.9893187830687831
gemini-3-flash-preview,ICL,1.0,0.99875,0.9732788912476413,0.9906762970825471
cascade_qwen25-7b-instruct,Zero-shot,0.8851851851851852,0.9199999999999999,0.556019906019906,0.7870683637350305
cascade_qwen25-7b-instruct,ICL,0.9627314814814815,0.9675,0.6407275305712806,0.8569863373509207
cascade_llama-3_1-8b-instruct,Zero-shot,0.8583333333333334,0.87,0.8323586136086135,0.8535639823139823
cascade_llama-3_1-8b-instruct,ICL,0.8489583333333334,0.94,0.8697004095441595,0.8862195809591643
