IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,40,0.7
detectable_format_number_bullet_lists,1,40,0.8
detectable_format_number_bullet_lists,2,40,0.75
detectable_format_number_bullet_lists,3,40,0.75
detectable_format_number_bullet_lists,4,40,0.725
detectable_format_number_bullet_lists,5,40,0.775
detectable_format_number_bullet_lists,6,40,0.9
detectable_format_number_bullet_lists,7,40,0.825
detectable_format_number_bullet_lists,8,40,0.85
length_constraints_number_paragraphs,0,21,0.7619047619047619
length_constraints_number_paragraphs,1,21,0.8571428571428571
length_constraints_number_paragraphs,2,21,0.9523809523809523
length_constraints_number_paragraphs,3,21,0.9047619047619048
length_constraints_number_paragraphs,4,21,0.9047619047619048
length_constraints_number_paragraphs,5,21,0.9047619047619048
length_constraints_number_paragraphs,6,21,0.9047619047619048
length_constraints_number_paragraphs,7,21,0.9523809523809523
length_constraints_number_paragraphs,8,21,0.9523809523809523
length_constraints_number_sentences,0,33,0.8484848484848485
length_constraints_number_sentences,1,33,0.6363636363636364
length_constraints_number_sentences,2,33,0.7272727272727273
length_constraints_number_sentences,3,33,0.7575757575757576
length_constraints_number_sentences,4,33,0.7575757575757576
length_constraints_number_sentences,5,33,0.7878787878787878
length_constraints_number_sentences,6,33,0.7575757575757576
length_constraints_number_sentences,7,33,0.8181818181818182
length_constraints_number_sentences,8,33,0.7575757575757576
length_constraints_number_words,0,20,0.9
length_constraints_number_words,1,20,0.8
length_constraints_number_words,2,20,0.7
length_constraints_number_words,3,20,0.8
length_constraints_number_words,4,20,0.8
length_constraints_number_words,5,20,0.75
length_constraints_number_words,6,20,0.85
length_constraints_number_words,7,20,0.85
length_constraints_number_words,8,20,0.85
