IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,36,0.9166666666666666
detectable_format_number_bullet_lists,1,36,0.8333333333333334
detectable_format_number_bullet_lists,2,36,0.8333333333333334
detectable_format_number_bullet_lists,3,36,0.8611111111111112
detectable_format_number_bullet_lists,4,36,0.8888888888888888
detectable_format_number_bullet_lists,5,36,0.9166666666666666
detectable_format_number_bullet_lists,6,36,0.8888888888888888
detectable_format_number_bullet_lists,7,36,0.8611111111111112
detectable_format_number_bullet_lists,8,36,0.9166666666666666
length_constraints_number_paragraphs,0,13,0.7692307692307693
length_constraints_number_paragraphs,1,13,0.6923076923076923
length_constraints_number_paragraphs,2,13,0.9230769230769231
length_constraints_number_paragraphs,3,13,0.9230769230769231
length_constraints_number_paragraphs,4,13,0.9230769230769231
length_constraints_number_paragraphs,5,13,0.9230769230769231
length_constraints_number_paragraphs,6,13,0.9230769230769231
length_constraints_number_paragraphs,7,13,0.9230769230769231
length_constraints_number_paragraphs,8,13,0.9230769230769231
length_constraints_number_sentences,0,35,0.8857142857142857
length_constraints_number_sentences,1,35,0.7714285714285715
length_constraints_number_sentences,2,35,0.8857142857142857
length_constraints_number_sentences,3,35,0.8857142857142857
length_constraints_number_sentences,4,35,0.8857142857142857
length_constraints_number_sentences,5,35,0.9428571428571428
length_constraints_number_sentences,6,35,0.9428571428571428
length_constraints_number_sentences,7,35,0.9714285714285714
length_constraints_number_sentences,8,35,0.9142857142857143
length_constraints_number_words,0,14,0.8571428571428571
length_constraints_number_words,1,14,0.9285714285714286
length_constraints_number_words,2,14,0.8571428571428571
length_constraints_number_words,3,14,0.7857142857142857
length_constraints_number_words,4,14,0.8571428571428571
length_constraints_number_words,5,14,0.8571428571428571
length_constraints_number_words,6,14,0.9285714285714286
length_constraints_number_words,7,14,1.0
length_constraints_number_words,8,14,0.7857142857142857
