IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,40,0.85
detectable_format_number_bullet_lists,1,40,0.95
detectable_format_number_bullet_lists,2,40,1.0
detectable_format_number_bullet_lists,3,40,0.95
detectable_format_number_bullet_lists,4,40,0.95
detectable_format_number_bullet_lists,5,40,0.975
detectable_format_number_bullet_lists,6,40,1.0
detectable_format_number_bullet_lists,7,40,0.975
detectable_format_number_bullet_lists,8,40,1.0
length_constraints_number_paragraphs,0,21,0.3333333333333333
length_constraints_number_paragraphs,1,21,0.5714285714285714
length_constraints_number_paragraphs,2,21,0.5238095238095238
length_constraints_number_paragraphs,3,21,0.47619047619047616
length_constraints_number_paragraphs,4,21,0.38095238095238093
length_constraints_number_paragraphs,5,21,0.42857142857142855
length_constraints_number_paragraphs,6,21,0.38095238095238093
length_constraints_number_paragraphs,7,21,0.3333333333333333
length_constraints_number_paragraphs,8,21,0.42857142857142855
length_constraints_number_sentences,0,33,0.7878787878787878
length_constraints_number_sentences,1,33,0.8484848484848485
length_constraints_number_sentences,2,33,0.8484848484848485
length_constraints_number_sentences,3,33,0.8484848484848485
length_constraints_number_sentences,4,33,0.8181818181818182
length_constraints_number_sentences,5,33,0.8181818181818182
length_constraints_number_sentences,6,33,0.7575757575757576
length_constraints_number_sentences,7,33,0.8484848484848485
length_constraints_number_sentences,8,33,0.7575757575757576
length_constraints_number_words,0,20,0.55
length_constraints_number_words,1,20,0.75
length_constraints_number_words,2,20,0.5
length_constraints_number_words,3,20,0.6
length_constraints_number_words,4,20,0.55
length_constraints_number_words,5,20,0.55
length_constraints_number_words,6,20,0.55
length_constraints_number_words,7,20,0.5
length_constraints_number_words,8,20,0.6
