IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.9761904761904762,0.9761904761904762,0.5476190476190477
change_case_english_capital,1,42,1.0,1.0,0.6666666666666666
change_case_english_capital,2,42,1.0,1.0,0.6904761904761905
change_case_english_capital,3,42,1.0,1.0,0.6428571428571429
change_case_english_capital,4,42,1.0,1.0,0.6666666666666666
change_case_english_capital,5,42,1.0,1.0,0.6666666666666666
change_case_english_capital,6,42,1.0,1.0,0.6904761904761905
change_case_english_capital,7,42,1.0,1.0,0.6666666666666666
change_case_english_capital,8,42,1.0,1.0,0.6904761904761905
change_case_english_lowercase,0,50,0.98,0.98,0.58
change_case_english_lowercase,1,50,1.0,1.0,0.66
change_case_english_lowercase,2,50,0.9,0.9,0.66
change_case_english_lowercase,3,50,0.78,0.78,0.62
change_case_english_lowercase,4,50,0.74,0.74,0.66
change_case_english_lowercase,5,50,0.62,0.62,0.7
change_case_english_lowercase,6,50,0.6,0.6,0.66
change_case_english_lowercase,7,50,0.5,0.5,0.68
change_case_english_lowercase,8,50,0.44,0.44,0.68
combination_repeat_prompt,0,12,1.0,1.0,0.9166666666666666
combination_repeat_prompt,1,12,1.0,1.0,0.9166666666666666
combination_repeat_prompt,2,12,1.0,1.0,0.9166666666666666
combination_repeat_prompt,3,12,1.0,1.0,0.9166666666666666
combination_repeat_prompt,4,12,0.8333333333333334,0.8333333333333334,0.75
combination_repeat_prompt,5,12,0.9166666666666666,0.9166666666666666,0.8333333333333334
combination_repeat_prompt,6,12,0.8333333333333334,0.8333333333333334,0.75
combination_repeat_prompt,7,12,0.75,0.75,0.6666666666666666
combination_repeat_prompt,8,12,0.5833333333333334,0.5833333333333334,0.5833333333333334
detectable_format_json_format,0,78,0.8846153846153846,0.8974358974358975,0.6410256410256411
detectable_format_json_format,1,78,0.9102564102564102,0.9102564102564102,0.7564102564102564
detectable_format_json_format,2,78,0.8076923076923077,0.8076923076923077,0.782051282051282
detectable_format_json_format,3,78,0.7051282051282052,0.7051282051282052,0.8076923076923077
detectable_format_json_format,4,78,0.6153846153846154,0.6153846153846154,0.7564102564102564
detectable_format_json_format,5,78,0.5256410256410257,0.5256410256410257,0.7564102564102564
detectable_format_json_format,6,78,0.46153846153846156,0.46153846153846156,0.7948717948717948
detectable_format_json_format,7,78,0.34615384615384615,0.34615384615384615,0.782051282051282
detectable_format_json_format,8,78,0.3076923076923077,0.3076923076923077,0.7692307692307693
detectable_format_title,0,6,1.0,1.0,0.0
detectable_format_title,1,6,1.0,1.0,0.0
detectable_format_title,2,6,1.0,1.0,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,1.0,1.0,0.6666666666666666
startend_end_checker,1,6,1.0,1.0,1.0
startend_end_checker,2,6,1.0,1.0,0.6666666666666666
startend_end_checker,3,6,1.0,1.0,0.6666666666666666
startend_end_checker,4,6,1.0,1.0,0.8333333333333334
startend_end_checker,5,6,1.0,1.0,1.0
startend_end_checker,6,6,1.0,1.0,1.0
startend_end_checker,7,6,1.0,1.0,1.0
startend_end_checker,8,6,1.0,1.0,1.0
startend_quotation,0,19,1.0,1.0,0.5263157894736842
startend_quotation,1,19,1.0,1.0,0.47368421052631576
startend_quotation,2,19,1.0,1.0,0.631578947368421
startend_quotation,3,19,0.8947368421052632,0.8947368421052632,0.631578947368421
startend_quotation,4,19,0.7894736842105263,0.7894736842105263,0.5263157894736842
startend_quotation,5,19,0.7368421052631579,0.7368421052631579,0.6842105263157895
startend_quotation,6,19,0.5789473684210527,0.5789473684210527,0.7368421052631579
startend_quotation,7,19,0.47368421052631576,0.47368421052631576,0.7368421052631579
startend_quotation,8,19,0.5263157894736842,0.5263157894736842,0.7368421052631579
