IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,1.0,1.0,0.06297167849086006
change_case_english_capital,1,25,1.0,1.0,0.037890597409778994
change_case_english_capital,2,25,1.0,1.0,0.03128540398105616
change_case_english_capital,3,25,1.0,1.0,0.039629727844561605
change_case_english_capital,4,25,1.0,1.0,0.02563834515752674
change_case_english_capital,5,25,1.0,1.0,0.020674433964756544
change_case_english_capital,6,25,1.0,1.0,0.023476182995364577
change_case_english_capital,7,25,1.0,1.0,0.026588707284359456
change_case_english_capital,8,25,1.0,1.0,0.04119390071308229
change_case_english_lowercase,0,25,1.0,1.0,0.023360930748112487
change_case_english_lowercase,1,25,0.4,0.4,0.02343537430280187
change_case_english_lowercase,2,25,0.04,0.04,0.017141632925653995
change_case_english_lowercase,3,25,0.04,0.04,0.018823115622062066
change_case_english_lowercase,4,25,0.12,0.12,0.021790630986416763
change_case_english_lowercase,5,25,0.0,0.0,0.018823115622062066
change_case_english_lowercase,6,25,0.0,0.0,0.021238261414746395
change_case_english_lowercase,7,25,0.08,0.08,0.021100802816342763
change_case_english_lowercase,8,25,0.0,0.0,0.020017145472808338
combination_repeat_prompt,0,25,1.0,1.0,0.029336441336441338
combination_repeat_prompt,1,25,0.96,0.96,0.07108003108003108
combination_repeat_prompt,2,25,0.88,0.88,0.05852116137830423
combination_repeat_prompt,3,25,0.88,0.88,0.042972582972582975
combination_repeat_prompt,4,25,0.96,0.96,0.03839208410636982
combination_repeat_prompt,5,25,0.72,0.72,0.14795363366791936
combination_repeat_prompt,6,25,0.76,0.76,0.15528625092534867
combination_repeat_prompt,7,25,0.76,0.76,0.14234219748505464
combination_repeat_prompt,8,25,0.68,0.68,0.14470588832134076
detectable_format_json_format,0,50,1.0,1.0,0.04827900345365928
detectable_format_json_format,1,50,0.72,0.72,0.03848532338161108
detectable_format_json_format,2,50,0.14,0.14,0.08415471235583877
detectable_format_json_format,3,50,0.32,0.32,0.10406226046274984
detectable_format_json_format,4,50,0.26,0.26,0.12282295156144583
detectable_format_json_format,5,50,0.1,0.1,0.11021952626050374
detectable_format_json_format,6,50,0.18,0.18,0.1379457431768264
detectable_format_json_format,7,50,0.14,0.14,0.09624689513113636
detectable_format_json_format,8,50,0.06,0.06,0.10277862993857986
detectable_format_title,0,25,0.96,0.96,0.96
detectable_format_title,1,25,1.0,1.0,1.0
detectable_format_title,2,25,1.0,1.0,1.0
detectable_format_title,3,25,1.0,1.0,1.0
detectable_format_title,4,25,1.0,1.0,1.0
detectable_format_title,5,25,1.0,1.0,1.0
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0057142857142858
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,1.0,1.0,0.12051813818365543
startend_end_checker,1,25,1.0,1.0,0.05895568756238127
startend_end_checker,2,25,1.0,1.0,0.052457088122605355
startend_end_checker,3,25,1.0,1.0,0.058171373836891076
startend_end_checker,4,25,1.0,1.0,0.06743187803857176
startend_end_checker,5,25,1.0,1.0,0.05908956675508399
startend_end_checker,6,25,1.0,1.0,0.07244775105444477
startend_end_checker,7,25,1.0,1.0,0.059841401848095555
startend_end_checker,8,25,1.0,1.0,0.056318324925018634
startend_quotation,0,25,1.0,1.0,0.02558365236871848
startend_quotation,1,25,0.52,0.52,0.023691045796308954
startend_quotation,2,25,0.2,0.2,0.017720813453247986
startend_quotation,3,25,0.12,0.12,0.01680792891319207
startend_quotation,4,25,0.48,0.48,0.014025974025974027
startend_quotation,5,25,0.28,0.28,0.014313055365686944
startend_quotation,6,25,0.16,0.16,0.014313055365686944
startend_quotation,7,25,0.08,0.08,0.02067050743742473
startend_quotation,8,25,0.04,0.04,0.017949419002050583
