IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.9761904761904762,0.9761904761904762,0.8333333333333334
change_case_english_capital,1,42,1.0,1.0,0.8809523809523809
change_case_english_capital,2,42,1.0,1.0,0.9285714285714286
change_case_english_capital,3,42,1.0,1.0,0.9285714285714286
change_case_english_capital,4,42,1.0,1.0,0.9523809523809523
change_case_english_capital,5,42,1.0,1.0,0.9761904761904762
change_case_english_capital,6,42,1.0,1.0,0.9523809523809523
change_case_english_capital,7,42,1.0,1.0,0.8809523809523809
change_case_english_capital,8,42,1.0,1.0,0.9761904761904762
change_case_english_lowercase,0,50,0.98,0.98,0.74
change_case_english_lowercase,1,50,0.76,0.76,0.88
change_case_english_lowercase,2,50,0.6,0.6,0.9
change_case_english_lowercase,3,50,0.62,0.62,0.9
change_case_english_lowercase,4,50,0.54,0.54,0.88
change_case_english_lowercase,5,50,0.44,0.44,0.88
change_case_english_lowercase,6,50,0.38,0.38,0.84
change_case_english_lowercase,7,50,0.34,0.34,0.88
change_case_english_lowercase,8,50,0.4,0.4,0.84
combination_repeat_prompt,0,12,1.0,1.0,1.0
combination_repeat_prompt,1,12,1.0,1.0,0.8333333333333334
combination_repeat_prompt,2,12,1.0,1.0,1.0
combination_repeat_prompt,3,12,0.8333333333333334,0.8333333333333334,0.8333333333333334
combination_repeat_prompt,4,12,1.0,1.0,1.0
combination_repeat_prompt,5,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
combination_repeat_prompt,6,12,0.8333333333333334,0.8333333333333334,0.8333333333333334
combination_repeat_prompt,7,12,0.5833333333333334,0.5833333333333334,0.5833333333333334
combination_repeat_prompt,8,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
detectable_format_json_format,0,78,1.0,1.0,0.9230769230769231
detectable_format_json_format,1,78,0.9615384615384616,0.9615384615384616,0.9230769230769231
detectable_format_json_format,2,78,0.7307692307692307,0.7307692307692307,0.8461538461538461
detectable_format_json_format,3,78,0.7051282051282052,0.7051282051282052,0.8205128205128205
detectable_format_json_format,4,78,0.6794871794871795,0.6794871794871795,0.8205128205128205
detectable_format_json_format,5,78,0.6025641025641025,0.6025641025641025,0.7051282051282052
detectable_format_json_format,6,78,0.5384615384615384,0.5384615384615384,0.7051282051282052
detectable_format_json_format,7,78,0.3974358974358974,0.3974358974358974,0.5897435897435898
detectable_format_json_format,8,78,0.46153846153846156,0.46153846153846156,0.6025641025641025
detectable_format_title,0,6,1.0,1.0,0.0
detectable_format_title,1,6,1.0,1.0,0.0
detectable_format_title,2,6,1.0,1.0,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,1.0,1.0,0.3333333333333333
startend_end_checker,1,6,1.0,1.0,0.8333333333333334
startend_end_checker,2,6,1.0,1.0,0.8333333333333334
startend_end_checker,3,6,1.0,1.0,1.0
startend_end_checker,4,6,1.0,1.0,0.8333333333333334
startend_end_checker,5,6,1.0,1.0,1.0
startend_end_checker,6,6,1.0,1.0,1.0
startend_end_checker,7,6,1.0,1.0,1.0
startend_end_checker,8,6,1.0,1.0,1.0
startend_quotation,0,19,1.0,1.0,0.7894736842105263
startend_quotation,1,19,0.5263157894736842,0.5263157894736842,0.8421052631578947
startend_quotation,2,19,0.05263157894736842,0.05263157894736842,0.5789473684210527
startend_quotation,3,19,0.05263157894736842,0.10526315789473684,0.631578947368421
startend_quotation,4,19,0.05263157894736842,0.05263157894736842,0.6842105263157895
startend_quotation,5,19,0.10526315789473684,0.10526315789473684,0.6842105263157895
startend_quotation,6,19,0.15789473684210525,0.15789473684210525,0.7368421052631579
startend_quotation,7,19,0.05263157894736842,0.10526315789473684,0.6842105263157895
startend_quotation,8,19,0.0,0.0,0.6842105263157895
