IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,36,1.0
detectable_format_number_bullet_lists,1,36,1.0
detectable_format_number_bullet_lists,2,36,1.0
detectable_format_number_bullet_lists,3,36,1.0
detectable_format_number_bullet_lists,4,36,1.0
detectable_format_number_bullet_lists,5,36,1.0
detectable_format_number_bullet_lists,6,36,1.0
detectable_format_number_bullet_lists,7,36,1.0
detectable_format_number_bullet_lists,8,36,1.0
length_constraints_number_paragraphs,0,13,1.0
length_constraints_number_paragraphs,1,13,1.0
length_constraints_number_paragraphs,2,13,1.0
length_constraints_number_paragraphs,3,13,0.9230769230769231
length_constraints_number_paragraphs,4,13,1.0
length_constraints_number_paragraphs,5,13,1.0
length_constraints_number_paragraphs,6,13,1.0
length_constraints_number_paragraphs,7,13,1.0
length_constraints_number_paragraphs,8,13,1.0
length_constraints_number_sentences,0,35,0.9428571428571428
length_constraints_number_sentences,1,35,0.9714285714285714
length_constraints_number_sentences,2,35,0.9714285714285714
length_constraints_number_sentences,3,35,0.9714285714285714
length_constraints_number_sentences,4,35,0.9428571428571428
length_constraints_number_sentences,5,35,0.9714285714285714
length_constraints_number_sentences,6,35,0.9428571428571428
length_constraints_number_sentences,7,35,0.9714285714285714
length_constraints_number_sentences,8,35,0.9714285714285714
length_constraints_number_words,0,14,1.0
length_constraints_number_words,1,14,1.0
length_constraints_number_words,2,14,1.0
length_constraints_number_words,3,14,1.0
length_constraints_number_words,4,14,1.0
length_constraints_number_words,5,14,1.0
length_constraints_number_words,6,14,1.0
length_constraints_number_words,7,14,1.0
length_constraints_number_words,8,14,1.0
