IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,24,0.0
detectable_format_number_bullet_lists,1,24,0.875
detectable_format_number_bullet_lists,2,24,0.9166666666666666
detectable_format_number_bullet_lists,3,24,0.9583333333333334
detectable_format_number_bullet_lists,4,24,0.9166666666666666
detectable_format_number_bullet_lists,5,24,1.0
detectable_format_number_bullet_lists,6,24,0.9583333333333334
detectable_format_number_bullet_lists,7,24,1.0
detectable_format_number_bullet_lists,8,24,0.9583333333333334
keywords_existence,0,50,0.96
keywords_existence,1,50,0.92
keywords_existence,2,50,0.96
keywords_existence,3,50,0.9
keywords_existence,4,50,0.92
keywords_existence,5,50,0.88
keywords_existence,6,50,0.9
keywords_existence,7,50,0.92
keywords_existence,8,50,0.9
keywords_forbidden_words,0,50,0.7
keywords_forbidden_words,1,50,0.88
keywords_forbidden_words,2,50,0.88
keywords_forbidden_words,3,50,0.84
keywords_forbidden_words,4,50,0.88
keywords_forbidden_words,5,50,0.88
keywords_forbidden_words,6,50,0.94
keywords_forbidden_words,7,50,0.84
keywords_forbidden_words,8,50,0.84
length_constraints_number_paragraphs,0,16,0.0625
length_constraints_number_paragraphs,1,16,0.0625
length_constraints_number_paragraphs,2,16,0.1875
length_constraints_number_paragraphs,3,16,0.0625
length_constraints_number_paragraphs,4,16,0.0625
length_constraints_number_paragraphs,5,16,0.0625
length_constraints_number_paragraphs,6,16,0.0625
length_constraints_number_paragraphs,7,16,0.0625
length_constraints_number_paragraphs,8,16,0.1875
length_constraints_number_sentences,0,32,0.46875
length_constraints_number_sentences,1,32,0.625
length_constraints_number_sentences,2,32,0.53125
length_constraints_number_sentences,3,32,0.65625
length_constraints_number_sentences,4,32,0.65625
length_constraints_number_sentences,5,32,0.625
length_constraints_number_sentences,6,32,0.59375
length_constraints_number_sentences,7,32,0.6875
length_constraints_number_sentences,8,32,0.71875
length_constraints_number_words,0,16,1.0
length_constraints_number_words,1,16,1.0
length_constraints_number_words,2,16,0.875
length_constraints_number_words,3,16,0.9375
length_constraints_number_words,4,16,1.0
length_constraints_number_words,5,16,0.9375
length_constraints_number_words,6,16,1.0
length_constraints_number_words,7,16,0.875
length_constraints_number_words,8,16,0.9375
