IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.0,0.0,0.0
change_case_english_capital,1,42,0.6428571428571429,0.6428571428571429,0.6666666666666666
change_case_english_capital,2,42,0.8095238095238095,0.8095238095238095,0.6428571428571429
change_case_english_capital,3,42,0.9285714285714286,0.9285714285714286,0.6904761904761905
change_case_english_capital,4,42,0.9523809523809523,0.9523809523809523,0.6428571428571429
change_case_english_capital,5,42,0.9523809523809523,0.9523809523809523,0.6904761904761905
change_case_english_capital,6,42,0.9761904761904762,0.9761904761904762,0.6666666666666666
change_case_english_capital,7,42,0.9523809523809523,0.9523809523809523,0.6904761904761905
change_case_english_capital,8,42,0.9523809523809523,0.9523809523809523,0.6904761904761905
change_case_english_lowercase,0,50,0.0,0.0,0.04
change_case_english_lowercase,1,50,0.56,0.56,0.76
change_case_english_lowercase,2,50,0.62,0.62,0.74
change_case_english_lowercase,3,50,0.8,0.8,0.8
change_case_english_lowercase,4,50,0.92,0.92,0.82
change_case_english_lowercase,5,50,0.94,0.94,0.8
change_case_english_lowercase,6,50,0.96,0.96,0.84
change_case_english_lowercase,7,50,0.98,0.98,0.84
change_case_english_lowercase,8,50,0.98,0.98,0.82
combination_repeat_prompt,0,12,0.0,0.0,0.0
combination_repeat_prompt,1,12,0.5,0.5,0.4166666666666667
combination_repeat_prompt,2,12,1.0,1.0,0.9166666666666666
combination_repeat_prompt,3,12,1.0,1.0,1.0
combination_repeat_prompt,4,12,1.0,1.0,1.0
combination_repeat_prompt,5,12,1.0,1.0,1.0
combination_repeat_prompt,6,12,1.0,1.0,1.0
combination_repeat_prompt,7,12,1.0,1.0,1.0
combination_repeat_prompt,8,12,1.0,1.0,1.0
detectable_format_json_format,0,78,0.0,0.0,0.01282051282051282
detectable_format_json_format,1,78,0.9743589743589743,0.9743589743589743,0.8076923076923077
detectable_format_json_format,2,78,0.9743589743589743,0.9743589743589743,0.7948717948717948
detectable_format_json_format,3,78,1.0,1.0,0.8205128205128205
detectable_format_json_format,4,78,1.0,1.0,0.8205128205128205
detectable_format_json_format,5,78,1.0,1.0,0.8333333333333334
detectable_format_json_format,6,78,1.0,1.0,0.8205128205128205
detectable_format_json_format,7,78,1.0,1.0,0.8205128205128205
detectable_format_json_format,8,78,1.0,1.0,0.8333333333333334
detectable_format_title,0,6,0.0,0.0,0.0
detectable_format_title,1,6,1.0,1.0,0.0
detectable_format_title,2,6,1.0,1.0,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,0.0,0.0,0.0
startend_end_checker,1,6,0.16666666666666666,0.16666666666666666,0.0
startend_end_checker,2,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_end_checker,3,6,1.0,1.0,0.6666666666666666
startend_end_checker,4,6,1.0,1.0,0.6666666666666666
startend_end_checker,5,6,1.0,1.0,0.8333333333333334
startend_end_checker,6,6,1.0,1.0,0.8333333333333334
startend_end_checker,7,6,1.0,1.0,0.8333333333333334
startend_end_checker,8,6,1.0,1.0,0.8333333333333334
startend_quotation,0,19,0.0,0.0,0.0
startend_quotation,1,19,0.5789473684210527,0.5789473684210527,0.631578947368421
startend_quotation,2,19,0.8421052631578947,0.8421052631578947,0.7894736842105263
startend_quotation,3,19,1.0,1.0,0.7894736842105263
startend_quotation,4,19,1.0,1.0,0.7894736842105263
startend_quotation,5,19,1.0,1.0,0.7368421052631579
startend_quotation,6,19,1.0,1.0,0.7894736842105263
startend_quotation,7,19,1.0,1.0,0.7894736842105263
startend_quotation,8,19,1.0,1.0,0.7894736842105263
