IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.0,0.0,0.2857142857142857
change_case_english_capital,1,42,0.21428571428571427,0.21428571428571427,0.5
change_case_english_capital,2,42,0.2619047619047619,0.2619047619047619,0.4523809523809524
change_case_english_capital,3,42,0.2619047619047619,0.2619047619047619,0.40476190476190477
change_case_english_capital,4,42,0.2857142857142857,0.2857142857142857,0.4523809523809524
change_case_english_capital,5,42,0.30952380952380953,0.30952380952380953,0.47619047619047616
change_case_english_capital,6,42,0.38095238095238093,0.38095238095238093,0.5238095238095238
change_case_english_capital,7,42,0.38095238095238093,0.38095238095238093,0.5238095238095238
change_case_english_capital,8,42,0.35714285714285715,0.35714285714285715,0.47619047619047616
change_case_english_lowercase,0,50,0.32,0.32,0.52
change_case_english_lowercase,1,50,0.52,0.52,0.56
change_case_english_lowercase,2,50,0.5,0.5,0.62
change_case_english_lowercase,3,50,0.5,0.5,0.56
change_case_english_lowercase,4,50,0.54,0.54,0.58
change_case_english_lowercase,5,50,0.56,0.56,0.6
change_case_english_lowercase,6,50,0.52,0.52,0.62
change_case_english_lowercase,7,50,0.56,0.56,0.62
change_case_english_lowercase,8,50,0.56,0.56,0.6
combination_repeat_prompt,0,12,0.0,0.0,0.0
combination_repeat_prompt,1,12,0.5833333333333334,0.5833333333333334,0.3333333333333333
combination_repeat_prompt,2,12,0.9166666666666666,0.9166666666666666,0.5
combination_repeat_prompt,3,12,0.9166666666666666,0.9166666666666666,0.5
combination_repeat_prompt,4,12,1.0,1.0,0.5833333333333334
combination_repeat_prompt,5,12,1.0,1.0,0.5833333333333334
combination_repeat_prompt,6,12,1.0,1.0,0.5833333333333334
combination_repeat_prompt,7,12,1.0,1.0,0.6666666666666666
combination_repeat_prompt,8,12,1.0,1.0,0.5833333333333334
detectable_format_json_format,0,78,0.0,0.0,0.3974358974358974
detectable_format_json_format,1,78,0.6282051282051282,0.6282051282051282,0.6666666666666666
detectable_format_json_format,2,78,0.7692307692307693,0.7692307692307693,0.6794871794871795
detectable_format_json_format,3,78,0.782051282051282,0.782051282051282,0.7051282051282052
detectable_format_json_format,4,78,0.782051282051282,0.782051282051282,0.7051282051282052
detectable_format_json_format,5,78,0.782051282051282,0.782051282051282,0.6794871794871795
detectable_format_json_format,6,78,0.782051282051282,0.782051282051282,0.717948717948718
detectable_format_json_format,7,78,0.8205128205128205,0.8205128205128205,0.6923076923076923
detectable_format_json_format,8,78,0.8461538461538461,0.8461538461538461,0.6923076923076923
detectable_format_title,0,6,0.0,0.0,0.0
detectable_format_title,1,6,0.5,0.5,0.16666666666666666
detectable_format_title,2,6,1.0,1.0,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,0.0,0.0,0.0
startend_end_checker,1,6,0.0,0.0,0.5
startend_end_checker,2,6,1.0,1.0,0.5
startend_end_checker,3,6,1.0,1.0,0.6666666666666666
startend_end_checker,4,6,1.0,1.0,0.6666666666666666
startend_end_checker,5,6,1.0,1.0,0.6666666666666666
startend_end_checker,6,6,1.0,1.0,0.6666666666666666
startend_end_checker,7,6,1.0,1.0,0.6666666666666666
startend_end_checker,8,6,1.0,1.0,0.6666666666666666
startend_quotation,0,19,0.0,0.0,0.0
startend_quotation,1,19,0.7368421052631579,0.7368421052631579,0.47368421052631576
startend_quotation,2,19,0.8421052631578947,0.8421052631578947,0.42105263157894735
startend_quotation,3,19,0.8947368421052632,0.8947368421052632,0.47368421052631576
startend_quotation,4,19,0.8947368421052632,0.8947368421052632,0.47368421052631576
startend_quotation,5,19,1.0,1.0,0.5263157894736842
startend_quotation,6,19,1.0,1.0,0.5263157894736842
startend_quotation,7,19,1.0,1.0,0.5263157894736842
startend_quotation,8,19,1.0,1.0,0.5263157894736842
