IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.0,0.0,0.52
change_case_english_capital,1,25,0.24,0.24,0.56
change_case_english_capital,2,25,0.4,0.4,0.56
change_case_english_capital,3,25,0.4,0.4,0.64
change_case_english_capital,4,25,0.52,0.52,0.6
change_case_english_capital,5,25,0.44,0.44,0.52
change_case_english_capital,6,25,0.52,0.52,0.52
change_case_english_capital,7,25,0.44,0.44,0.6
change_case_english_capital,8,25,0.56,0.56,0.56
change_case_english_lowercase,0,25,0.16,0.16,0.72
change_case_english_lowercase,1,25,1.0,1.0,0.68
change_case_english_lowercase,2,25,1.0,1.0,0.56
change_case_english_lowercase,3,25,0.92,0.92,0.64
change_case_english_lowercase,4,25,0.92,0.92,0.6
change_case_english_lowercase,5,25,0.92,0.92,0.72
change_case_english_lowercase,6,25,0.92,0.92,0.6
change_case_english_lowercase,7,25,0.92,0.92,0.52
change_case_english_lowercase,8,25,0.92,0.92,0.52
combination_repeat_prompt,0,25,0.0,0.0,0.76
combination_repeat_prompt,1,25,0.24,0.24,0.56
combination_repeat_prompt,2,25,0.56,0.56,0.48
combination_repeat_prompt,3,25,0.76,0.76,0.68
combination_repeat_prompt,4,25,0.8,0.8,0.64
combination_repeat_prompt,5,25,0.88,0.88,0.64
combination_repeat_prompt,6,25,0.92,0.92,0.64
combination_repeat_prompt,7,25,0.96,0.96,0.68
combination_repeat_prompt,8,25,0.92,0.92,0.56
detectable_format_json_format,0,50,0.0,0.0,0.62
detectable_format_json_format,1,50,0.02,0.02,0.6
detectable_format_json_format,2,50,0.22,0.22,0.58
detectable_format_json_format,3,50,0.52,0.52,0.6
detectable_format_json_format,4,50,0.54,0.54,0.54
detectable_format_json_format,5,50,0.62,0.62,0.52
detectable_format_json_format,6,50,0.68,0.68,0.56
detectable_format_json_format,7,50,0.7,0.7,0.52
detectable_format_json_format,8,50,0.7,0.7,0.56
detectable_format_title,0,25,0.0,0.0,0.76
detectable_format_title,1,25,0.04,0.04,0.72
detectable_format_title,2,25,0.52,0.52,0.44
detectable_format_title,3,25,0.56,0.56,0.24
detectable_format_title,4,25,0.68,0.68,0.2
detectable_format_title,5,25,0.68,0.68,0.2
detectable_format_title,6,25,0.72,0.72,0.16
detectable_format_title,7,25,0.72,0.72,0.2
detectable_format_title,8,25,0.72,0.72,0.16
startend_end_checker,0,25,0.0,0.0,0.68
startend_end_checker,1,25,0.0,0.0,0.64
startend_end_checker,2,25,0.48,0.48,0.6
startend_end_checker,3,25,0.72,0.72,0.64
startend_end_checker,4,25,0.8,0.8,0.68
startend_end_checker,5,25,0.8,0.8,0.68
startend_end_checker,6,25,0.88,0.88,0.68
startend_end_checker,7,25,0.8,0.8,0.64
startend_end_checker,8,25,0.84,0.84,0.72
startend_quotation,0,25,0.0,0.0,0.72
startend_quotation,1,25,1.0,1.0,0.6
startend_quotation,2,25,0.92,0.92,0.56
startend_quotation,3,25,0.96,0.96,0.56
startend_quotation,4,25,0.92,0.92,0.6
startend_quotation,5,25,0.92,0.92,0.6
startend_quotation,6,25,0.84,0.84,0.64
startend_quotation,7,25,0.92,0.92,0.52
startend_quotation,8,25,0.92,0.92,0.56
