IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.92,0.92,0.11519468480724154
change_case_english_capital,1,25,1.0,1.0,0.14299822148367647
change_case_english_capital,2,25,1.0,1.0,0.15767699703341978
change_case_english_capital,3,25,1.0,1.0,0.15509635187212945
change_case_english_capital,4,25,1.0,1.0,0.15767699703341978
change_case_english_capital,5,25,1.0,1.0,0.15304379240021515
change_case_english_capital,6,25,1.0,1.0,0.15304379240021515
change_case_english_capital,7,25,1.0,1.0,0.15021089498667256
change_case_english_capital,8,25,1.0,1.0,0.14549345026922786
change_case_english_lowercase,0,25,0.96,0.96,0.07433548910901727
change_case_english_lowercase,1,25,0.28,0.28,0.11462671007760633
change_case_english_lowercase,2,25,0.0,0.0,0.12098274265293969
change_case_english_lowercase,3,25,0.0,0.0,0.13289795649967243
change_case_english_lowercase,4,25,0.0,0.0,0.12778068571075984
change_case_english_lowercase,5,25,0.0,0.0,0.1322825718842878
change_case_english_lowercase,6,25,0.0,0.0,0.12942542902714493
change_case_english_lowercase,7,25,0.0,0.0,0.13442542902714494
change_case_english_lowercase,8,25,0.0,0.0,0.12942542902714493
combination_repeat_prompt,0,25,1.0,1.0,0.20940304867834034
combination_repeat_prompt,1,25,0.04,0.04,0.4941242803864531
combination_repeat_prompt,2,25,0.0,0.0,0.47791182617399885
combination_repeat_prompt,3,25,0.0,0.0,0.4745295609872223
combination_repeat_prompt,4,25,0.0,0.0,0.4796996290144332
combination_repeat_prompt,5,25,0.0,0.0,0.4796996290144332
combination_repeat_prompt,6,25,0.0,0.0,0.477477406792211
combination_repeat_prompt,7,25,0.0,0.0,0.4788567171370386
combination_repeat_prompt,8,25,0.0,0.0,0.4788567171370386
detectable_format_json_format,0,50,1.0,1.0,0.1610716441875457
detectable_format_json_format,1,50,0.0,0.0,0.2947983617643881
detectable_format_json_format,2,50,0.02,0.02,0.3173352438799937
detectable_format_json_format,3,50,0.02,0.02,0.3241936634490515
detectable_format_json_format,4,50,0.02,0.02,0.3561046481535996
detectable_format_json_format,5,50,0.02,0.02,0.3640696263821573
detectable_format_json_format,6,50,0.02,0.02,0.36692098664640865
detectable_format_json_format,7,50,0.02,0.02,0.35703229933419195
detectable_format_json_format,8,50,0.02,0.02,0.3610403320422247
detectable_format_title,0,25,0.4,0.4,0.3998094374753611
detectable_format_title,1,25,1.0,1.0,0.9647058823529412
detectable_format_title,2,25,1.0,1.0,0.9647058823529412
detectable_format_title,3,25,1.0,1.0,0.9647058823529412
detectable_format_title,4,25,1.0,1.0,0.9647058823529412
detectable_format_title,5,25,1.0,1.0,0.9647058823529412
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,0.2,0.2,0.21529562419824347
startend_end_checker,1,25,0.64,0.64,0.16980730737841593
startend_end_checker,2,25,0.84,0.84,0.19044685791127275
startend_end_checker,3,25,0.88,0.88,0.19408831449390582
startend_end_checker,4,25,0.92,0.92,0.1846958678600799
startend_end_checker,5,25,0.92,0.92,0.1827529334449345
startend_end_checker,6,25,0.88,0.88,0.19804189960611163
startend_end_checker,7,25,0.92,0.92,0.18838672719231853
startend_end_checker,8,25,0.96,0.96,0.17141193727635215
startend_quotation,0,25,1.0,1.0,0.08066812643772794
startend_quotation,1,25,0.48,0.48,0.10406130433423819
startend_quotation,2,25,0.04,0.04,0.11960551922140725
startend_quotation,3,25,0.0,0.0,0.12252710890991424
startend_quotation,4,25,0.0,0.0,0.12252710890991424
startend_quotation,5,25,0.04,0.04,0.12123678632926907
startend_quotation,6,25,0.0,0.0,0.13052710890991423
startend_quotation,7,25,0.04,0.04,0.12923678632926908
startend_quotation,8,25,0.0,0.0,0.13052710890991423
