IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,1.0,1.0,0.25252624281639213
change_case_english_capital,1,25,1.0,1.0,0.0691802110703604
change_case_english_capital,2,25,0.96,0.96,0.07598829187844121
change_case_english_capital,3,25,0.92,0.92,0.18268875937021303
change_case_english_capital,4,25,0.92,0.92,0.19309446759945068
change_case_english_capital,5,25,0.96,0.96,0.20366436007256897
change_case_english_capital,6,25,0.96,0.96,0.199522499317805
change_case_english_capital,7,25,0.88,0.88,0.23505694617062492
change_case_english_capital,8,25,0.84,0.84,0.3495485506038183
change_case_english_lowercase,0,25,1.0,1.0,0.03050018305144685
change_case_english_lowercase,1,25,1.0,1.0,0.05035950333938586
change_case_english_lowercase,2,25,1.0,1.0,0.0450548789204967
change_case_english_lowercase,3,25,0.84,0.84,0.1302196236390636
change_case_english_lowercase,4,25,0.76,0.76,0.13035172971853812
change_case_english_lowercase,5,25,0.8,0.8,0.2736634339056547
change_case_english_lowercase,6,25,0.76,0.76,0.3027609735946828
change_case_english_lowercase,7,25,0.72,0.72,0.27593723752503385
change_case_english_lowercase,8,25,0.68,0.68,0.32496143410960193
combination_repeat_prompt,0,25,1.0,1.0,0.48081123218382743
combination_repeat_prompt,1,25,1.0,1.0,0.45526990760802016
combination_repeat_prompt,2,25,0.96,0.96,0.517206415544528
combination_repeat_prompt,3,25,0.36,0.4,0.7679073036432643
combination_repeat_prompt,4,25,0.12,0.12,0.9643145511878722
combination_repeat_prompt,5,25,0.0,0.0,1.0989090819991523
combination_repeat_prompt,6,25,0.0,0.0,1.1807422198519943
combination_repeat_prompt,7,25,0.0,0.04,1.0614909726864612
combination_repeat_prompt,8,25,0.0,0.0,0.9881123225980368
detectable_format_json_format,0,50,1.0,1.0,0.15881199827556852
detectable_format_json_format,1,50,0.96,0.96,0.21805989743523238
detectable_format_json_format,2,50,0.7,0.7,0.4476977366550044
detectable_format_json_format,3,50,0.34,0.34,0.4735977477371515
detectable_format_json_format,4,50,0.1,0.1,1.2198165021663965
detectable_format_json_format,5,50,0.02,0.02,0.49630417873289007
detectable_format_json_format,6,50,0.02,0.02,0.8465649546798969
detectable_format_json_format,7,50,0.02,0.02,0.43576867625481647
detectable_format_json_format,8,50,0.02,0.02,0.45066035213240996
detectable_format_title,0,25,0.84,0.84,0.06584005941862582
detectable_format_title,1,25,0.88,0.88,0.05666992138056325
detectable_format_title,2,25,0.88,0.88,0.08104396197411605
detectable_format_title,3,25,0.92,0.92,0.10149729115798851
detectable_format_title,4,25,0.92,0.92,0.1896857463512736
detectable_format_title,5,25,0.96,0.96,0.2282285592912009
detectable_format_title,6,25,0.88,0.88,0.2834363275295561
detectable_format_title,7,25,0.92,0.92,0.27370240232873255
detectable_format_title,8,25,0.96,0.96,0.25723487382171945
startend_end_checker,0,25,0.96,0.96,0.6822488072275003
startend_end_checker,1,25,0.96,0.96,0.5933173445274778
startend_end_checker,2,25,0.96,0.96,0.5998763708966461
startend_end_checker,3,25,0.96,0.96,0.6191374932766326
startend_end_checker,4,25,0.96,0.96,0.6309100036600962
startend_end_checker,5,25,0.88,0.88,0.8131592851818006
startend_end_checker,6,25,0.84,0.84,0.9713333302321044
startend_end_checker,7,25,0.88,0.88,0.9170969158601049
startend_end_checker,8,25,0.76,0.76,1.224951192643282
startend_quotation,0,25,1.0,1.0,0.11862680191693903
startend_quotation,1,25,1.0,1.0,0.04507124636138347
startend_quotation,2,25,1.0,1.0,0.06161670090683801
startend_quotation,3,25,0.96,0.96,0.08858639787653498
startend_quotation,4,25,0.6,0.6,0.15571230705507572
startend_quotation,5,25,0.36,0.36,0.2026955477362682
startend_quotation,6,25,0.16,0.16,0.2526747515390014
startend_quotation,7,25,0.12,0.12,0.5303704985943544
startend_quotation,8,25,0.08,0.08,0.6161187908057006
