IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.08,0.16,1.0079937305769002
change_case_english_capital,1,25,0.24,0.24,1.2366877828978482
change_case_english_capital,2,25,0.2,0.2,1.1933081543302813
change_case_english_capital,3,25,0.12,0.12,1.1489235905527961
change_case_english_capital,4,25,0.2,0.2,1.0840678406917166
change_case_english_capital,5,25,0.08,0.08,1.1863168352872173
change_case_english_capital,6,25,0.04,0.04,1.1985424768952118
change_case_english_capital,7,25,0.08,0.08,1.2177182848528034
change_case_english_capital,8,25,0.08,0.12,1.2339123685468871
change_case_english_lowercase,0,25,0.12,0.12,0.9843403068353482
change_case_english_lowercase,1,25,0.0,0.0,1.1042990556124788
change_case_english_lowercase,2,25,0.0,0.0,1.1404895929009735
change_case_english_lowercase,3,25,0.0,0.0,1.2012504446223027
change_case_english_lowercase,4,25,0.0,0.0,1.2067109641565856
change_case_english_lowercase,5,25,0.0,0.0,1.0802804302291473
change_case_english_lowercase,6,25,0.0,0.04,1.093935677714925
change_case_english_lowercase,7,25,0.04,0.04,1.0382492890433968
change_case_english_lowercase,8,25,0.08,0.08,0.9721303868053552
combination_repeat_prompt,0,25,0.04,0.04,1.5537536442815676
combination_repeat_prompt,1,25,0.24,0.24,1.4792706231342476
combination_repeat_prompt,2,25,0.36,0.36,1.2532254799359026
combination_repeat_prompt,3,25,0.44,0.44,1.203815472580886
combination_repeat_prompt,4,25,0.48,0.48,1.160686309749364
combination_repeat_prompt,5,25,0.48,0.48,1.2184629979734205
combination_repeat_prompt,6,25,0.44,0.44,1.1218216833148127
combination_repeat_prompt,7,25,0.48,0.48,1.13647080612183
combination_repeat_prompt,8,25,0.56,0.56,1.0213783255030338
detectable_format_json_format,0,50,0.4,0.5,0.23074788017309025
detectable_format_json_format,1,50,0.18,0.18,1.303745287136191
detectable_format_json_format,2,50,0.04,0.04,1.5541397904803436
detectable_format_json_format,3,50,0.12,0.12,1.387242489378702
detectable_format_json_format,4,50,0.08,0.08,1.3610441828755568
detectable_format_json_format,5,50,0.1,0.1,1.3006586928311092
detectable_format_json_format,6,50,0.12,0.12,1.1843894966451756
detectable_format_json_format,7,50,0.08,0.1,1.4985784055980844
detectable_format_json_format,8,50,0.08,0.12,2.207520662352812
detectable_format_title,0,25,0.08,0.08,1.292398604128549
detectable_format_title,1,25,0.04,0.04,1.6843153365235497
detectable_format_title,2,25,0.04,0.04,1.7577939534794143
detectable_format_title,3,25,0.0,0.0,1.6957092358607793
detectable_format_title,4,25,0.04,0.04,1.670286146344304
detectable_format_title,5,25,0.04,0.04,1.5673387276179185
detectable_format_title,6,25,0.28,0.28,1.6877928588525373
detectable_format_title,7,25,0.2,0.2,1.8063518752545955
detectable_format_title,8,25,0.16,0.16,1.4923315348107256
startend_end_checker,0,25,0.0,0.0,1.0862090358828342
startend_end_checker,1,25,0.08,0.08,1.3887880367723915
startend_end_checker,2,25,0.04,0.04,1.5884328553456522
startend_end_checker,3,25,0.04,0.04,1.5891268018436375
startend_end_checker,4,25,0.08,0.08,1.652893318617571
startend_end_checker,5,25,0.08,0.08,1.6680649997237966
startend_end_checker,6,25,0.08,0.08,1.8237163424536385
startend_end_checker,7,25,0.08,0.08,1.7889318262868132
startend_end_checker,8,25,0.08,0.12,1.9050479541203327
startend_quotation,0,25,0.0,0.0,1.1793583110082035
startend_quotation,1,25,0.0,0.0,1.383936799230958
startend_quotation,2,25,0.0,0.0,1.3961453138556168
startend_quotation,3,25,0.0,0.0,1.3424795974209554
startend_quotation,4,25,0.0,0.0,1.2129087122839786
startend_quotation,5,25,0.0,0.0,1.2982313249015933
startend_quotation,6,25,0.0,0.0,1.2801659094597195
startend_quotation,7,25,0.0,0.0,1.1780220245945487
startend_quotation,8,25,0.0,0.0,1.1025039374023207
