IF_task,shot_level,n,if_rate
detectable_format_number_bullet_lists,0,24,0.6666666666666666
detectable_format_number_bullet_lists,1,24,0.5833333333333334
detectable_format_number_bullet_lists,2,24,0.4166666666666667
detectable_format_number_bullet_lists,3,24,0.5
detectable_format_number_bullet_lists,4,24,0.625
detectable_format_number_bullet_lists,5,24,0.7083333333333334
detectable_format_number_bullet_lists,6,24,0.5416666666666666
detectable_format_number_bullet_lists,7,24,0.625
detectable_format_number_bullet_lists,8,24,0.6666666666666666
keywords_existence,0,50,0.82
keywords_existence,1,50,0.8
keywords_existence,2,50,0.82
keywords_existence,3,50,0.84
keywords_existence,4,50,0.9
keywords_existence,5,50,0.84
keywords_existence,6,50,0.86
keywords_existence,7,50,0.86
keywords_existence,8,50,0.82
keywords_forbidden_words,0,50,0.2
keywords_forbidden_words,1,50,0.38
keywords_forbidden_words,2,50,0.44
keywords_forbidden_words,3,50,0.46
keywords_forbidden_words,4,50,0.38
keywords_forbidden_words,5,50,0.46
keywords_forbidden_words,6,50,0.44
keywords_forbidden_words,7,50,0.44
keywords_forbidden_words,8,50,0.44
length_constraints_number_paragraphs,0,16,0.0625
length_constraints_number_paragraphs,1,16,0.1875
length_constraints_number_paragraphs,2,16,0.125
length_constraints_number_paragraphs,3,16,0.125
length_constraints_number_paragraphs,4,16,0.1875
length_constraints_number_paragraphs,5,16,0.1875
length_constraints_number_paragraphs,6,16,0.0625
length_constraints_number_paragraphs,7,16,0.1875
length_constraints_number_paragraphs,8,16,0.125
length_constraints_number_sentences,0,32,0.5
length_constraints_number_sentences,1,32,0.5
length_constraints_number_sentences,2,32,0.40625
length_constraints_number_sentences,3,32,0.375
length_constraints_number_sentences,4,32,0.40625
length_constraints_number_sentences,5,32,0.46875
length_constraints_number_sentences,6,32,0.3125
length_constraints_number_sentences,7,32,0.375
length_constraints_number_sentences,8,32,0.46875
length_constraints_number_words,0,16,0.4375
length_constraints_number_words,1,16,0.4375
length_constraints_number_words,2,16,0.4375
length_constraints_number_words,3,16,0.25
length_constraints_number_words,4,16,0.25
length_constraints_number_words,5,16,0.1875
length_constraints_number_words,6,16,0.3125
length_constraints_number_words,7,16,0.3125
length_constraints_number_words,8,16,0.25
